event_id,horizon,severity_return_component,severity_mfe_component,severity_efficiency_component,severity_score
F042,10,0.5846195163587513,0.508168309238638,0.5506187043547508,0.5478021766507134
F041,10,0.43994752781367474,0.3507384787175672,0.4718142238282809,0.420833410119841
F030,10,-0.35202864699035347,-0.5656941716162518,-0.40610727854044276,-0.441276699049016
F033,10,0.10513280722276112,0.7190041636357435,-0.04321957506466919,0.2603057985979451
F009,10,-0.12394181537573987,-0.2418659971132363,-0.059699222859865744,-0.14183567844961398
F002,10,-1.655728142113328,-0.5853997451956737,-1.4563389184343325,-1.2324889352477781
F001,10,-1.098888537079861,-0.3105832279505096,-0.6528076488112077,-0.687426471280526
F003,10,-1.3741296587178458,-0.5290248803358463,-0.8308504151202782,-0.9113349847246569
M01,10,0.7107162279692446,1.03303231422318,0.48605437855841677,0.7432676402502806
M02,10,0.2212169750154125,0.18996800336930708,0.6341673293559199,0.34845076924687984
M03,10,0.11512379526031466,0.15729984459734989,0.04321957506466924,0.10521440497411126
M04,10,0.8620809056087683,1.7413434513514465,0.3914447088453004,0.9982896886018384
M05,10,1.0235550085764995,0.9251578827180998,1.171909913411025,1.0402076015685415
M06,10,0.075997094132566,0.5867980089106857,-0.09373440686390891,0.18968689872644762
M07,10,0.6877348458839612,0.5741370652914725,0.5260464778038062,0.5959727963264133
F011,10,0.9769567468172886,1.3287876377827983,1.0129963573650274,1.1062469139883715
F026,10,-0.23122313730300725,0.1501059083427664,-0.27186035961132443,-0.11765919619052174
F008,10,-0.40715274060429146,-0.18947095490885427,-0.4256064680254451,-0.34074338784619695
F025,10,-0.3362143212434274,0.06794661388872075,-0.3564495868715436,-0.20823909807541674
F027,10,-0.7001567447326048,-0.10316891994693354,-0.6857938667552912,-0.49637317714494317
M08,10,0.9221478276303838,0.8529282163724884,1.2033797757460036,0.9928186065829587
F018,10,0.056140247597783424,0.24765555339345338,0.1605574978636637,0.1547844329516335
F016,10,-0.3396510470596811,-0.40930477262360104,-0.3625500252073109,-0.37050194829686434
F017,10,0.5236774983114588,0.5670611248167224,0.41489460343383583,0.501877742187339
F035,10,0.9075135750558784,0.7751254532651857,0.5596483011475655,0.7474291098228765
F036,10,0.8642694875760546,0.797608130830265,0.5012370585443567,0.7210382256502254
F012,10,0.8851753076829805,0.9120147259216053,0.5012370585443567,0.7661423640496475
F020,10,-0.9939489816984928,-0.6686157525032637,-1.009821749144793,-0.8907954944488498
F039,10,-0.39315953181569496,-0.5579838025253367,-0.42053491547221494,-0.4572260832710822
F038,10,-0.002217309235497147,-0.19095333592378444,0.2066013483619649,0.004476901067561101
F019,10,0.002217309235497191,-0.20466499534188,0.45728021648898676,0.0849441767942013
F044,10,-0.04680998689814026,-0.23478381385181415,0.3124973679691356,0.01030118907306038
F043,10,-0.21986570781544548,-0.18784523374127976,-0.16630077256343953,-0.19133723804005495
F031,10,-0.491980106627608,-0.5601502593437391,-0.6343498952268765,-0.5621600870660745
F007,10,-0.16668234589791261,1.052802892075611,-0.22925544757085295,0.21895503286894846
F010,10,0.5155584958319122,0.44772044958420065,0.633215034768807,0.53216466006164
M09,10,0.15233025067220166,0.18177071977387957,0.41952118948804945,0.2512073866447102
M10,10,0.32031916974661184,0.41410028878776706,0.510855490255095,0.4150916495964913
M11,10,0.685302437720679,1.3381463967351381,0.41081232162128883,0.8114203853590353
M12,10,0.783264111718477,0.7587551111512155,0.6959084973921836,0.7459759067539586
M13,10,0.6963692797554374,0.8219415671587627,0.9362613832096532,0.8181907433746178
M14,10,1.4771580291480322,2.1573946940605353,0.7943410677827418,1.4762979303304364
M15,10,0.41869924636186806,1.5897735708741494,0.10511672030006496,0.7045298458453608
F040,10,-0.20009985582503526,-0.11982155518354358,-0.1966244022023137,-0.1721819377369642
F028,10,-0.6537388289486668,-0.509039052535482,-0.7960811206895513,-0.6529530007245666
F006,10,-0.3449091335730023,-0.38966192441355835,-0.36139028062938683,-0.36532044620531584
F005,10,-0.32440023486696185,-0.10106588536516009,-0.34185158376389807,-0.2557725679986733
F029,10,-0.47922230252173226,-0.19609922563096446,-0.5029431953373369,-0.3927549078300112
F004,10,-0.6365465965533766,-0.6581487794874988,-0.7706117377197769,-0.6884357045868841
F034,10,0.3116179842788572,0.4467020260890692,0.7203400003859014,0.4928866702512759
F023,10,-0.6439385577594839,-0.2930658332432081,-0.5317702197683822,-0.48959153692369145
F024,10,-1.1086594659751996,-0.6413816179291212,-0.8488144353210524,-0.8662851730751244
F032,10,-0.7676395906432096,-0.5899632382397857,-0.9880050252425452,-0.7818692847085135
F045,10,0.05863186146018651,-0.18664485693394015,0.4468026287037622,0.10626321107666951
F014,10,-0.748182225228734,-0.3774135613980289,-0.7453737419903795,-0.6236565095390475
F013,10,-0.9648829577888066,-0.5385110906578113,-0.8304166675380414,-0.7779369053282198
F022,10,-1.233076811072777,-0.666566165718505,-1.1146285046812126,-1.0047571604908316
F021,10,0.033983595340277534,-0.06794661388872075,0.12546538923506156,0.03050079022887278
F037,10,0.050909562838906075,0.08282966754712709,0.15967327737306897,0.09780416925303403
F015,10,-0.7900295518788867,-0.388361125438113,-0.7975430948923894,-0.658644590736463
F042,20,0.4430027444169122,0.4087941573510152,0.6058024348040002,0.4858664455239759
F041,20,0.31252306993861195,0.28756341541183633,0.48041404689812517,0.3601668440828578
F030,20,-0.1889488527425168,-0.4023020130115607,-0.04503096061602386,-0.2120939421233671
F033,20,-0.26678623555736614,0.28271974146470474,-0.35745427271032654,-0.11384025560099598
F009,20,-0.6441610904591625,-0.4143923442569581,-0.8136733742082741,-0.6240756029747981
F002,20,-1.7238845716050182,-0.6636263588243966,-1.1660023359939038,-1.1845044221411063
F001,20,-0.9241096417797877,-0.4642467513046789,-0.7901961193918704,-0.7261841708254457
F003,20,-0.8412185810496876,-0.622726348365046,-0.7875155944348928,-0.7504868412832089
M01,20,0.7047422760807134,0.7123369669893507,0.6104328480023625,0.6758373636908089
M02,20,0.22694478631466394,0.11054970828481493,0.4856000693977046,0.27436485466572785
M03,20,0.16959595233540695,0.14776293506296828,0.03426941824625643,0.11720943521487721
M04,20,0.849464557541851,1.5672707544723992,0.255625305537158,0.8907868725171361
M05,20,0.6291860543356746,0.5770224942663714,0.531311686999564,0.5791734118672034
M06,20,0.5229342424600285,0.6476341339092455,0.16252743274027812,0.4443652697031841
M07,20,0.35675961467715117,0.2868242286486024,0.33349177808702857,0.32569187380426073
F011,20,0.03127064277371274,0.7748587425577483,-0.10976429081496136,0.23212169817216655
F026,20,-0.5218196360164963,-0.13001640698803857,-0.6032473738092377,-0.4183611389379242
