event_id,source_type,direction,event_time,match_group,available_history_flag,pre_window,pre_net_return,pre_net_return_atr,pre_efficiency_ratio,pre_signed_efficiency,fraction_bars_in_event_direction,fraction_bars_against_event_direction,number_of_direction_changes,longest_same_direction_run,longest_opposite_direction_run,pre_high_low_range_pct,pre_high_low_range_atr,realized_volatility,ATR14_at_event,volatility_first_half,volatility_second_half,volatility_change_ratio,average_true_range_first_third,average_true_range_last_third,range_compression_ratio,range_expansion_ratio,average_body,median_body,max_body,average_body_first_third,average_body_last_third,body_growth_ratio,upper_wick_share,lower_wick_share,full_range_to_body_ratio,directional_body_share,new_high_count,new_low_count,distance_from_30bar_high,distance_from_30bar_low,close_position_in_range,failed_high_break_count,failed_low_break_count,pullback_count,average_pullback_depth,maximum_pullback_depth,last5_net_return,last5_efficiency,last5_directional_share,last5_body_growth,last5_range_growth,last5_sign_changes,last5_new_extreme,last5_failed_continuation,last5_acceleration_proxy,first_half_net_return,second_half_net_return,sign_change_between_halves,efficiency_change_between_halves,volatility_change_between_halves,body_size_change_between_halves,extreme_update_rate_change
F042,MATCHED_NON_MAJOR,SHORT,2023-07-14 08:00,M14,OK,10,0.23165618448637304,5.097199341021415,0.7474633596392326,-0.7474633596392326,0.3333333333333333,0.6666666666666666,3,5,5,0.3301886792452829,7.265238879736407,0.04251563177288235,0.013007142857142856,0.007101752282814415,0.052274118026345746,7.360735202330879,0.00416666666666667,0.02209999999999999,5.303999999999993,4.379310344827604,0.009300000000000003,0.004500000000000004,0.03670000000000001,0.003066666666666662,0.007266666666666681,2.3695652173913127,0.24538290860986592,0.1983743900562645,3.095472974522761,0.4,3,0,2.052718286655684,5.212520593080723,0.7174603174603174,0,1,2,0.1103359908883827,0.2132687927107062,0.13198458574181107,0.7025641025641014,0.25,0.38552437223043023,0.4293527803099359,1,0,0,0.296898079763665,0.009084556254367543,0.13198458574181107,0,0.3604588394062076,0.04517236574353133,0.013840000000000019,0.3
F042,MATCHED_NON_MAJOR,SHORT,2023-07-14 08:00,M14,OK,20,0.21426110919738195,4.7819879187259735,0.6062378167641319,-0.6062378167641319,0.42105263157894735,0.5263157894736842,7,5,5,0.3255253186358938,7.265238879736407,0.03228891570810112,0.013007142857142856,0.004921544153297042,0.04251563177288235,8.638677303016832,0.003766666666666668,0.025716666666666665,6.827433628318581,12.652173913043503,0.005260000000000003,0.0024000000000000132,0.03670000000000001,0.0014500000000000068,0.013933333333333344,9.609195402298813,0.3275502705336105,0.22184074389800088,195000004.3056866,0.4,5,1,2.052718286655684,5.212520593080723,0.7174603174603174,2,2,4,0.058656036446469266,0.2132687927107062,0.13198458574181107,0.7025641025641014,0.25,0.38552437223043023,0.4293527803099359,1,0,0,0.296898079763665,0.0006889424733034033,0.23165618448637304,0,0.7266300263059017,0.037594087619585305,0.008079999999999999,0.3
F042,MATCHED_NON_MAJOR,SHORT,2023-07-14 08:00,M14,OK,30,0.23122598672720915,5.089511257550796,0.5507487520798661,-0.5507487520798661,0.4827586206896552,0.4827586206896552,10,5,5,0.354523227383863,7.803404722679845,0.026853091075590935,0.013007142857142856,0.00639290948084499,0.03694512902443899,5.779079014826865,0.004649999999999999,0.01693,3.6408602150537646,7.097560975609772,0.004010000000000004,0.0018500000000000183,0.03670000000000001,0.0015100000000000057,0.009300000000000003,6.158940397350972,0.30461762842432777,0.2877511925762209,130000005.4039184,0.4666666666666667,9,4,2.052718286655684,5.750686436024162,0.7369458128078817,6,7,5,0.053075170842824634,0.2132687927107062,0.13198458574181107,0.7025641025641014,0.25,0.38552437223043023,0.4293527803099359,1,0,0,0.296898079763665,0.01117708697170793,0.20389344262295073,0,0.46179010464289455,0.030552219543594,0.005286666666666665,0.43333333333333335
F042,MATCHED_NON_MAJOR,SHORT,2023-07-14 08:00,M14,OK,50,0.2381454162276079,5.212520593080723,0.41903584672435074,-0.41903584672435074,0.4489795918367347,0.5306122448979592,23,5,5,0.363540569020021,7.957166392092256,0.021740159036368,0.013007142857142856,0.008306059268986905,0.029096505390957917,3.5030457222473967,0.0057874999999999975,0.01185,2.0475161987041046,4.655999999999998,0.0032520000000000014,0.001700000000000007,0.03670000000000001,0.002287499999999998,0.0063000000000000035,2.7540983606557417,0.31363891033017205,0.2837933218169208,78000005.18997045,0.44,7,1,2.052718286655684,5.904448105436572,0.7420289855072463,13,10,12,0.027239939255884586,0.2132687927107062,0.13198458574181107,0.7025641025641014,0.25,0.38552437223043023,0.4293527803099359,1,0,0,0.296898079763665,-0.0028099754127152194,0.245583038869258,1,0.5763434170619789,0.020790446121971014,0.0029200000000000072,0.16
F041,MATCHED_NON_MAJOR,SHORT,2023-07-14 12:00,M14,OK,10,0.21606648199445988,4.597894736842107,0.7139588100686497,-0.7139588100686497,0.4444444444444444,0.5555555555555556,2,5,5,0.32479224376731297,6.911578947368421,0.043206623540755905,0.013571428571428571,0.03438853936096897,0.01821479821271563,0.5296764140377955,0.0030666666666666806,0.01736666666666666,5.663043478260841,7.4705882352940804,0.009000000000000003,0.0036500000000000143,0.03670000000000001,0.0016999999999999977,0.0049000000000000155,2.8823529411764834,0.26901927224622996,0.23705777563620156,3.8067430997463965,0.4,4,1,2.06315789473684,4.848421052631581,0.7014925373134332,0,2,1,0.21560161197466904,0.21560161197466904,0.008905486929043353,0.1341991341991338,0.5,0.07831325301204624,0.303308823529412,1,0,0,0.3012048192771086,0.07825484764542939,0.008905486929043353,0,-0.6846414455110111,-0.016173741148253342,0.0059200000000000025,0.5
F041,MATCHED_NON_MAJOR,SHORT,2023-07-14 12:00,M14,OK,20,0.20562993477514593,4.413684210526316,0.5821185617103982,-0.5821185617103982,0.47368421052631576,0.47368421052631576,6,5,5,0.32440782698249215,6.96315789473684,0.03241303788068723,0.013571428571428571,0.006595189765328763,0.043206623540755905,6.5512328042318435,0.0036499999999999957,0.026966666666666667,7.388127853881287,12.652173913043503,0.005195000000000003,0.0021000000000000185,0.03670000000000001,0.0010333333333333399,0.013733333333333339,13.290322580645082,0.3275263470886346,0.2501661027496752,195000004.65568656,0.45,4,2,2.06315789473684,4.9,0.7037037037037039,2,3,3,0.07810401074649782,0.21560161197466904,0.008905486929043353,0.1341991341991338,0.5,0.07831325301204624,0.303308823529412,1,0,0,0.3012048192771086,-0.017507723995880513,0.21606648199445988,1,0.31860997285934856,0.036611433775427145,0.0076100000000000004,0.3
F041,MATCHED_NON_MAJOR,SHORT,2023-07-14 12:00,M14,OK,30,0.22797202797202812,4.804210526315792,0.5379537953795379,-0.5379537953795379,0.4827586206896552,0.4827586206896552,10,5,5,0.35489510489510484,7.478947368421052,0.026886503146087898,0.013571428571428571,0.006916144562145462,0.037065819261854885,5.359318176304382,0.004880000000000001,0.017450000000000004,3.5758196721311477,7.097560975609772,0.004050000000000003,0.0018500000000000183,0.03670000000000001,0.001760000000000006,0.009000000000000003,5.113636363636348,0.3013853051920046,0.2892663440913721,130000005.18596967,0.5,8,3,2.06315789473684,5.415789473684211,0.724137931034483,5,7,5,0.053655728267127265,0.21560161197466904,0.008905486929043353,0.1341991341991338,0.5,0.07831325301204624,0.303308823529412,1,0,0,0.3012048192771086,0.023776223776223876,0.19904404233526807,0,0.306126376750737,0.030149674699709424,0.004939999999999992,0.36666666666666664
F041,MATCHED_NON_MAJOR,SHORT,2023-07-14 12:00,M14,OK,50,0.21944444444444458,4.65684210526316,0.39549436795995,-0.39549436795995,0.46938775510204084,0.5102040816326531,22,5,5,0.35937499999999994,7.626315789473683,0.021747122386654116,0.013571428571428571,0.007958098269045236,0.029212062719886345,3.6707341040903017,0.005924999999999996,0.0122875,2.073839662447259,4.655999999999998,0.0032620000000000006,0.001700000000000007,0.03670000000000001,0.002256249999999998,0.0063187500000000014,2.800554016620502,0.315509040200302,0.28336907939267847,78000005.25420122,0.46,6,1,2.06315789473684,5.563157894736843,0.7294685990338167,13,11,11,0.02917778824514577,0.21560161197466904,0.008905486929043353,0.1341991341991338,0.5,0.07831325301204624,0.303308823529412,1,0,0,0.3012048192771086,-0.01736111111111113,0.23314606741573038,1,0.450254427702881,0.021253964450841108,0.0029320000000000053,0.14
F030,MATCHED_NON_MAJOR,SHORT,2023-07-14 16:00,M10,OK,10,0.21256544502617805,4.374551051821447,0.68503937007874,-0.68503937007874,0.4444444444444444,0.5555555555555556,2,5,5,0.3273996509598604,6.737814263724986,0.043441683881860836,0.013921428571428572,0.04917229744355933,0.013446315401056829,0.27345306402432595,0.00313333333333334,0.011299999999999996,3.606382978723395,4.4857142857142795,0.009120000000000007,0.0042500000000000315,0.03670000000000001,0.001666666666666668,0.004600000000000011,2.7600000000000042,0.27318593891289616,0.258901209979635,3.869293707033843,0.5,4,0,2.2842483324781933,4.453565931246793,0.6609808102345416,0,1,1,0.23326066645904708,0.23326066645904708,-0.025525946704067316,0.4918918918918898,0.75,0.5229357798165163,0.3257918552036193,1,0,0,0.3509174311926594,0.21500872600349058,-0.025525946704067316,1,-0.5016564952048852,-0.035725982042502505,-0.007479999999999998,0.4
F030,MATCHED_NON_MAJOR,SHORT,2023-07-14 16:00,M10,OK,20,0.19258496395468583,4.029758850692661,0.5257731958762881,-0.5257731958762881,0.5263157894736842,0.47368421052631576,6,5,5,0.32440782698249215,6.788096459722932,0.032684444479992227,0.013921428571428572,0.007453967813198491,0.043441683881860836,5.827994562163268,0.0032666666666666586,0.023783333333333333,7.280612244897977,14.549999999999994,0.005335000000000004,0.0024000000000000132,0.03670000000000001,0.0009500000000000064,0.010600000000000007,11.157894736842037,0.3013488108567503,0.26082431531006167,195000004.5204234,0.5,4,2,2.2842483324781933,4.503848127244739,0.6634920634920635,2,3,3,0.08450119381293474,0.23326066645904708,-0.025525946704067316,0.4918918918918898,0.75,0.5229357798165163,0.3257918552036193,1,0,0,0.3509174311926594,-0.008582217645039485,0.21256544502617805,1,0.5237490474980949,0.03598771606866234,0.0075700000000000055,0.3
