r2,spearman,mae,rmse,median_absolute_error,iteration,model
-0.01282468464948483,0.0035565434843011956,0.6963416336010753,0.9288792804056397,0.44605781585398013,0,pre_net_return_only
-0.08254422202816114,-0.4707418727424285,0.724121093233585,0.960317758510331,0.485058324813495,1,pre_net_return_only
-0.07445547493734073,-0.45084745762711875,0.7260638024212192,0.9567232946865525,0.5065504855538865,2,pre_net_return_only
-0.054890392025728874,-0.17482634065018066,0.7210190925339649,0.9479726447514247,0.5411318489509158,3,pre_net_return_only
-0.06034842272019092,-0.11914420672409005,0.6980479826234796,0.9504218984389604,0.5221287740471185,4,pre_net_return_only
-0.05870218124620874,-0.18266185051403172,0.7229646219572776,0.9496838242014509,0.48450403198858083,5,pre_net_return_only
-0.05413361615385193,-0.09091414281744932,0.7078403225995223,0.9476325470777154,0.5196433162420356,6,pre_net_return_only
-0.12747760927856722,-0.29013614893025846,0.7309395703957118,0.9800451861964662,0.5288606309113191,7,pre_net_return_only
-0.12238769862209153,-0.5589330369547096,0.747693270331676,0.9778305146981264,0.52877283596856,8,pre_net_return_only
-0.07381505358752882,-0.3933314809669353,0.7153389583014697,0.9564381282161716,0.502637282151939,9,pre_net_return_only
-0.010788019576915442,-0.0015004167824395668,0.701950703459504,0.9279448798005326,0.5348437118276014,10,pre_net_return_only
-0.12163131858361154,-0.16210058349541542,0.735533268442501,0.9775009778848757,0.4962826555048383,11,pre_net_return_only
-0.0775829503161205,-0.29902750764101144,0.720448092995057,0.9581146759228497,0.4738199103244075,12,pre_net_return_only
-0.035788958371881785,-0.2622950819672132,0.7106477862824632,0.9393507261133105,0.5001699275359177,13,pre_net_return_only
-0.07464893995827127,-0.4454570714087247,0.7236368840820986,0.9568094239703717,0.5258104667404765,14,pre_net_return_only
-0.09345363166308207,-0.32720200055571,0.7370637142894182,0.9651444609012534,0.5190904875760483,15,pre_net_return_only
-0.054031478718238324,-0.2293414837454849,0.7097428634090927,0.9475866368148158,0.5368344534752509,16,pre_net_return_only
-0.02369498881617793,0.07129758266185053,0.7099884165800125,0.933850650291489,0.602075274408422,17,pre_net_return_only
-0.025849429365888632,0.03784384551264241,0.6845181428978641,0.934832812108136,0.5098603860216531,18,pre_net_return_only
-0.022891749968268815,-0.013503751041956101,0.7060635397407344,0.9334842070011146,0.5411156460930069,19,pre_net_return_only
-0.09195176811409977,-0.35031953320366777,0.7313337261845523,0.9644814179909664,0.5030985626079298,20,pre_net_return_only
-0.06647707087194665,-0.3175882189497083,0.7259875382451556,0.9531645860839013,0.527967967805617,21,pre_net_return_only
-0.11696616364000278,-0.5552097804945819,0.7350657889870231,0.9754660199237339,0.541787705379452,22,pre_net_return_only
-0.04681672520094815,-0.15515420950263967,0.7104358888513159,0.9443379941698424,0.49787277389750606,23,pre_net_return_only
-0.11636833969536409,-0.5602667407613227,0.7381909033535341,0.9752049399495807,0.5051568544586491,24,pre_net_return_only
-0.03907734261547802,-0.28752431230897474,0.70790882027372,0.9408406523759122,0.4902934461949809,25,pre_net_return_only
-0.0685141937711049,-0.2852459016393443,0.7201274358465977,0.9540744917468125,0.48781021326812074,26,pre_net_return_only
-0.06394922090657973,-0.09096971380939152,0.7273550156047269,0.9520342821145262,0.5250547290317173,27,pre_net_return_only
-0.14413631912192892,-0.36315643234231737,0.7425588087903259,0.9872588211492459,0.5188085585825031,28,pre_net_return_only
-0.06539007434094968,-0.3712142261739373,0.7270563351413986,0.9526787103127247,0.5630072460829045,29,pre_net_return_only
-0.06954611206037375,-0.2333425951653237,0.7094090942969835,0.9545350796060693,0.5062858587306869,30,pre_net_return_only
-0.06744319104942287,-0.3058071686579606,0.7180713973210763,0.9535962236242426,0.4938901557577,31,pre_net_return_only
-0.08709847595202835,-0.4464573492636844,0.7202667678289699,0.9623356625506112,0.5122825355114725,32,pre_net_return_only
-0.07897384564802734,-0.43928869130313986,0.7264130096615811,0.9587328220619116,0.5170658249391408,33,pre_net_return_only
-0.09082160380179394,-0.2934704084467908,0.7324691629154407,0.9639821721917193,0.5200371001841007,34,pre_net_return_only
-0.03192733866956865,-0.1736037788274521,0.7003855224429484,0.9375980512639216,0.4991856588245931,35,pre_net_return_only
-0.05852424233931752,-0.10308419005279246,0.701307450452234,0.9496040128977478,0.5608414776020836,36,pre_net_return_only
-0.055710150782048995,-0.1070853014726313,0.7173457055199216,0.9483409095338768,0.5513890514841235,37,pre_net_return_only
-0.06951277733128158,-0.33364823562100593,0.7130326084653917,0.9545202044100113,0.4729316969987874,38,pre_net_return_only
-0.02608845747640043,-0.27496526813003613,0.7074266186841326,0.9349417161536618,0.5178497914085545,39,pre_net_return_only
-0.042864192383743616,-0.1403723256460128,0.7145855672795692,0.9425535094673438,0.5016595863566763,40,pre_net_return_only
-0.06735186498455192,-0.3444845790497361,0.7171920087328265,0.9535554298592364,0.5468919352911079,41,pre_net_return_only
-0.06566196750971409,-0.28858016115587665,0.7134346700878553,0.9528002668747081,0.5031053297317447,42,pre_net_return_only
-0.06799466256157016,-0.06768546818560713,0.7142945159265525,0.9538425192829147,0.4823184973788007,43,pre_net_return_only
-0.07414424693037014,-0.02139483189774938,0.7255662633489026,0.956584721866828,0.5245782410110086,44,pre_net_return_only
-0.06113758345302811,-0.36060016671297596,0.7238429433498738,0.9507755068024198,0.5128577921790597,45,pre_net_return_only
-0.006951141023193941,0.14281744929146986,0.6592639493401531,0.9261819992884585,0.4318551840251674,46,pre_net_return_only
-0.04831432318759066,-0.19949986107252018,0.6967209581363968,0.9450132476293761,0.43607459102888974,47,pre_net_return_only
-0.05876841300573288,-0.251458738538483,0.7210179719107405,0.9497135295558362,0.5214825005277312,48,pre_net_return_only
-0.055095558716447446,-0.1349263684356766,0.7206571250304135,0.9480648263449103,0.4847942976092689,49,pre_net_return_only
-0.04679049558523496,-0.26929702695193114,0.7159234848453221,0.944326163169603,0.4871757625131903,50,pre_net_return_only
-0.10107557528367139,-0.20005557099194227,0.7426101846752812,0.9685024002162267,0.5608697101010338,51,pre_net_return_only
-0.06533908152369983,-0.2780772436787997,0.7182215306682113,0.9526559109860506,0.48390203048722386,52,pre_net_return_only
-0.05546729682195206,-0.2286746318421784,0.702806864520403,0.9482318258087176,0.4662582642721017,53,pre_net_return_only
-0.02811782540159502,-0.09185884968046681,0.7102115542966219,0.9358658097428104,0.4982379840804196,54,pre_net_return_only
-0.06592319871359442,-0.3235343150875244,0.7157780505254069,0.952917042135825,0.57016238261604,55,pre_net_return_only
-0.06389293654430395,-0.39494303973325934,0.7185249969235936,0.9520090998266527,0.4915826661966819,56,pre_net_return_only
-0.042420351803255096,-0.02639622117254794,0.717224104114796,0.9423529138285162,0.4836285576042511,57,pre_net_return_only
-0.11465128868879026,-0.4424006668519034,0.7376032064416886,0.9744546853406079,0.5438218061001014,58,pre_net_return_only
-0.05959966269315564,-0.24151153098082806,0.7140783246483662,0.9500862712123646,0.48977187977241154,59,pre_net_return_only
