symbol,event_id,event_family,side,timestamp_utc,funding_rate,delta_log_oi,z_mad,funding_side,oi_side,qualification_reason
BTCUSDT,BTCUSDT-O047944,OI,OI_EXPANSION_SHOCK,2024-11-11T10:00:00Z,,0.007822897815,4.35436138,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O047949,OI,OI_EXPANSION_SHOCK,2024-11-11T11:15:00Z,,0.009672213546,5.366854243,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O047954,OI,OI_CONTRACTION_SHOCK,2024-11-11T12:30:00Z,,-0.01134758515,-6.490815828,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O047964,OI,OI_CONTRACTION_SHOCK,2024-11-11T15:00:00Z,,-0.007513984217,-4.3234989,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O047967,OI,OI_EXPANSION_SHOCK,2024-11-11T15:45:00Z,,0.008486088299,4.68175976,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O047980,OI,OI_CONTRACTION_SHOCK,2024-11-11T19:00:00Z,,-0.008098279251,-4.596875172,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O047981,OI,OI_CONTRACTION_SHOCK,2024-11-11T19:15:00Z,,-0.02753399932,-15.44826307,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O047991,OI,OI_EXPANSION_SHOCK,2024-11-11T21:45:00Z,,0.0127564162,6.945711411,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O047994,OI,OI_CONTRACTION_SHOCK,2024-11-11T22:30:00Z,,-0.01464135001,-8.121717141,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O047997,OI,OI_CONTRACTION_SHOCK,2024-11-11T23:15:00Z,,-0.01299199937,-7.200439007,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O047998,OI,OI_CONTRACTION_SHOCK,2024-11-11T23:30:00Z,,-0.008211272224,-4.582890854,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048001,OI,OI_CONTRACTION_SHOCK,2024-11-12T00:15:00Z,,-0.0150562893,-8.294507503,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048019,OI,OI_CONTRACTION_SHOCK,2024-11-12T04:45:00Z,,-0.009430950069,-5.202208914,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048038,OI,OI_EXPANSION_SHOCK,2024-11-12T09:30:00Z,,0.01376889318,7.374856651,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048043,OI,OI_CONTRACTION_SHOCK,2024-11-12T10:45:00Z,,-0.01101814697,-6.006398841,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048044,OI,OI_EXPANSION_SHOCK,2024-11-12T11:00:00Z,,0.01315601843,7.006593163,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048046,OI,OI_EXPANSION_SHOCK,2024-11-12T11:30:00Z,,0.01354596218,7.208554271,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048066,OI,OI_EXPANSION_SHOCK,2024-11-12T16:30:00Z,,0.01064118679,5.615678297,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048067,OI,OI_EXPANSION_SHOCK,2024-11-12T16:45:00Z,,0.03291255279,17.52857723,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048070,OI,OI_CONTRACTION_SHOCK,2024-11-12T17:30:00Z,,-0.007806333237,-4.246446037,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048072,OI,OI_CONTRACTION_SHOCK,2024-11-12T18:00:00Z,,-0.008274558201,-4.481735687,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048083,OI,OI_EXPANSION_SHOCK,2024-11-12T20:45:00Z,,0.009496092835,4.95775826,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
