section,episode_view,symbol,event_family,side,scale,representation,field,metric,value,event_n,control_n,note
support,24H,BTCUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,39,39,,raw and time-third rows retained in episodes.csv
support,24H,BTCUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,15,15,,raw and time-third rows retained in episodes.csv
support,24H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,10,10,,raw and time-third rows retained in episodes.csv
support,24H,ETHUSDT,ALL,ALL,,,representatives,count,491,491,,all families
support,24H,ETHUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,58,58,,raw and time-third rows retained in episodes.csv
support,24H,ETHUSDT,FUNDING,FUNDING_LOW,,,representatives,count,55,55,,raw and time-third rows retained in episodes.csv
support,24H,ETHUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,128,128,,raw and time-third rows retained in episodes.csv
support,24H,ETHUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,141,141,,raw and time-third rows retained in episodes.csv
support,24H,ETHUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,42,42,,raw and time-third rows retained in episodes.csv
support,24H,ETHUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,40,40,,raw and time-third rows retained in episodes.csv
support,24H,ETHUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,16,16,,raw and time-third rows retained in episodes.csv
support,24H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,11,11,,raw and time-third rows retained in episodes.csv
support,24H,SOLUSDT,ALL,ALL,,,representatives,count,531,531,,all families
support,24H,SOLUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,57,57,,raw and time-third rows retained in episodes.csv
support,24H,SOLUSDT,FUNDING,FUNDING_LOW,,,representatives,count,55,55,,raw and time-third rows retained in episodes.csv
support,24H,SOLUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,155,155,,raw and time-third rows retained in episodes.csv
support,24H,SOLUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,166,166,,raw and time-third rows retained in episodes.csv
support,24H,SOLUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,38,38,,raw and time-third rows retained in episodes.csv
support,24H,SOLUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,34,34,,raw and time-third rows retained in episodes.csv
support,24H,SOLUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,11,11,,raw and time-third rows retained in episodes.csv
support,24H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,15,15,,raw and time-third rows retained in episodes.csv
support,24H,XRPUSDT,ALL,ALL,,,representatives,count,538,538,,all families
support,24H,XRPUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,68,68,,raw and time-third rows retained in episodes.csv
support,24H,XRPUSDT,FUNDING,FUNDING_LOW,,,representatives,count,59,59,,raw and time-third rows retained in episodes.csv
support,24H,XRPUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,144,144,,raw and time-third rows retained in episodes.csv
support,24H,XRPUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,155,155,,raw and time-third rows retained in episodes.csv
support,24H,XRPUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,49,49,,raw and time-third rows retained in episodes.csv
support,24H,XRPUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,36,36,,raw and time-third rows retained in episodes.csv
support,24H,XRPUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,15,15,,raw and time-third rows retained in episodes.csv
support,24H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,12,12,,raw and time-third rows retained in episodes.csv
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,displacement_atr,mean_event_minus_control,0.0184885797,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,displacement_atr,mean_event_minus_control,1.495341135,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,displacement_atr,mean_event_minus_control,0.005696967812,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,displacement_atr,mean_event_minus_control,0.3191855128,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,displacement_atr,equal_symbol_mean_contrast,0.4596780489,4,,same_sign=4; max_abs_share=0.813255
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,range_atr,mean_event_minus_control,0.0424088875,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,range_atr,mean_event_minus_control,1.361690049,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,range_atr,mean_event_minus_control,0.091170992,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,range_atr,mean_event_minus_control,0.1822675106,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,range_atr,equal_symbol_mean_contrast,0.4193843598,4,,same_sign=4; max_abs_share=0.811720
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,efficiency,mean_event_minus_control,0.004997900977,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,efficiency,mean_event_minus_control,0.1260795444,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,efficiency,mean_event_minus_control,0.0155102606,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,efficiency,mean_event_minus_control,0.02100022934,60,60,invalid_or_unmatched=372; total=432
