section,episode_view,symbol,event_family,side,scale,representation,field,metric,value,event_n,control_n,note
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,origin_disagreement_bars,equal_symbol_mean_contrast,-1,3,,same_sign=2; max_abs_share=0.600000
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w4_displacement_atr,mean_event_minus_control,1.176135926,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w4_displacement_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w4_displacement_atr,mean_event_minus_control,-0.00321994735,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w4_displacement_atr,mean_event_minus_control,-0.2492604006,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w4_displacement_atr,equal_symbol_mean_contrast,0.3078851926,3,,same_sign=2; max_abs_share=0.823269
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w8_displacement_atr,mean_event_minus_control,1.569024688,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w8_displacement_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w8_displacement_atr,mean_event_minus_control,0.6434318211,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w8_displacement_atr,mean_event_minus_control,-2.986810477,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w8_displacement_atr,equal_symbol_mean_contrast,-0.2581179892,3,,same_sign=2; max_abs_share=0.574468
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w32_displacement_atr,mean_event_minus_control,2.152428991,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w32_displacement_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w32_displacement_atr,mean_event_minus_control,1.65132143,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w32_displacement_atr,mean_event_minus_control,1.556610169,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w32_displacement_atr,equal_symbol_mean_contrast,1.786786863,3,,same_sign=3; max_abs_share=0.401546
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w4_range_atr,mean_event_minus_control,1.036540295,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w4_range_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w4_range_atr,mean_event_minus_control,0.0433936985,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w4_range_atr,mean_event_minus_control,-2.051355932,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w4_range_atr,equal_symbol_mean_contrast,-0.323807313,3,,same_sign=2; max_abs_share=0.655115
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w8_range_atr,mean_event_minus_control,1.381727681,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w8_range_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w8_range_atr,mean_event_minus_control,0.422919089,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w8_range_atr,mean_event_minus_control,-1.713975347,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w8_range_atr,equal_symbol_mean_contrast,0.03022380775,3,,same_sign=2; max_abs_share=0.487115
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w32_range_atr,mean_event_minus_control,1.375421167,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w32_range_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w32_range_atr,mean_event_minus_control,-0.2494629915,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w32_range_atr,mean_event_minus_control,0.764714947,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,15m,HYBRID_ORIGIN,w32_range_atr,equal_symbol_mean_contrast,0.6302243742,3,,same_sign=2; max_abs_share=0.575587
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,displacement_atr,mean_event_minus_control,1.892300237,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,displacement_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,displacement_atr,mean_event_minus_control,1.820394795,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,displacement_atr,mean_event_minus_control,0.9297596773,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,displacement_atr,equal_symbol_mean_contrast,1.547484903,3,,same_sign=3; max_abs_share=0.407608
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,range_atr,mean_event_minus_control,1.001916973,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,range_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,range_atr,mean_event_minus_control,1.247560404,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,range_atr,mean_event_minus_control,0.063473002,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,range_atr,equal_symbol_mean_contrast,0.7709834596,3,,same_sign=3; max_abs_share=0.539381
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,efficiency,mean_event_minus_control,0.1924421913,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,efficiency,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,efficiency,mean_event_minus_control,0.1722420393,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,efficiency,mean_event_minus_control,0.0954947485,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,efficiency,equal_symbol_mean_contrast,0.153392993,3,,same_sign=3; max_abs_share=0.418190
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,close_location,mean_event_minus_control,0.02952353487,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,close_location,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,close_location,mean_event_minus_control,0.2219835908,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,close_location,mean_event_minus_control,0.0189089228,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,close_location,equal_symbol_mean_contrast,0.09013868281,3,,same_sign=3; max_abs_share=0.820897
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,recent_slope_atr,mean_event_minus_control,0.3696087927,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,recent_slope_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,recent_slope_atr,mean_event_minus_control,0.4637217633,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,recent_slope_atr,mean_event_minus_control,-0.1801176715,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,recent_slope_atr,equal_symbol_mean_contrast,0.2177376282,3,,same_sign=2; max_abs_share=0.457568
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,age_bars,mean_event_minus_control,0,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,age_bars,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,age_bars,mean_event_minus_control,0,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,age_bars,mean_event_minus_control,0,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,age_bars,equal_symbol_mean_contrast,0,3,,same_sign=0; max_abs_share=1.000000
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,origin_disagreement_bars,mean_event_minus_control,0,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,origin_disagreement_bars,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,origin_disagreement_bars,mean_event_minus_control,0,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,origin_disagreement_bars,mean_event_minus_control,0,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,origin_disagreement_bars,equal_symbol_mean_contrast,0,3,,same_sign=0; max_abs_share=1.000000
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w4_displacement_atr,mean_event_minus_control,1.108826378,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w4_displacement_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w4_displacement_atr,mean_event_minus_control,1.39116529,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w4_displacement_atr,mean_event_minus_control,-0.540353014,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w4_displacement_atr,equal_symbol_mean_contrast,0.6532128846,3,,same_sign=2; max_abs_share=0.457568
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w8_displacement_atr,mean_event_minus_control,1.892300237,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w8_displacement_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w8_displacement_atr,mean_event_minus_control,1.820394795,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w8_displacement_atr,mean_event_minus_control,0.9297596773,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w8_displacement_atr,equal_symbol_mean_contrast,1.547484903,3,,same_sign=3; max_abs_share=0.407608
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w32_displacement_atr,mean_event_minus_control,2.982543704,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w32_displacement_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w32_displacement_atr,mean_event_minus_control,4.786552448,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w32_displacement_atr,mean_event_minus_control,-3.307987063,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w32_displacement_atr,equal_symbol_mean_contrast,1.487036363,3,,same_sign=2; max_abs_share=0.432113
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w4_range_atr,mean_event_minus_control,0.9630493958,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w4_range_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w4_range_atr,mean_event_minus_control,1.594871196,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w4_range_atr,mean_event_minus_control,-0.348796937,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w4_range_atr,equal_symbol_mean_contrast,0.7363745516,3,,same_sign=2; max_abs_share=0.548685
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w8_range_atr,mean_event_minus_control,1.001916973,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w8_range_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w8_range_atr,mean_event_minus_control,1.247560404,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w8_range_atr,mean_event_minus_control,0.063473002,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w8_range_atr,equal_symbol_mean_contrast,0.7709834596,3,,same_sign=3; max_abs_share=0.539381
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w32_range_atr,mean_event_minus_control,-0.9170449823,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w32_range_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w32_range_atr,mean_event_minus_control,-0.8712136095,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w32_range_atr,mean_event_minus_control,-3.655809366,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,FIXED_8,w32_range_atr,equal_symbol_mean_contrast,-1.814689319,3,,same_sign=3; max_abs_share=0.671522
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,displacement_atr,mean_event_minus_control,1.187784223,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,displacement_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,displacement_atr,mean_event_minus_control,1.64124777,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,displacement_atr,mean_event_minus_control,-2.283687943,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,displacement_atr,equal_symbol_mean_contrast,0.18178135,3,,same_sign=2; max_abs_share=0.446668
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,range_atr,mean_event_minus_control,1.063911504,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,range_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,range_atr,mean_event_minus_control,2.094636484,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,range_atr,mean_event_minus_control,-2.326774863,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,range_atr,equal_symbol_mean_contrast,0.2772577083,3,,same_sign=2; max_abs_share=0.424182
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,efficiency,mean_event_minus_control,0.0506982023,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,efficiency,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,efficiency,mean_event_minus_control,0.3096890955,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,efficiency,mean_event_minus_control,-0.5073529412,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,efficiency,equal_symbol_mean_contrast,-0.04898854782,3,,same_sign=2; max_abs_share=0.584683
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,close_location,mean_event_minus_control,-0.09025609435,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,close_location,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,close_location,mean_event_minus_control,0.5369568949,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,close_location,mean_event_minus_control,-0.5597164432,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,close_location,equal_symbol_mean_contrast,-0.03767188088,3,,same_sign=2; max_abs_share=0.471567
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,recent_slope_atr,mean_event_minus_control,0.1747085535,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,recent_slope_atr,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,recent_slope_atr,mean_event_minus_control,0.633259053,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,recent_slope_atr,mean_event_minus_control,-1.141843972,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,recent_slope_atr,equal_symbol_mean_contrast,-0.1112921218,3,,same_sign=2; max_abs_share=0.585618
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,age_bars,mean_event_minus_control,1,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,age_bars,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,age_bars,mean_event_minus_control,3.5,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,age_bars,mean_event_minus_control,-2,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,age_bars,equal_symbol_mean_contrast,0.8333333333,3,,same_sign=2; max_abs_share=0.538462
event_control,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,origin_disagreement_bars,mean_event_minus_control,1,4,4,invalid_or_unmatched=6; total=10
event_control,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,origin_disagreement_bars,mean_event_minus_control,,0,0,invalid_or_unmatched=11; total=11
event_control,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,origin_disagreement_bars,mean_event_minus_control,3.5,2,2,invalid_or_unmatched=13; total=15
event_control,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,origin_disagreement_bars,mean_event_minus_control,-2,1,1,invalid_or_unmatched=11; total=12
transfer_view,8H,POOLED_EQUAL_SYMBOL,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,1H,DIRECTION_RUN,origin_disagreement_bars,equal_symbol_mean_contrast,0.8333333333,3,,same_sign=2; max_abs_share=0.538462
