scope,exit_variant,cost_mult,trades,sample_flag,profit_factor,total_return,max_drawdown,win_rate,average_trade,median_trade,median_mfe_capture,good_entry_bad_exit_share,top1_profit_share,return_without_top1,long_pf,short_pf,direction
LONG,EXIT_R0,1.0,29,OK,3.8953759197461006,2.0792538967154988,-0.15553937950525076,0.3448275862068966,0.0511859257169483,-0.015320830658996675,-0.8001655054143055,0.034482758620689655,0.358386503763907,0.7947273144682085,3.8953759197461006,0.0,LONG
SHORT,EXIT_R0,1.0,47,OK,2.251960823982698,0.7506481879185491,-0.13145643170187382,0.3617021276595745,0.013358340412583889,-0.009906753701525908,-0.26792563765152544,0.19148936170212766,0.16621127761229226,0.4739728612502203,0.0,2.251960823982698,SHORT
LONG,EXIT_R2,1.0,29,OK,0.9529755115634445,-0.06992388913479308,-0.16996296132811461,0.3793103448275862,-0.0010855392595743917,-0.022191205781120944,-1.4859839204122316,0.0,0.21350929828520682,-0.1814243830182951,0.9529755115634445,0.0,LONG
SHORT,EXIT_R2,1.0,47,OK,2.967975292164657,1.0714142383290466,-0.08390225746775726,0.5957446808510638,0.016832425657217265,0.008229871854401665,0.3185964277621648,0.0,0.14175833958616282,0.771749206802606,0.0,2.967975292164657,SHORT
LONG,EXIT_R5,1.0,29,OK,1.2697384789108248,0.09848075303334514,-0.14913949215094713,0.3793103448275862,0.004544541204607696,-0.013572298517751963,-0.8001655054143055,0.0,0.28367344728993055,-0.06590660242158952,1.2697384789108248,0.0,LONG
SHORT,EXIT_R5,1.0,47,OK,2.6034767512822787,0.690545530937462,-0.08390225746775715,0.5957446808510638,0.011947088490905025,0.006982882398646256,0.3049306848979004,0.0,0.14080265448388166,0.4982198165650735,0.0,2.6034767512822787,SHORT
