scope,exit_variant,cost_mult,trades,sample_flag,profit_factor,total_return,max_drawdown,win_rate,average_trade,median_trade,median_mfe_capture,good_entry_bad_exit_share,top1_profit_share,return_without_top1,long_pf,short_pf,pf_cost_x2,pf_cost_x3
2023-Q3 partial,EXIT_R0,1.0,11,OK,0.09358323367595286,-0.08523380282685233,-0.08958755602504254,0.18181818181818182,-0.008037137458729955,-0.009139096940129831,-1.0280149359168196,0.18181818181818182,0.5239157114459332,-0.08958755602504265,0.0,0.09358323367595286,0.04438225012610721,0.008445343702862014
2023-Q3 partial,EXIT_R2,1.0,11,OK,0.8117857130411201,-0.016760727450216173,-0.06922815724140885,0.45454545454545453,-0.0014230427096392191,-0.009139096940129831,-1.0280149359168196,0.0,0.3831305927561414,-0.04155289055011335,0.0,0.8117857130411201,0.6088860625910598,0.459035258614081
2023-Q3 partial,EXIT_R5,1.0,11,OK,0.5078177282120881,-0.035783318471662384,-0.06676624169220213,0.45454545454545453,-0.0032469314887904306,-0.0017772817162143397,0.022060752850961603,0.0,0.3907131470794688,-0.04946917342455104,0.0,0.5078177282120881,0.3175095548782217,0.18750220366097753
2023-Q4,EXIT_R0,1.0,10,OK,1.1125916966351581,0.008496811106696978,-0.12895721909197688,0.2,0.00189885442768842,-0.01444656458837432,-1.1437035304664753,0.0,0.5363129253161799,-0.08371179989692223,1.1820258309329883,0.0,0.9945222966154454,0.8952828412096748
2023-Q4,EXIT_R2,1.0,10,OK,0.6697940582059329,-0.09457266214403137,-0.16208563932194042,0.2,-0.008523446586192363,-0.027695934863955825,-2.036164290419227,0.0,0.7878550738674881,-0.2031181824161843,0.6965265012827956,0.0,0.6161079819930236,0.5683433307321684
2023-Q4,EXIT_R5,1.0,10,OK,0.8108267563831012,-0.038689567856847296,-0.128957219091977,0.2,-0.003190399132239021,-0.01444656458837432,-1.1437035304664753,0.0,0.7317801468865244,-0.12613522321947945,0.861428476731406,0.0,0.7189054721419663,0.641643978590155
2024-12-20 to 2025-Q1,EXIT_R0,1.0,10,OK,1.2484859208578134,0.033353997286166726,-0.178257185430999,0.3,0.00478176148352531,-0.014789495501482942,-0.8037660304221791,0.2,0.534308453334434,-0.08420601046909149,0.8795193748108397,1.576176294145176,1.1347518198085043,1.0354643431699133
2024-12-20 to 2025-Q1,EXIT_R2,1.0,10,OK,1.6065581037568353,0.07195706620466447,-0.09698795846589903,0.6,0.008000045652891592,0.00814668606101949,0.14928848580271678,0.0,0.5368008248043836,-0.03751959956282547,1.9198766764266226,1.2885986044146724,1.4289040678135256,1.267750990615653
2024-12-20 to 2025-Q1,EXIT_R5,1.0,10,OK,2.07308108123995,0.16015224269882933,-0.12072136133562827,0.5,0.016712421295647362,0.0012353609211611235,-0.5519204629183176,0.0,0.3975929655577091,0.02816697239732502,1.9198766764266226,2.187036722458966,1.8876679790674527,1.723355432257142
2024-Q1,EXIT_R0,1.0,8,OK,1.0562705566074533,0.0007553330884819687,-0.07529494757350041,0.375,0.0008997979534788331,-0.015237115399146517,-0.36055903306621195,0.25,0.6518902547651406,-0.08026022158836266,1.6422283655390064,0.5504867440124984,0.9361852647311182,0.8323359959886987
2024-Q1,EXIT_R2,1.0,8,OK,3.7213181052957456,0.2203801144807358,-0.07529494757350041,0.625,0.026202275747886535,0.03244402421758845,0.5755340823504713,0.0,0.3309522219827735,0.11463852479764514,2.5283260652821338,7.701631441509373,3.33195746850874,2.9950782725057974
2024-Q1,EXIT_R5,1.0,8,OK,2.453594727887946,0.11220298986256427,-0.07529494757350041,0.625,0.013995971221326516,0.017511996409928815,0.3254036468955253,0.0,0.317705788951717,0.049203452846467766,1.5879267384650342,5.34182007010728,2.1558456309229976,1.8982297680975406
2024-Q2,EXIT_R0,1.0,14,OK,7.831228745103353,0.9259829182427362,-0.08194738149136371,0.5714285714285714,0.050477509495981863,0.020191874530327083,0.3252598178878992,0.21428571428571427,0.23169886564933093,0.6215974016438859,0.0,13.622170826905542,6.878647461403803,6.105447070032162
2024-Q2,EXIT_R2,1.0,14,OK,6.203432640115877,0.509752563596322,-0.06988853773677894,0.7857142857142857,0.03155123508134334,0.015661411677498814,0.5037055658786892,0.0,0.32117910692413976,0.29134137321454157,0.0,12.871651178212671,5.551866356575688,4.980998061049267
2024-Q2,EXIT_R5,1.0,14,OK,6.127653825591697,0.3757155989493761,-0.05096789793891432,0.7857142857142857,0.023945963186717403,0.012255103260132249,0.42617728254942083,0.0,0.30370987158238444,0.22648526405160285,0.0,18.71889882479492,5.304365397980586,4.608752389600627
