block,exit_variant,trades,pf_x1,pf_x2,pf_x3
2023-Q3 partial,EXIT_R0,11,0.09358323367595286,0.04438225012610721,0.008445343702862014
2023-Q3 partial,EXIT_R2,11,0.8117857130411201,0.6088860625910598,0.459035258614081
2023-Q3 partial,EXIT_R5,11,0.5078177282120881,0.3175095548782217,0.18750220366097753
2023-Q4,EXIT_R0,10,1.1125916966351581,0.9945222966154454,0.8952828412096748
2023-Q4,EXIT_R2,10,0.6697940582059329,0.6161079819930236,0.5683433307321684
2023-Q4,EXIT_R5,10,0.8108267563831012,0.7189054721419663,0.641643978590155
2024-12-20 to 2025-Q1,EXIT_R0,10,1.2484859208578134,1.1347518198085043,1.0354643431699133
2024-12-20 to 2025-Q1,EXIT_R2,10,1.6065581037568353,1.4289040678135256,1.267750990615653
2024-12-20 to 2025-Q1,EXIT_R5,10,2.07308108123995,1.8876679790674527,1.723355432257142
2024-Q1,EXIT_R0,8,1.0562705566074533,0.9361852647311182,0.8323359959886987
2024-Q1,EXIT_R2,8,3.7213181052957456,3.33195746850874,2.9950782725057974
2024-Q1,EXIT_R5,8,2.453594727887946,2.1558456309229976,1.8982297680975406
2024-Q2,EXIT_R0,14,7.831228745103353,6.878647461403803,6.105447070032162
2024-Q2,EXIT_R2,14,6.203432640115877,5.551866356575688,4.980998061049267
2024-Q2,EXIT_R5,14,6.127653825591697,5.304365397980586,4.608752389600627
2024-Q3,EXIT_R0,7,3.0739015039852156,2.60356383258134,2.2282265490844453
2024-Q3,EXIT_R2,7,0.7743690644763971,0.643967923029608,0.5454037361517537
2024-Q3,EXIT_R5,7,2.1673412111096644,1.694361099639572,1.2856275450323322
2024-Q4 to 2024-12-19,EXIT_R0,5,22.817787575086136,21.439713513730197,20.20945221268962
2024-Q4 to 2024-12-19,EXIT_R2,5,1.5768881414061184,1.466471932083514,1.3637059110953784
2024-Q4 to 2024-12-19,EXIT_R5,5,3.6607324003101347,3.3682768701140917,3.1071902339419557
2025-Q2 to research_end,EXIT_R0,11,0.19127686889979398,0.14867766946122363,0.11203926200371907
2025-Q2 to research_end,EXIT_R2,11,1.365695173626642,1.2565323114534048,1.160253173595477
2025-Q2 to research_end,EXIT_R5,11,0.6301028992361258,0.5544922197039875,0.48946154022297783
ALL_RESEARCH,EXIT_R0,76,3.082734692918093,2.7607520026601944,2.490351487752419
ALL_RESEARCH,EXIT_R2,76,1.7089856564611754,1.5297648402949335,1.370910216608415
ALL_RESEARCH,EXIT_R5,76,1.8265679202602012,1.5927390404000088,1.3917204871104256
