trade_id,direction,entry_time,entry_price,exit_variant,exit_time,exit_price,mfe_price,mfe_delta,realized_delta,capture,stored_capture,original_exp006b_capture,manual_check_status
EA_0001,SHORT,2023-08-21 00:00:00,0.26996495000000004,EXIT_R0,2023-08-24 00:00:00,0.268134,0.2496,0.02036495000000005,0.0018309500000000534,0.08990692341498746,0.08990692341498746,0.08990692341498746,OK
EA_0001,SHORT,2023-08-21 00:00:00,0.26996495000000004,EXIT_R2,2023-08-21 20:00:00,0.2645322,0.2583,0.011664950000000063,0.005432750000000042,0.46573281497134683,0.46573281497134683,0.46573281497134683,OK
EA_0001,SHORT,2023-08-21 00:00:00,0.26996495000000004,EXIT_R5,2023-08-21 12:00:00,0.2673336,0.2583,0.011664950000000063,0.0026313500000000323,0.2255774778288821,0.2255774778288821,0.464496597498655,OK
EA_0002,SHORT,2023-08-21 08:00:00,0.26726630000000007,EXIT_R0,2023-08-24 00:00:00,0.268134,0.2496,0.01766630000000008,-0.0008676999999999158,-0.04911611373065734,-0.04911611373065734,-0.04911611373065734,OK
EA_0002,SHORT,2023-08-21 08:00:00,0.26726630000000007,EXIT_R2,2023-08-21 20:00:00,0.2645322,0.2583,0.008966300000000094,0.0027341000000000726,0.3049306848979004,0.3049306848979004,0.3049306848979004,OK
EA_0002,SHORT,2023-08-21 08:00:00,0.26726630000000007,EXIT_R5,2023-08-21 20:00:00,0.2645322,0.2583,0.008966300000000094,0.0027341000000000726,0.3049306848979004,0.3049306848979004,0.3049306848979004,OK
EA_0003,SHORT,2023-08-31 16:00:00,0.25877055000000004,EXIT_R0,2023-09-05 12:00:00,0.2571285,0.2488,0.00997055000000005,0.0016420500000000615,0.16469001208559741,0.16469001208559741,0.16469001208559741,OK
EA_0003,SHORT,2023-08-31 16:00:00,0.25877055000000004,EXIT_R2,2023-08-31 20:00:00,0.2545272,0.2488,0.00997055000000005,0.004243350000000035,0.4255883577134675,0.4255883577134675,0.4255883577134675,OK
EA_0003,SHORT,2023-08-31 16:00:00,0.25877055000000004,EXIT_R5,2023-08-31 20:00:00,0.2545272,0.2488,0.00997055000000005,0.004243350000000035,0.4255883577134675,0.4255883577134675,0.4255883577134675,OK
EA_0004,SHORT,2023-09-04 08:00:00,0.25677155,EXIT_R0,2023-09-05 12:00:00,0.2571285,0.253,0.0037715500000000124,-0.000356949999999967,-0.09464278612240745,-0.09464278612240745,-0.09464278612240745,OK
EA_0004,SHORT,2023-09-04 08:00:00,0.25677155,EXIT_R2,2023-09-05 00:00:00,0.25602795,0.253,0.0037715500000000124,0.0007436000000000109,0.19716031870186224,0.19716031870186224,0.19716031870186224,OK
EA_0004,SHORT,2023-09-04 08:00:00,0.25677155,EXIT_R5,2023-09-04 16:00:00,0.25562775,0.2536,0.003171550000000023,0.0011438000000000281,0.3606438492219955,0.3606438492219955,0.3606438492219955,OK
EA_0006,SHORT,2023-09-07 08:00:00,0.2564717,EXIT_R0,2023-09-08 04:00:00,0.25742865,0.2529,0.003571700000000011,-0.0009569499999999564,-0.26792563765152544,-0.26792563765152544,-0.26792563765152544,OK
EA_0006,SHORT,2023-09-07 08:00:00,0.2564717,EXIT_R2,2023-09-10 08:00:00,0.24932459999999998,0.2412,0.015271700000000027,0.007147100000000045,0.4679963592789298,0.4679963592789298,0.4679963592789298,OK
