trade_key,scope,block,phase,direction,bars_EXIT_R0,bars_EXIT_R2,bars_EXIT_R5,exit_price_EXIT_R0,exit_price_EXIT_R2,exit_price_EXIT_R5,exit_reason_EXIT_R0,exit_reason_EXIT_R2,exit_reason_EXIT_R5,exit_time_EXIT_R0,exit_time_EXIT_R2,exit_time_EXIT_R5,mae_atr_EXIT_R0,mae_atr_EXIT_R2,mae_atr_EXIT_R5,mfe_atr_EXIT_R0,mfe_atr_EXIT_R2,mfe_atr_EXIT_R5,mfe_capture_EXIT_R0,mfe_capture_EXIT_R2,mfe_capture_EXIT_R5,net_return_EXIT_R0,net_return_EXIT_R2,net_return_EXIT_R5,EXIT_R2_return_diff_vs_R0,EXIT_R2_capture_diff_vs_R0,EXIT_R2_better_than_R0,EXIT_R5_return_diff_vs_R0,EXIT_R5_capture_diff_vs_R0,EXIT_R5_better_than_R0
EA_0009,DEVELOPMENT,2023-Q3 partial,WEAK_MOVEMENT_MFE_1_2_ATR,SHORT,6.0,6.0,4.0,0.24792389999999997,0.24792389999999997,0.24532259999999997,STOP_A,STOP_A,MFE_50_GIVEBACK,2023-09-27 08:00:00,2023-09-27 08:00:00,2023-09-27 00:00:00,-1.2437234042553087,-1.2437234042553087,-0.2649999999999906,1.0541489361702194,1.0541489361702194,1.0541489361702194,-1.0280149359168196,-1.0280149359168196,0.022060752850961603,-0.012378509010105686,-0.012378509010105686,-0.0017772817162143397,0.0,0.0,False,0.010601227293891347,1.0500756887677811,True
EA_0010,DEVELOPMENT,2023-Q3 partial,NO_MOVEMENT_MFE_LT_1_ATR,SHORT,1.0,1.0,1.0,0.24622305,0.24622305,0.24622305,STOP_A,STOP_A,STOP_A,2023-09-27 08:00:00,2023-09-27 08:00:00,2023-09-27 08:00:00,-1.6774984326018685,-1.6774984326018685,-1.6774984326018685,0.16576175548589714,0.16576175548589714,0.16576175548589714,-4.620995499073178,-4.620995499073178,-4.620995499073178,-0.009139096940129831,-0.009139096940129831,-0.009139096940129831,0.0,0.0,False,0.0,0.0,False
EA_0011,DEVELOPMENT,2023-Q3 partial,NO_MOVEMENT_MFE_LT_1_ATR,SHORT,6.0,6.0,6.0,0.24842414999999998,0.24842414999999998,0.24842414999999998,STOP_A,STOP_A,STOP_A,2023-09-28 12:00:00,2023-09-28 12:00:00,2023-09-28 12:00:00,-2.2880232558139477,-2.2880232558139477,-2.2880232558139477,0.682906976744191,0.682906976744191,0.682906976744191,-2.7092669845053257,-2.7092669845053257,-2.7092669845053257,-0.020641082836500096,-0.020641082836500096,-0.020641082836500096,0.0,0.0,False,0.0,0.0,False
EA_0012,DEVELOPMENT,2023-Q4,NO_MOVEMENT_MFE_LT_1_ATR,SHORT,3.0,3.0,3.0,0.24822404999999997,0.24822404999999997,0.24822404999999997,STOP_A,STOP_A,STOP_A,2023-10-15 20:00:00,2023-10-15 20:00:00,2023-10-15 20:00:00,-1.1151496062992021,-1.1151496062992021,-1.1151496062992021,0.5383937007874184,0.5383937007874184,0.5383937007874184,-1.9934991809990794,-1.9934991809990794,-1.9934991809990794,-0.009906753701525908,-0.009906753701525908,-0.009906753701525908,0.0,0.0,False,0.0,0.0,False
EA_0013,DEVELOPMENT,2023-Q4,NO_MOVEMENT_MFE_LT_1_ATR,LONG,3.0,3.0,3.0,0.37271355,0.35812085000000005,0.37271355,EMA27_TWO_CLOSES,STOP_A,EMA27_HYSTERESIS,2023-11-17 12:00:00,2023-11-17 12:00:00,2023-11-17 12:00:00,-0.9907868852458953,-1.7858688524590092,-0.9907868852458953,0.05019672131148103,0.05019672131148103,0.05019672131148103,-4.36650881776556,-28.19521554539183,-4.36650881776556,-0.009123437215294081,-0.047997124039259396,-0.009123437215294081,-0.03887368682396532,-23.82870672762627,False,0.0,0.0,False
EA_0014,DEVELOPMENT,2023-Q4,NO_MOVEMENT_MFE_LT_1_ATR,LONG,3.0,4.0,3.0,0.38310835,0.3780109,0.38310835,EMA27_TWO_CLOSES,STOP_A,EMA27_HYSTERESIS,2023-11-27 08:00:00,2023-11-27 12:00:00,2023-11-27 08:00:00,-1.2104249726177458,-2.069132530120484,-1.2104249726177458,0.7216670317634177,0.7216670317634177,0.7216670317634177,-0.9530522916091202,-2.036164290419227,-0.9530522916091202,-0.013572298517751963,-0.0267238280704769,-0.013572298517751963,-0.013151529552724937,-1.083111998810107,False,0.0,0.0,False
EA_0015,DEVELOPMENT,2023-Q4,STRONG_MOVEMENT_MFE_GE_2_ATR,LONG,31.0,,,0.6082957000000001,,,EMA27_TWO_CLOSES,,,2023-12-17 00:00:00,,,-0.303198225542844,,,4.256689703478872,,,0.43478828452139984,,,0.10063276051491866,,,,,False,,,False
EA_0015,DEVELOPMENT,2023-Q4,WEAK_MOVEMENT_MFE_1_2_ATR,LONG,,6.0,6.0,,0.5730133500000001,0.5730133500000001,,ATR_GIVEBACK,MFE_50_GIVEBACK,,2023-12-12 20:00:00,2023-12-12 20:00:00,,-0.015549381274806338,-0.015549381274806338,,1.814943264067243,1.814943264067243,,0.38429390375025185,0.38429390375025185,,0.03667788630168067,0.03667788630168067,,,False,,,False
EA_0016,DEVELOPMENT,2023-Q4,STRONG_MOVEMENT_MFE_GE_2_ATR,LONG,23.0,9.0,16.0,0.6082957000000001,0.63578195,0.6155920500000001,EMA27_TWO_CLOSES,ATR_GIVEBACK,MFE_50_GIVEBACK,2023-12-17 00:00:00,2023-12-14 16:00:00,2023-12-15 20:00:00,-0.015574878105409286,-0.015574878105409286,-0.015574878105409286,4.008571859763178,4.008571859763178,4.008571859763178,0.4031479672739858,0.6260320132402596,0.46231355038503275,0.0870053808846966,0.13621282086880618,0.10006771949866018,0.04920743998410958,0.2228840459662738,True,0.013062338613963581,0.05916558311104697,True
EA_0017,DEVELOPMENT,2023-Q4,NO_MOVEMENT_MFE_LT_1_ATR,LONG,6.0,9.0,6.0,0.6082957000000001,0.5852072500000001,0.6082957000000001,EMA27_TWO_CLOSES,STOP_A,EMA27_HYSTERESIS,2023-12-17 00:00:00,2023-12-17 12:00:00,2023-12-17 00:00:00,-0.5377589976006368,-1.157327112769923,-0.5377589976006368,0.3766638229805442,0.3766638229805442,0.3766638229805442,-0.8137615315252491,-3.1015814663244137,-0.8137615315252491,-0.015320830658996675,-0.052771190191985846,-0.015320830658996675,-0.03745035953298917,-2.2878199347991646,False,0.0,0.0,False
