episode_view,mapping,factor,representation,representative_count,valid_representative_count,invalid_rate,invalid_reasons,age_q25,age_q50,age_q75,unique_ages,age_entropy_bits,cap_hit_rate,minimum_history_rate,origin_disagreement_from_fixed_q50,up_support,down_support,third_1,third_2,third_3,displacement_q50,efficiency_q50,boundary_distance_q50,extreme_distance_q50,rank_displacement_sign,rank_efficiency_sign,frozen_support_entropy_invalidity_pass,episode_robust_candidate
STRICT_NONOVERLAP,5m->15m,1.2,FIXED_8,7511,7511,0.00000000,,8,8,8,1,-0.00000000,0.00000000,0.00000000,0.00000000,3767,3744,2504,2504,2503,1.84390244,0.23000000,2.68263473,0.26923077,0,0,0,0
STRICT_NONOVERLAP,5m->15m,1.2,DIRECTION_RUN,7511,7511,0.00000000,,2,3,4,14,2.28452327,0.00000000,0.00000000,-5.00000000,3767,3744,2504,2504,2503,1.35682819,0.43333333,1.70394737,0.19718310,1,1,1,1
STRICT_NONOVERLAP,5m->15m,1.2,ATR_ORIGIN,7511,7495,0.00213021,ATR_1_NOT_REACHED:16,2,3,4,25,2.57100414,0.00000000,0.00000000,-5.00000000,3767,3744,2504,2504,2503,1.30569948,0.40000000,1.87500000,0.24086022,1,-1,1,1
STRICT_NONOVERLAP,5m->15m,1.2,CONFIRMED_DIRECTION_CHANGE,7511,7506,0.00066569,NO_CONFIRMED_CHANGE_32:5,4,6,8,28,3.40470540,0.00000000,0.00000000,-2.00000000,3767,3744,2504,2504,2503,1.67164179,0.29343629,2.50000000,0.27027027,1,-1,1,1
STRICT_NONOVERLAP,5m->15m,1.2,HYBRID_ORIGIN,7511,7495,0.00213021,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED:16,2,2,3,6,1.27759844,0.00000000,0.00000000,-6.00000000,3767,3744,2504,2504,2503,1.14285714,0.42622951,1.62318841,0.19649123,1,-1,1,1
CONNECTED_COMPONENT,15m->1H,0.8,FIXED_8,2964,2964,0.00000000,,8,8,8,1,-0.00000000,0.00000000,0.00000000,0.00000000,1508,1456,988,988,988,1.68000000,0.20886076,2.49315068,0.37935484,0,0,0,0
CONNECTED_COMPONENT,15m->1H,0.8,DIRECTION_RUN,2964,2964,0.00000000,,2,3,4,13,2.28744793,0.00000000,0.00000000,-5.00000000,1508,1456,988,988,988,1.18827160,0.38888889,1.56321839,0.25454545,1,1,1,1
CONNECTED_COMPONENT,15m->1H,0.8,ATR_ORIGIN,2964,2939,0.00843455,ATR_1_NOT_REACHED:25,3,4,6,28,2.99056533,0.00067476,0.00000000,-4.00000000,1508,1456,988,988,988,1.31721739,0.34482759,1.88622754,0.34593023,1,-1,1,1
CONNECTED_COMPONENT,15m->1H,0.8,CONFIRMED_DIRECTION_CHANGE,2964,2959,0.00168691,NO_CONFIRMED_CHANGE_32:5,4,6,8,27,3.34012842,0.00000000,0.00000000,-2.00000000,1508,1456,988,988,988,1.51525619,0.26612903,2.31875000,0.37652812,1,-1,1,1
CONNECTED_COMPONENT,15m->1H,0.8,HYBRID_ORIGIN,2964,2939,0.00843455,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED:25,2,2,3,6,1.44603966,0.00067476,0.00000000,-6.00000000,1508,1456,988,988,988,1.07863384,0.38144330,1.51898734,0.25454545,1,-1,1,1
CONNECTED_COMPONENT,15m->1H,1.0,FIXED_8,2294,2294,0.00000000,,8,8,8,1,-0.00000000,0.00000000,0.00000000,0.00000000,1193,1101,765,765,764,1.78161822,0.21942446,2.57946554,0.33916555,0,0,0,0
CONNECTED_COMPONENT,15m->1H,1.0,DIRECTION_RUN,2294,2294,0.00000000,,2,3,4,13,2.28313278,0.00000000,0.00000000,-5.00000000,1193,1101,765,765,764,1.29775281,0.41000000,1.66265060,0.24086022,1,1,1,1
CONNECTED_COMPONENT,15m->1H,1.0,ATR_ORIGIN,2294,2284,0.00435920,ATR_1_NOT_REACHED:10,2,3,5,25,2.79805193,0.00043592,0.00000000,-5.00000000,1193,1101,765,765,764,1.31838565,0.37007874,1.89743590,0.30555556,1,-1,1,1
CONNECTED_COMPONENT,15m->1H,1.0,CONFIRMED_DIRECTION_CHANGE,2294,2289,0.00217960,NO_CONFIRMED_CHANGE_32:5,4,6,8,25,3.31813197,0.00000000,0.00000000,-2.00000000,1193,1101,765,765,764,1.61423488,0.28148148,2.41860465,0.33822261,-1,-1,1,1
