event,interval,request_or_path,attempt,status,detail,rows,retrieval_time_utc
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1727946000000&limit=1000,1,OK,,1000,2026-07-18T20:22:08Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1727766000000&limit=1000,1,OK,,1000,2026-07-18T20:22:09Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1727586000000&limit=1000,1,OK,,1000,2026-07-18T20:22:09Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1727406000000&limit=1000,1,OK,,1000,2026-07-18T20:22:09Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1727226000000&limit=1000,1,OK,,1000,2026-07-18T20:22:10Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1727046000000&limit=1000,1,OK,,1000,2026-07-18T20:22:11Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1726866000000&limit=1000,1,OK,,1000,2026-07-18T20:22:11Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1726686000000&limit=1000,1,OK,,1000,2026-07-18T20:22:12Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1726506000000&limit=1000,1,OK,,1000,2026-07-18T20:22:13Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1726326000000&limit=1000,1,OK,,1000,2026-07-18T20:22:13Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1726146000000&limit=1000,1,OK,,1000,2026-07-18T20:22:13Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1725966000000&limit=1000,1,OK,,1000,2026-07-18T20:22:14Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1725786000000&limit=1000,1,OK,,1000,2026-07-18T20:22:14Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1725606000000&limit=1000,1,OK,,1000,2026-07-18T20:22:14Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1725426000000&limit=1000,1,OK,,1000,2026-07-18T20:22:14Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1725246000000&limit=1000,1,OK,,1000,2026-07-18T20:22:14Z
