parent_direction,counter_direction,parent_invalidation_boundary,parent_boundary_method,parent_age_bars,counter_age_bars,child_parent_duration_ratio,child_parent_amplitude_ratio,counter_displacement_atr,counter_progress_per_bar,counter_boundary_updates,successive_boundary_update_size,boundary_update_interval_bars,bars_since_last_counter_extreme,last_counter_extreme_time,overlap_ratio,range_contraction_ratio,first_renewed_parent_displacement,parent_boundary_preserved,failed_counter_extension,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,parent_reassertion,state_sequence,control_id,matched_case_id,start_time,end_time,duration_bars,target_duration_bars,duration_mismatch_bars,match_basis
UP,DOWN,0.2394,documented EXP-012 parent invalidation boundary,0,25,25.0,2.76,-3.490212,-0.298478,3,0.048626,4.0,12,2023-10-19 00:00:00,0.595723,1.557047,0.668258,1,0,1,1,0,1,1,ParentIntact -> ChildCounterMotion -> BalanceOrOverlap -> ParentReassertion,CTRL_1,CASE_1,2023-10-19 00:00:00,2023-10-23 04:00:00,25,25,0,nearest feasible non-target counter-phase duration; fixed parent direction
UP,DOWN,0.2394,documented EXP-012 parent invalidation boundary,0,74,74.0,10.9,-9.014491,-0.295596,11,0.010363,3.363636,37,2023-10-19 00:00:00,0.652224,0.699088,1.055698,1,0,1,1,0,1,1,ParentIntact -> ChildCounterMotion -> BalanceOrOverlap -> ParentReassertion,CTRL_2,CASE_2,2023-10-19 00:00:00,2023-10-31 08:00:00,74,144,70,nearest feasible non-target counter-phase duration; fixed parent direction
DOWN,UP,0.2644,documented EXP-012 parent invalidation boundary,0,74,74.0,10.9,9.014491,0.295596,25,-0.01323,1.48,5,2023-10-24 08:00:00,0.652224,0.699088,0.912052,0,1,0,1,1,1,1,ChildCounterMotion -> CounterProgressDecay -> BalanceOrOverlap -> FailedCounterExtension -> ParentReassertion,CTRL_3,CASE_3,2023-10-19 00:00:00,2023-10-31 08:00:00,74,140,66,nearest feasible non-target counter-phase duration; fixed parent direction
