instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,parent_magnitude_atr,parent_duration_bars,counter_magnitude_atr,counter_duration_bars,balance_range_atr,balance_duration_bars,reassertion_magnitude_atr,reassertion_duration_bars,balance_end_time,counter_parent_ratio,balance_counter_ratio,reassertion_counter_ratio,reassertion_parent_ratio,counter_speed_ratio,reassertion_counter_speed_ratio,balance_time_ratio,transition_symmetry,invalid_ratio_flags,mechanical_redundancy
ADAUSDT,1H_FALLBACK,UP,2023-07-13 04:00:00,2023-07-14 12:00:00,2023-07-15 00:00:00,2023-07-15 04:00:00,2023-07-15 04:00:00,0.2858,1,1,1,1,1,1,0.505308,1.31305,0.623881,0.577955,1.0,8,4,0.37861,0.5,1.0,0,,ADA_0085,7.320556788380071,8,1.2250942380183103,3,0.2509838216003494,1,0.5053078556263275,1,2023-07-15 00:00:00,0.16734987152383052,0.20486899196125202,0.4124644781969623,0.06902587743440544,0.44626632406354805,1.237393434590887,0.3333333333333333,2.6732738094117923,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-07-15 08:00:00,2023-07-16 16:00:00,2023-07-17 04:00:00,2023-07-17 08:00:00,2023-07-17 08:00:00,0.3376,1,1,1,1,0,1,0.761329,0.210764,0.266667,0.656066,0.666667,8,4,0.858537,0.5,1.0,0,,ADA_0098,0.8278388278388266,8,0.43470079036507697,3,0.5761957730811988,1,0.7613293051359465,1,2023-07-17 04:00:00,0.5251031671224168,1.3254997134863487,1.7513869815984358,0.9196588508943085,1.4002751123264447,5.2541609447953075,0.3333333333333333,0.08375249195297096,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-18 00:00:00,2023-07-19 08:00:00,2023-07-19 20:00:00,2023-07-20 00:00:00,2023-07-20 00:00:00,0.2996,1,1,0,1,0,1,0.616048,-0.727241,0.345029,0.64582,1.0,8,4,0.95082,0.5,1.0,0,,ADA_0114,0.8771084337349413,8,0.9244585314315915,3,0.8048780487804877,1,0.6160483175150989,1,2023-07-19 20:00:00,1.0539843146816203,0.870648083623692,0.6663882657463317,0.7023627795845209,2.8106248391509876,1.9991647972389952,0.3333333333333333,0.35330522840621187,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-22 04:00:00,2023-07-23 12:00:00,2023-07-24 00:00:00,2023-07-24 04:00:00,2023-07-24 04:00:00,0.3062,1,1,0,1,0,1,0.591252,0.540715,0.307692,0.614564,0.666667,8,4,0.831858,0.5,1.0,0,,ADA_0139,0.32935122220179935,8,0.6083038300611475,3,1.7056962025316413,1,0.5912518853695369,1,2023-07-24 00:00:00,1.8469760822336616,2.804020159399921,0.9719680464778653,1.795201734539993,4.925269552623098,2.9159041394335956,0.3333333333333333,0.5851174025556626,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-24 12:00:00,2023-07-25 20:00:00,2023-07-26 08:00:00,2023-07-26 12:00:00,2023-07-26 12:00:00,0.3,1,1,1,1,1,1,0.863436,0.470193,1.0,0.773083,0.333333,8,4,0.692308,0.5,1.0,0,,ADA_0153,0.0732864387371196,8,0.37223621606493346,3,0.5697674418604581,1,0.8634361233480132,1,2023-07-26 08:00:00,5.079196403582314,1.5306609547123353,2.3195919313702515,11.781662995594335,13.544523742886172,6.958775794110754,0.3333333333333333,2.4665443393628226,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-26 08:00:00,2023-07-27 16:00:00,2023-07-28 04:00:00,2023-07-28 08:00:00,2023-07-28 08:00:00,0.3003,1,1,1,1,1,1,0.77643,-0.168501,0.368421,0.539245,0.666667,8,4,0.545455,0.5,1.0,0,,ADA_0164,1.678752278711759,8,0.31292984869326546,3,0.7122807017543757,1,0.7764298093587471,1,2023-07-28 04:00:00,0.1864062093386414,2.2761673414304266,2.4811625116650515,0.4625040985526249,0.49708322490304374,7.443487534995155,0.3333333333333333,0.7710998603335169,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-27 12:00:00,2023-07-28 20:00:00,2023-07-29 08:00:00,2023-07-29 12:00:00,2023-07-29 12:00:00,0.3053,1,1,0,1,0,1,0.533632,0.257985,0.257143,0.634286,0.666667,8,4,0.62963,0.5,1.0,0,,ADA_0171,0.6247586354859581,8,0.20065520065519418,3,0.7641921397379899,1,0.5336322869955082,1,2023-07-29 08:00:00,0.32117235242233644,3.8084840923270034,2.6594490711083125,0.8541415143152543,0.8564596064595639,7.9783472133249385,0.3333333333333333,0.1576583912924565,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-27 16:00:00,2023-07-29 00:00:00,2023-07-29 12:00:00,2023-07-29 16:00:00,2023-07-29 16:00:00,0.3053,1,1,1,1,0,1,0.604545,0.149637,0.128205,0.537619,0.333333,8,4,0.62963,0.5,1.0,0,,ADA_0172,0.681590958487291,8,0.658401026079514,3,0.7219730941703925,1,0.604545454545458,1,2023-07-29 12:00:00,0.9659767605203504,1.0965552384834847,0.9182024793388582,0.8869622564935044,2.575938028054268,2.7546074380165746,0.3333333333333333,0.11995284944544016,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-28 20:00:00,2023-07-30 04:00:00,2023-07-30 16:00:00,2023-07-30 20:00:00,2023-07-30 20:00:00,0.3087,1,1,1,1,1,1,1.733075,1.746824,1.0,0.651463,0.333333,8,4,2.263158,0.5,1.0,0,,ADA_0179,1.1530750474126148,8,0.2540834845734926,3,2.354545454545461,1,1.7330754352031021,1,2023-07-30 16:00:00,0.22035294679529366,9.266818181818577,6.820889748549623,1.5030031558587191,0.5876078581207831,20.462669245648872,0.3333333333333333,0.4074652104750329,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 00:00:00,2023-08-01 08:00:00,2023-08-01 20:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,0.319,1,1,1,1,1,1,0.522523,1.021505,1.0,0.538425,0.333333,8,4,0.495868,0.5,1.0,0,,ADA_0192,2.2926631536278874,8,0.34050179211469733,3,0.8184079601990011,1,0.5225225225225246,1,2023-08-01 20:00:00,0.14851802000476635,2.403534956794947,1.5345661450924581,0.22791072543547888,0.39604805334604365,4.603698435277375,0.3333333333333333,1.4788012818129626,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
