representation,field,quartile,chronological_third,parent_direction,support_count,paired_rank_contrast,chronological_thirds_exhaustive
FIXED_8,distance_to_boundary_atr,4,1,DOWN,14,1.0,1
FIXED_8,distance_to_boundary_atr,4,2,UP,15,1.0,1
FIXED_8,distance_to_boundary_atr,4,2,DOWN,19,1.0,1
FIXED_8,distance_to_boundary_atr,4,3,UP,23,1.0,1
FIXED_8,distance_to_boundary_atr,4,3,DOWN,19,1.0,1
DIRECTION_RUN,age_bars,1,1,UP,0,0.0,1
DIRECTION_RUN,age_bars,1,1,DOWN,0,0.0,1
DIRECTION_RUN,age_bars,1,2,UP,0,0.0,1
DIRECTION_RUN,age_bars,1,2,DOWN,0,0.0,1
DIRECTION_RUN,age_bars,1,3,UP,0,0.0,1
DIRECTION_RUN,age_bars,1,3,DOWN,0,0.0,1
DIRECTION_RUN,age_bars,2,1,UP,28,1.0,1
DIRECTION_RUN,age_bars,2,1,DOWN,30,1.0,1
DIRECTION_RUN,age_bars,2,2,UP,25,1.0,1
DIRECTION_RUN,age_bars,2,2,DOWN,26,1.0,1
DIRECTION_RUN,age_bars,2,3,UP,21,1.0,1
DIRECTION_RUN,age_bars,2,3,DOWN,24,1.0,1
DIRECTION_RUN,age_bars,3,1,UP,18,1.0,1
DIRECTION_RUN,age_bars,3,1,DOWN,20,0.9,1
DIRECTION_RUN,age_bars,3,2,UP,12,1.0,1
DIRECTION_RUN,age_bars,3,2,DOWN,26,1.0,1
DIRECTION_RUN,age_bars,3,3,UP,24,1.0,1
DIRECTION_RUN,age_bars,3,3,DOWN,22,1.0,1
DIRECTION_RUN,age_bars,4,1,UP,19,1.0,1
DIRECTION_RUN,age_bars,4,1,DOWN,27,1.0,1
DIRECTION_RUN,age_bars,4,2,UP,20,1.0,1
DIRECTION_RUN,age_bars,4,2,DOWN,33,1.0,1
DIRECTION_RUN,age_bars,4,3,UP,25,1.0,1
DIRECTION_RUN,age_bars,4,3,DOWN,25,1.0,1
DIRECTION_RUN,displacement_atr,1,1,UP,0,0.0,1
DIRECTION_RUN,displacement_atr,1,1,DOWN,0,0.0,1
DIRECTION_RUN,displacement_atr,1,2,UP,0,0.0,1
DIRECTION_RUN,displacement_atr,1,2,DOWN,0,0.0,1
DIRECTION_RUN,displacement_atr,1,3,UP,0,0.0,1
DIRECTION_RUN,displacement_atr,1,3,DOWN,0,0.0,1
DIRECTION_RUN,displacement_atr,2,1,UP,36,1.0,1
DIRECTION_RUN,displacement_atr,2,1,DOWN,40,1.0,1
DIRECTION_RUN,displacement_atr,2,2,UP,32,1.0,1
DIRECTION_RUN,displacement_atr,2,2,DOWN,37,1.0,1
DIRECTION_RUN,displacement_atr,2,3,UP,31,1.0,1
DIRECTION_RUN,displacement_atr,2,3,DOWN,36,1.0,1
DIRECTION_RUN,displacement_atr,3,1,UP,13,1.0,1
DIRECTION_RUN,displacement_atr,3,1,DOWN,21,1.0,1
DIRECTION_RUN,displacement_atr,3,2,UP,15,1.0,1
DIRECTION_RUN,displacement_atr,3,2,DOWN,23,1.0,1
DIRECTION_RUN,displacement_atr,3,3,UP,18,1.0,1
DIRECTION_RUN,displacement_atr,3,3,DOWN,16,1.0,1
DIRECTION_RUN,displacement_atr,4,1,UP,16,1.0,1
DIRECTION_RUN,displacement_atr,4,1,DOWN,16,0.875,1
DIRECTION_RUN,displacement_atr,4,2,UP,10,1.0,1
DIRECTION_RUN,displacement_atr,4,2,DOWN,25,1.0,1
DIRECTION_RUN,displacement_atr,4,3,UP,21,1.0,1
DIRECTION_RUN,displacement_atr,4,3,DOWN,19,1.0,1
DIRECTION_RUN,efficiency,1,1,UP,0,0.0,1
DIRECTION_RUN,efficiency,1,1,DOWN,0,0.0,1
DIRECTION_RUN,efficiency,1,2,UP,0,0.0,1
DIRECTION_RUN,efficiency,1,2,DOWN,0,0.0,1
DIRECTION_RUN,efficiency,1,3,UP,0,0.0,1
DIRECTION_RUN,efficiency,1,3,DOWN,0,0.0,1
DIRECTION_RUN,efficiency,2,1,UP,35,1.0,1
DIRECTION_RUN,efficiency,2,1,DOWN,39,1.0,1
DIRECTION_RUN,efficiency,2,2,UP,32,1.0,1
DIRECTION_RUN,efficiency,2,2,DOWN,38,1.0,1
DIRECTION_RUN,efficiency,2,3,UP,32,1.0,1
DIRECTION_RUN,efficiency,2,3,DOWN,36,1.0,1
DIRECTION_RUN,efficiency,3,1,UP,12,1.0,1
DIRECTION_RUN,efficiency,3,1,DOWN,20,1.0,1
DIRECTION_RUN,efficiency,3,2,UP,15,1.0,1
DIRECTION_RUN,efficiency,3,2,DOWN,19,1.0,1
DIRECTION_RUN,efficiency,3,3,UP,23,1.0,1
DIRECTION_RUN,efficiency,3,3,DOWN,17,1.0,1
DIRECTION_RUN,efficiency,4,1,UP,18,1.0,1
DIRECTION_RUN,efficiency,4,1,DOWN,18,0.8888888888888888,1
DIRECTION_RUN,efficiency,4,2,UP,10,1.0,1
DIRECTION_RUN,efficiency,4,2,DOWN,28,1.0,1
DIRECTION_RUN,efficiency,4,3,UP,15,1.0,1
DIRECTION_RUN,efficiency,4,3,DOWN,18,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,1,1,UP,16,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,1,1,DOWN,22,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,1,2,UP,16,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,1,2,DOWN,20,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,1,3,UP,18,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,1,3,DOWN,14,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,2,1,UP,21,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,2,1,DOWN,16,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,2,2,UP,16,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,2,2,DOWN,18,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,2,3,UP,18,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,2,3,DOWN,17,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,3,1,UP,13,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,3,1,DOWN,23,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,3,2,UP,13,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,3,2,DOWN,20,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,3,3,UP,15,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,3,3,DOWN,22,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,4,1,UP,15,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,4,1,DOWN,16,0.875,1
DIRECTION_RUN,distance_to_boundary_atr,4,2,UP,12,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,4,2,DOWN,27,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,4,3,UP,19,1.0,1
DIRECTION_RUN,distance_to_boundary_atr,4,3,DOWN,18,1.0,1
ATR_ORIGIN,age_bars,1,1,UP,9,1.0,1
ATR_ORIGIN,age_bars,1,1,DOWN,10,0.8,1
ATR_ORIGIN,age_bars,1,2,UP,8,1.0,1
ATR_ORIGIN,age_bars,1,2,DOWN,18,1.0,1
ATR_ORIGIN,age_bars,1,3,UP,11,1.0,1
ATR_ORIGIN,age_bars,1,3,DOWN,14,1.0,1
ATR_ORIGIN,age_bars,2,1,UP,18,1.0,1
ATR_ORIGIN,age_bars,2,1,DOWN,23,1.0,1
ATR_ORIGIN,age_bars,2,2,UP,11,1.0,1
ATR_ORIGIN,age_bars,2,2,DOWN,19,1.0,1
ATR_ORIGIN,age_bars,2,3,UP,18,1.0,1
ATR_ORIGIN,age_bars,2,3,DOWN,14,1.0,1
ATR_ORIGIN,age_bars,3,1,UP,14,1.0,1
ATR_ORIGIN,age_bars,3,1,DOWN,21,1.0,1
ATR_ORIGIN,age_bars,3,2,UP,20,1.0,1
ATR_ORIGIN,age_bars,3,2,DOWN,23,1.0,1
ATR_ORIGIN,age_bars,3,3,UP,19,1.0,1
ATR_ORIGIN,age_bars,3,3,DOWN,17,1.0,1
ATR_ORIGIN,age_bars,4,1,UP,16,1.0,1
ATR_ORIGIN,age_bars,4,1,DOWN,19,1.0,1
ATR_ORIGIN,age_bars,4,2,UP,12,1.0,1
ATR_ORIGIN,age_bars,4,2,DOWN,19,1.0,1
ATR_ORIGIN,age_bars,4,3,UP,17,1.0,1
ATR_ORIGIN,age_bars,4,3,DOWN,21,1.0,1
ATR_ORIGIN,displacement_atr,1,1,UP,13,1.0,1
ATR_ORIGIN,displacement_atr,1,1,DOWN,18,1.0,1
ATR_ORIGIN,displacement_atr,1,2,UP,11,1.0,1
ATR_ORIGIN,displacement_atr,1,2,DOWN,21,1.0,1
ATR_ORIGIN,displacement_atr,1,3,UP,15,1.0,1
ATR_ORIGIN,displacement_atr,1,3,DOWN,19,1.0,1
ATR_ORIGIN,displacement_atr,2,1,UP,15,1.0,1
ATR_ORIGIN,displacement_atr,2,1,DOWN,17,1.0,1
ATR_ORIGIN,displacement_atr,2,2,UP,12,1.0,1
ATR_ORIGIN,displacement_atr,2,2,DOWN,16,1.0,1
ATR_ORIGIN,displacement_atr,2,3,UP,16,1.0,1
ATR_ORIGIN,displacement_atr,2,3,DOWN,22,1.0,1
ATR_ORIGIN,displacement_atr,3,1,UP,12,1.0,1
ATR_ORIGIN,displacement_atr,3,1,DOWN,12,1.0,1
ATR_ORIGIN,displacement_atr,3,2,UP,16,1.0,1
ATR_ORIGIN,displacement_atr,3,2,DOWN,24,1.0,1
ATR_ORIGIN,displacement_atr,3,3,UP,18,1.0,1
ATR_ORIGIN,displacement_atr,3,3,DOWN,15,1.0,1
ATR_ORIGIN,displacement_atr,4,1,UP,17,1.0,1
ATR_ORIGIN,displacement_atr,4,1,DOWN,26,0.9230769230769231,1
ATR_ORIGIN,displacement_atr,4,2,UP,12,1.0,1
ATR_ORIGIN,displacement_atr,4,2,DOWN,18,1.0,1
ATR_ORIGIN,displacement_atr,4,3,UP,16,1.0,1
ATR_ORIGIN,displacement_atr,4,3,DOWN,10,1.0,1
ATR_ORIGIN,efficiency,1,1,UP,14,1.0,1
ATR_ORIGIN,efficiency,1,1,DOWN,21,1.0,1
ATR_ORIGIN,efficiency,1,2,UP,10,1.0,1
ATR_ORIGIN,efficiency,1,2,DOWN,17,1.0,1
ATR_ORIGIN,efficiency,1,3,UP,15,1.0,1
ATR_ORIGIN,efficiency,1,3,DOWN,20,1.0,1
ATR_ORIGIN,efficiency,2,1,UP,16,1.0,1
ATR_ORIGIN,efficiency,2,1,DOWN,11,1.0,1
ATR_ORIGIN,efficiency,2,2,UP,17,1.0,1
ATR_ORIGIN,efficiency,2,2,DOWN,24,1.0,1
ATR_ORIGIN,efficiency,2,3,UP,15,1.0,1
ATR_ORIGIN,efficiency,2,3,DOWN,15,1.0,1
ATR_ORIGIN,efficiency,3,1,UP,14,1.0,1
ATR_ORIGIN,efficiency,3,1,DOWN,23,1.0,1
ATR_ORIGIN,efficiency,3,2,UP,13,1.0,1
ATR_ORIGIN,efficiency,3,2,DOWN,14,1.0,1
ATR_ORIGIN,efficiency,3,3,UP,18,1.0,1
ATR_ORIGIN,efficiency,3,3,DOWN,15,1.0,1
ATR_ORIGIN,efficiency,4,1,UP,13,1.0,1
ATR_ORIGIN,efficiency,4,1,DOWN,18,0.8888888888888888,1
ATR_ORIGIN,efficiency,4,2,UP,11,1.0,1
ATR_ORIGIN,efficiency,4,2,DOWN,24,1.0,1
ATR_ORIGIN,efficiency,4,3,UP,17,1.0,1
ATR_ORIGIN,efficiency,4,3,DOWN,16,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,1,1,UP,15,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,1,1,DOWN,16,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,1,2,UP,11,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,1,2,DOWN,23,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,1,3,UP,13,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,1,3,DOWN,19,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,2,1,UP,6,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,2,1,DOWN,23,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,2,2,UP,15,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,2,2,DOWN,26,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,2,3,UP,15,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,2,3,DOWN,13,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,3,1,UP,18,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,3,1,DOWN,20,0.9,1
ATR_ORIGIN,distance_to_boundary_atr,3,2,UP,8,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,3,2,DOWN,16,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,3,3,UP,17,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,3,3,DOWN,18,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,4,1,UP,18,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,4,1,DOWN,14,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,4,2,UP,17,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,4,2,DOWN,14,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,4,3,UP,20,1.0,1
ATR_ORIGIN,distance_to_boundary_atr,4,3,DOWN,16,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,1,1,UP,11,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,1,1,DOWN,15,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,1,2,UP,8,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,1,2,DOWN,16,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,1,3,UP,9,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,1,3,DOWN,12,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,2,1,UP,24,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,2,1,DOWN,22,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,2,2,UP,22,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,2,2,DOWN,28,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,2,3,UP,19,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,2,3,DOWN,23,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,3,1,UP,14,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,3,1,DOWN,17,0.8823529411764706,1
CONFIRMED_DIRECTION_CHANGE,age_bars,3,2,UP,14,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,3,2,DOWN,15,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,3,3,UP,22,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,3,3,DOWN,19,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,4,1,UP,16,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,4,1,DOWN,21,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,4,2,UP,13,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,4,2,DOWN,26,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,4,3,UP,20,1.0,1
CONFIRMED_DIRECTION_CHANGE,age_bars,4,3,DOWN,17,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,1,1,UP,18,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,1,1,DOWN,20,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,1,2,UP,11,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,1,2,DOWN,22,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,1,3,UP,13,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,1,3,DOWN,21,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,2,1,UP,14,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,2,1,DOWN,18,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,2,2,UP,18,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,2,2,DOWN,24,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,2,3,UP,12,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,2,3,DOWN,20,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,3,1,UP,17,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,3,1,DOWN,19,0.8947368421052632,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,3,2,UP,16,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,3,2,DOWN,18,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,3,3,UP,20,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,3,3,DOWN,15,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,4,1,UP,16,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,4,1,DOWN,18,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,4,2,UP,12,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,4,2,DOWN,21,1.0,1
CONFIRMED_DIRECTION_CHANGE,displacement_atr,4,3,UP,25,1.0,1
