representation,field,quartile,definition,support_count,rate_per_1000_parent_bars,support_inside_boundary,support_outside_boundary,valid_support,invalid_support,cap_hit_rate,sample_collapse_flag,concentration_flag,direction_imbalance_flag,up_contrast,down_contrast,third_1_contrast,third_2_contrast,third_3_contrast,equal_support_fixed_contrast,equal_support_contrast_difference,source_median,source_mean,control_median,control_mean,paired_rank_contrast,fraction_above_control,distribution_overlap
FIXED_8,age_bars,1,deterministic full-source quartile,0,0.0,0,0,425,0,0.0,YES,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
FIXED_8,age_bars,2,deterministic full-source quartile,0,0.0,0,0,425,0,0.0,YES,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
FIXED_8,age_bars,3,deterministic full-source quartile,0,0.0,0,0,425,0,0.0,YES,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
FIXED_8,age_bars,4,deterministic full-source quartile,425,128.78787878787878,369,56,425,0,0.0,NO,NO,NO,1.0,0.9914163090128756,0.9859154929577465,1.0,1.0,0.9952941176470588,0.0,0.759124,0.9123423388235283,-0.15083553210202336,-0.17226748537925313,0.9952941176470588,0.9976470588235294,0.4020616535215081
FIXED_8,displacement_atr,1,deterministic full-source quartile,106,32.121212121212125,85,21,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7615689999999999,0.9027507358490562,-0.15083553210202336,-0.17357355971293642,1.0,1.0,0.3622319329634113
FIXED_8,displacement_atr,2,deterministic full-source quartile,106,32.121212121212125,90,16,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7278395,0.8719704622641509,-0.2064841547523534,-0.23510825414930545,1.0,1.0,0.4330433693109483
FIXED_8,displacement_atr,3,deterministic full-source quartile,106,32.121212121212125,91,15,425,0,0.0,NO,NO,NO,1.0,0.9666666666666667,0.9393939393939394,1.0,1.0,1.0,-0.018867924528301883,0.7808325,0.969325679245283,-0.02857904647636144,-0.1194194852960928,0.9811320754716981,0.9905660377358491,0.4245864402586773
FIXED_8,displacement_atr,4,deterministic full-source quartile,107,32.42424242424242,103,4,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9813084112149533,0.01869158878504673,0.773006,0.9053880841121498,-0.15083553210202336,-0.16107423902242168,1.0,1.0,0.3885126919452239
FIXED_8,efficiency,1,deterministic full-source quartile,106,32.121212121212125,84,22,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7474695,0.8913891320754712,-0.15083553210202336,-0.17138463319197073,1.0,1.0,0.36660785406441293
FIXED_8,efficiency,2,deterministic full-source quartile,106,32.121212121212125,90,16,425,0,0.0,NO,NO,NO,1.0,0.9636363636363636,0.9555555555555556,1.0,1.0,1.0,-0.018867924528301883,0.7393935,0.9152398490566038,-0.17671391625470806,-0.22274691060205046,0.9811320754716981,0.9905660377358491,0.4189569730873633
FIXED_8,efficiency,3,deterministic full-source quartile,106,32.121212121212125,92,14,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.794611,0.9373198679245285,-0.16638055400139942,-0.15282227493225312,1.0,1.0,0.43452032362012544
FIXED_8,efficiency,4,deterministic full-source quartile,107,32.42424242424242,103,4,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9813084112149533,0.01869158878504673,0.759124,0.9054851962616822,-0.15083553210202336,-0.14239791122614512,1.0,1.0,0.38829137163382493
FIXED_8,distance_to_boundary_atr,1,deterministic full-source quartile,106,32.121212121212125,78,28,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.771037,0.9045738773584898,-0.15083553210202336,-0.1640190516551705,1.0,1.0,0.3918642013229107
FIXED_8,distance_to_boundary_atr,2,deterministic full-source quartile,106,32.121212121212125,89,17,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.725732,0.9332030188679246,-0.15083553210202336,-0.1354729930784782,1.0,1.0,0.4120967739410843
FIXED_8,distance_to_boundary_atr,3,deterministic full-source quartile,106,32.121212121212125,95,11,425,0,0.0,NO,NO,NO,1.0,0.9705882352941176,0.9444444444444444,1.0,1.0,1.0,-0.018867924528301883,0.7547225,0.9163224905660383,-0.15083553210202336,-0.22009030502580681,0.9811320754716981,0.9905660377358491,0.3987877623504795
FIXED_8,distance_to_boundary_atr,4,deterministic full-source quartile,107,32.42424242424242,107,0,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9813084112149533,0.01869158878504673,0.773006,0.8954295233644863,-0.1819255759007755,-0.1695135720717786,1.0,1.0,0.40546576223837916
DIRECTION_RUN,age_bars,1,deterministic full-source quartile,0,0.0,0,0,425,0,0.0,YES,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
