timeframe,model,state,available_bars,bar_count,bar_fraction,episode_count,mean_dwell,median_dwell,p75_dwell,p90_dwell,max_dwell,quarters_present,nonconsecutive_episode_count,state_changes_per_100_bars,largest_state_fraction
1H,BACKBONE_A,ACTIVE,12936,12330,0.9531539888682746,117,105.38461538461539,54.0,151.0,269.6,796,6,117,3.316326530612245,0.9531539888682746
1H,BACKBONE_A,FLATTENING,12936,213,0.016465677179962893,115,1.8521739130434782,1.0,2.0,4.0,8,6,115,3.316326530612245,0.9531539888682746
1H,BACKBONE_A,LOST,12936,278,0.021490414347557205,85,3.2705882352941176,3.0,5.0,6.0,13,6,85,3.316326530612245,0.9531539888682746
1H,BACKBONE_A,TRANSITION,12936,115,0.008889919604205319,113,1.0176991150442478,1.0,1.0,1.0,3,6,113,3.316326530612245,0.9531539888682746
1H,BACKBONE_B,ACTIVE,12936,10512,0.8126159554730983,112,93.85714285714286,50.5,146.0,242.90000000000006,779,6,112,4.135745207173779,0.8126159554730983
1H,BACKBONE_B,FLATTENING,12936,2006,0.15507111935683365,223,8.995515695067265,9.0,12.0,15.0,32,6,223,4.135745207173779,0.8126159554730983
1H,BACKBONE_B,LOST,12936,303,0.023423005565862708,88,3.4431818181818183,3.0,5.0,6.299999999999997,13,6,88,4.135745207173779,0.8126159554730983
1H,BACKBONE_B,TRANSITION,12936,115,0.008889919604205319,113,1.0176991150442478,1.0,1.0,1.0,3,6,113,4.135745207173779,0.8126159554730983
1H,BACKBONE_C,ACTIVE,12935,10505,0.812137611132586,109,96.37614678899082,54.0,152.0,246.20000000000005,779,6,109,3.8809431774255896,0.812137611132586
1H,BACKBONE_C,FLATTENING,12935,1922,0.14858909934286818,210,9.152380952380952,9.0,12.0,15.0,32,6,210,3.8809431774255896,0.812137611132586
1H,BACKBONE_C,LOST,12935,312,0.024120603015075376,72,4.333333333333333,3.5,6.0,7.899999999999999,13,6,72,3.8809431774255896,0.812137611132586
1H,BACKBONE_C,TRANSITION,12935,196,0.01515268650947043,112,1.75,2.0,2.0,3.0,4,6,112,3.8809431774255896,0.812137611132586
