timeframe,model,state,start_pos,end_pos,duration_bars
1H,BACKBONE_A,ACTIVE,0,33,34
1H,BACKBONE_A,FLATTENING,34,35,2
1H,BACKBONE_A,LOST,36,38,3
1H,BACKBONE_A,ACTIVE,39,148,110
1H,BACKBONE_A,FLATTENING,149,149,1
1H,BACKBONE_A,LOST,150,150,1
1H,BACKBONE_A,TRANSITION,151,151,1
1H,BACKBONE_A,ACTIVE,152,173,22
1H,BACKBONE_A,TRANSITION,174,174,1
1H,BACKBONE_A,LOST,175,179,5
1H,BACKBONE_A,FLATTENING,180,180,1
1H,BACKBONE_A,ACTIVE,181,230,50
1H,BACKBONE_A,FLATTENING,231,237,7
1H,BACKBONE_A,LOST,238,245,8
1H,BACKBONE_A,TRANSITION,246,246,1
1H,BACKBONE_A,ACTIVE,247,275,29
1H,BACKBONE_A,FLATTENING,276,277,2
1H,BACKBONE_A,TRANSITION,278,278,1
1H,BACKBONE_A,LOST,279,279,1
1H,BACKBONE_A,FLATTENING,280,283,4
1H,BACKBONE_A,ACTIVE,284,296,13
1H,BACKBONE_A,TRANSITION,297,297,1
1H,BACKBONE_A,LOST,298,298,1
1H,BACKBONE_A,FLATTENING,299,300,2
1H,BACKBONE_A,ACTIVE,301,376,76
1H,BACKBONE_A,FLATTENING,377,379,3
1H,BACKBONE_A,ACTIVE,380,380,1
1H,BACKBONE_A,FLATTENING,381,381,1
1H,BACKBONE_A,ACTIVE,382,382,1
1H,BACKBONE_A,FLATTENING,383,388,6
1H,BACKBONE_A,ACTIVE,389,398,10
1H,BACKBONE_A,TRANSITION,399,399,1
1H,BACKBONE_A,LOST,400,401,2
1H,BACKBONE_A,FLATTENING,402,403,2
1H,BACKBONE_A,ACTIVE,404,480,77
1H,BACKBONE_A,TRANSITION,481,481,1
1H,BACKBONE_A,ACTIVE,482,679,198
1H,BACKBONE_A,FLATTENING,680,680,1
1H,BACKBONE_A,LOST,681,683,3
1H,BACKBONE_A,TRANSITION,684,684,1
1H,BACKBONE_A,ACTIVE,685,721,37
1H,BACKBONE_A,FLATTENING,722,722,1
1H,BACKBONE_A,TRANSITION,723,723,1
1H,BACKBONE_A,FLATTENING,724,724,1
1H,BACKBONE_A,ACTIVE,725,1157,433
1H,BACKBONE_A,FLATTENING,1158,1160,3
1H,BACKBONE_A,LOST,1161,1166,6
1H,BACKBONE_A,TRANSITION,1167,1167,1
1H,BACKBONE_A,ACTIVE,1168,1197,30
1H,BACKBONE_A,FLATTENING,1198,1198,1
1H,BACKBONE_A,LOST,1199,1205,7
1H,BACKBONE_A,TRANSITION,1206,1206,1
1H,BACKBONE_A,ACTIVE,1207,1562,356
1H,BACKBONE_A,TRANSITION,1563,1563,1
1H,BACKBONE_A,FLATTENING,1564,1564,1
1H,BACKBONE_A,ACTIVE,1565,1573,9
1H,BACKBONE_A,TRANSITION,1574,1574,1
1H,BACKBONE_A,LOST,1575,1578,4
1H,BACKBONE_A,FLATTENING,1579,1579,1
1H,BACKBONE_A,ACTIVE,1580,1594,15
1H,BACKBONE_A,TRANSITION,1595,1595,1
1H,BACKBONE_A,LOST,1596,1599,4
1H,BACKBONE_A,TRANSITION,1600,1600,1
1H,BACKBONE_A,FLATTENING,1601,1601,1
1H,BACKBONE_A,LOST,1602,1608,7
1H,BACKBONE_A,FLATTENING,1609,1609,1
1H,BACKBONE_A,ACTIVE,1610,1644,35
1H,BACKBONE_A,TRANSITION,1645,1645,1
1H,BACKBONE_A,LOST,1646,1648,3
1H,BACKBONE_A,FLATTENING,1649,1650,2
1H,BACKBONE_A,ACTIVE,1651,1713,63
1H,BACKBONE_A,TRANSITION,1714,1714,1
1H,BACKBONE_A,FLATTENING,1715,1716,2
1H,BACKBONE_A,ACTIVE,1717,1890,174
