timeframe_1h,model,available_bars_1h,state_changes_per_100_bars_1h,active_fraction_1h,flattening_fraction_1h,lost_fraction_1h,transition_fraction_1h,largest_state_fraction_1h,active_episode_count_1h,lost_episode_count_1h,median_dwell_active_1h,median_dwell_flattening_1h,median_dwell_lost_1h,main_states_multi_quarter_1h,timeframe_4h,available_bars_4h,state_changes_per_100_bars_4h,active_fraction_4h,flattening_fraction_4h,lost_fraction_4h,transition_fraction_4h,largest_state_fraction_4h,active_episode_count_4h,lost_episode_count_4h,median_dwell_active_4h,median_dwell_flattening_4h,median_dwell_lost_4h,main_states_multi_quarter_4h,selected
1H,BACKBONE_A,12936,3.316326530612245,0.9531539888682746,0.016465677179962893,0.021490414347557205,0.008889919604205319,0.9531539888682746,117,85,54.0,1.0,3.0,3,4H,3036,2.9644268774703555,0.9594861660079052,0.014492753623188406,0.01745718050065876,0.008563899868247694,0.9594861660079052,26,18,67.5,2.0,2.5,3,False
1H,BACKBONE_B,12936,4.135745207173779,0.8126159554730983,0.15507111935683365,0.023423005565862708,0.008889919604205319,0.8126159554730983,112,88,50.5,9.0,3.0,3,4H,3036,3.9525691699604746,0.8175230566534915,0.15316205533596838,0.020750988142292492,0.008563899868247694,0.8175230566534915,26,20,46.5,8.0,3.0,3,False
1H,BACKBONE_C,12935,3.8809431774255896,0.812137611132586,0.14858909934286818,0.024120603015075376,0.01515268650947043,0.812137611132586,109,72,54.0,9.0,3.5,3,4H,3035,3.756177924217463,0.8171334431630972,0.1456342668863262,0.02372322899505766,0.013509060955518945,0.8171334431630972,26,17,46.5,8.0,4.0,3,True
