symbol,source_file,sha256,rows,schema,validated_against_exp027_provenance
BTCUSDT,/home/nnv/.local/state/msm-orchestrator/runtime/eb71c82e1c35223d23641163945b453d21ea0974a719f47663a1d3333a4f6995/corrector/home/.local/share/msm-market-data/bybit/linear/BTCUSDT/BTCUSDT_15m.csv,41332cdc5f8bcabde7f36b87eb15bdf6c466db755d4522982626d86e93e852ac,52798,timestamp_utc|open|high|low|close|volume|turnover,1
ETHUSDT,/home/nnv/.local/state/msm-orchestrator/runtime/eb71c82e1c35223d23641163945b453d21ea0974a719f47663a1d3333a4f6995/corrector/home/.local/share/msm-market-data/bybit/linear/ETHUSDT/ETHUSDT_15m.csv,b8642d639d512d6339d63140a1a7dde0ff6244edc161abc3f29418b48441d538,52798,timestamp_utc|open|high|low|close|volume|turnover,1
SOLUSDT,/home/nnv/.local/state/msm-orchestrator/runtime/eb71c82e1c35223d23641163945b453d21ea0974a719f47663a1d3333a4f6995/corrector/home/.local/share/msm-market-data/bybit/linear/SOLUSDT/SOLUSDT_15m.csv,8d24a585c49950ccfffa175776965a3c019f6986de93d30699910b6db24d04da,52798,timestamp_utc|open|high|low|close|volume|turnover,1
XRPUSDT,/home/nnv/.local/state/msm-orchestrator/runtime/eb71c82e1c35223d23641163945b453d21ea0974a719f47663a1d3333a4f6995/corrector/home/.local/share/msm-market-data/bybit/linear/XRPUSDT/XRPUSDT_15m.csv,0130b21df0294505fc8064a930d2bfc99c11291fad50a83821f297ae4c606194,52798,timestamp_utc|open|high|low|close|volume|turnover,1
