source_row_id,status,reason,tolerance,absolute_difference,key_section,key_episode_view,key_symbol,key_event_family,key_side,key_scale,key_representation,key_field,key_metric,committed_value,reconstructed_value,committed_event_n,reconstructed_event_n,committed_control_n,reconstructed_control_n
EXP027_TRANSFER_00024,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,SOLUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,48,48,48,48,,
EXP027_TRANSFER_00025,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,SOLUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,39,39,39,39,,
EXP027_TRANSFER_00026,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,13,13,13,13,,
EXP027_TRANSFER_00027,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,15,15,15,15,,
EXP027_TRANSFER_00028,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,XRPUSDT,ALL,ALL,,,representatives,count,1586,1586,1586,1586,,
EXP027_TRANSFER_00029,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,XRPUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,432,432,432,432,,
EXP027_TRANSFER_00030,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,XRPUSDT,FUNDING,FUNDING_LOW,,,representatives,count,101,101,101,101,,
EXP027_TRANSFER_00031,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,XRPUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,466,466,466,466,,
EXP027_TRANSFER_00032,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,XRPUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,439,439,439,439,,
EXP027_TRANSFER_00033,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,XRPUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,68,68,68,68,,
EXP027_TRANSFER_00034,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,XRPUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,51,51,51,51,,
EXP027_TRANSFER_00035,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,17,17,17,17,,
EXP027_TRANSFER_00036,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,XRPUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,12,12,12,12,,
EXP027_TRANSFER_00037,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,BTCUSDT,ALL,ALL,,,representatives,count,488,488,488,488,,
EXP027_TRANSFER_00038,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,BTCUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,57,57,57,57,,
EXP027_TRANSFER_00039,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,BTCUSDT,FUNDING,FUNDING_LOW,,,representatives,count,45,45,45,45,,
EXP027_TRANSFER_00040,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,BTCUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,123,123,123,123,,
EXP027_TRANSFER_00041,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,BTCUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,153,153,153,153,,
EXP027_TRANSFER_00042,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,BTCUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,46,46,46,46,,
EXP027_TRANSFER_00043,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,BTCUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,39,39,39,39,,
EXP027_TRANSFER_00044,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,BTCUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,15,15,15,15,,
EXP027_TRANSFER_00045,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,10,10,10,10,,
EXP027_TRANSFER_00046,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,ETHUSDT,ALL,ALL,,,representatives,count,491,491,491,491,,
EXP027_TRANSFER_00047,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,ETHUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,58,58,58,58,,
EXP027_TRANSFER_00048,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,ETHUSDT,FUNDING,FUNDING_LOW,,,representatives,count,55,55,55,55,,
EXP027_TRANSFER_00049,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,ETHUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,128,128,128,128,,
EXP027_TRANSFER_00050,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,ETHUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,141,141,141,141,,
EXP027_TRANSFER_00051,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,ETHUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,42,42,42,42,,
EXP027_TRANSFER_00052,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,ETHUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,40,40,40,40,,
EXP027_TRANSFER_00053,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,ETHUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,16,16,16,16,,
EXP027_TRANSFER_00054,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,11,11,11,11,,
EXP027_TRANSFER_00055,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,SOLUSDT,ALL,ALL,,,representatives,count,531,531,531,531,,
EXP027_TRANSFER_00056,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,SOLUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,57,57,57,57,,
EXP027_TRANSFER_00057,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,SOLUSDT,FUNDING,FUNDING_LOW,,,representatives,count,55,55,55,55,,
EXP027_TRANSFER_00058,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,SOLUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,155,155,155,155,,
EXP027_TRANSFER_00059,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,SOLUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,166,166,166,166,,
EXP027_TRANSFER_00060,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,SOLUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,38,38,38,38,,
EXP027_TRANSFER_00061,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,SOLUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,34,34,34,34,,
EXP027_TRANSFER_00062,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,SOLUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,11,11,11,11,,
EXP027_TRANSFER_00063,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,SOLUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,15,15,15,15,,
EXP027_TRANSFER_00064,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,XRPUSDT,ALL,ALL,,,representatives,count,538,538,538,538,,
EXP027_TRANSFER_00065,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,24H,XRPUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,68,68,68,68,,
