combo_id,scope,cost_mult,trades,long_trades,short_trades,win_rate,average_trade,median_trade,profit_factor,total_return,max_drawdown,exposure,avg_bars,median_bars,avg_mae,avg_mfe,mfe_capture_ratio,exit_delay_bars,stop_out_rate,regime_flip_exit_rate,long_total_return,short_total_return,fee_slippage_model
ENTRY_A_STOP_A_EXIT_A,TRAIN,1.0,55,22,33,0.2727272727272727,0.01825152516220925,-0.009906753701525908,2.6288787696193614,1.2036717477369523,-0.16009373652909165,0.24421864050455502,12.672727272727272,5.0,-0.019950801468390306,0.07135311029061733,-5.620023101853759,5.636363636363637,0.2,0.0,0.8029728310475899,0.22224345802068557,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_A_EXIT_A,TEMPORAL_TEST,1.0,21,7,14,0.23809523809523808,-0.007047200111025586,-0.016971559183572012,0.6359239449070374,-0.15375418963036025,-0.18846673320610463,0.1672504378283713,9.095238095238095,6.0,-0.02995545475469364,0.058376258311552395,-4.313901054479247,4.285714285714286,0.47619047619047616,0.0,-0.10260284762238281,-0.05699967051650867,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_A_EXIT_B,TRAIN,1.0,39,14,25,0.38461538461538464,0.031061066069086173,-0.0103704977117159,3.7439897935268154,1.7432934325451024,-0.16222555512957892,0.2640980735551664,19.333333333333332,7.0,-0.027935538820395747,0.09168179419449822,-2.2843495315397786,8.051282051282051,0.4358974358974359,0.0,1.0904729590335553,0.3122836249521983,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_A_EXIT_B,TEMPORAL_TEST,1.0,18,7,11,0.2777777777777778,-0.003922849198379198,-0.012604501293507812,0.7836925036021246,-0.08398452854980698,-0.1465378687656681,0.17513134851138354,11.11111111111111,6.5,-0.033303161548929754,0.06434833528566117,-3.6517295406058676,4.833333333333333,0.5555555555555556,0.0,-0.09121356611391052,0.007954605498666334,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_A_EXIT_C,TRAIN,1.0,43,17,26,0.3953488372093023,0.01276905661178939,-0.011976333195837555,1.8743059595330072,0.6119376493294866,-0.1887049741127209,0.15769095388947554,10.418604651162791,8.0,-0.02858125662123724,0.06384872914314743,-2.766846859811088,4.0,0.5581395348837209,0.0,0.38533444154435514,0.1635729257784977,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_A_EXIT_C,TEMPORAL_TEST,1.0,20,7,13,0.2,0.00045593420012462235,-0.022029278039697616,1.0198763083694415,-0.027392114297382086,-0.18197260097646129,0.14010507880910683,8.0,6.5,-0.034044205986222625,0.05833613111552767,-3.5873569935845873,3.3,0.65,0.0,-0.0686049532804921,0.04424850564566252,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_A_EXIT_D,TRAIN,1.0,45,19,26,0.4,0.015029418811679079,-0.009123437215294081,2.321339966579359,0.8387842056717778,-0.16070079639707424,0.1689545934530095,10.666666666666666,6.0,-0.025716652666415384,0.06484303104933807,-2.0001488841611192,3.7333333333333334,0.4,0.0,0.34239432795907776,0.3697794808678836,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_A_EXIT_D,TEMPORAL_TEST,1.0,20,7,13,0.25,0.004695027918004343,-0.014789495501482942,1.2495918886516255,0.059195691743537227,-0.16340863310019882,0.14185639229422067,8.1,6.5,-0.029652236634431235,0.061576696316669746,-3.3722257807461125,2.95,0.5,0.0,-0.01747640629208902,0.07803588486488766,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_B_EXIT_A,TRAIN,1.0,55,22,33,0.2727272727272727,0.016321605628852553,-0.007681718489798041,2.2426153404696967,0.9741101582350893,-0.20625712316973854,0.24597056762438682,12.763636363636364,5.0,-0.019950801468390306,0.07135311029061733,-6.102647392075655,5.7272727272727275,0.10909090909090909,0.0,0.6622955863178237,0.1875807013408315,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_B_EXIT_A,TEMPORAL_TEST,1.0,21,7,14,0.23809523809523808,-0.0074432363809086785,-0.018558052560863625,0.6231736693903503,-0.16121600710282402,-0.19532743328621638,0.16637478108581435,9.047619047619047,6.0,-0.02995545475469364,0.058376258311552395,-4.221676958539717,4.238095238095238,0.2857142857142857,0.0,-0.10132600563598737,-0.06664263330466191,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_B_EXIT_B,TRAIN,1.0,37,14,23,0.43243243243243246,0.031827896074770996,-0.009123437215294081,3.471212984402617,1.6439084199229166,-0.18834728674052725,0.2693520140105079,20.783783783783782,11.0,-0.028237456382058632,0.0963547601805993,-2.7780614885222414,8.81081081081081,0.21621621621621623,0.0,0.9451332355925295,0.35924283825088477,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_B_EXIT_B,TEMPORAL_TEST,1.0,18,7,11,0.2777777777777778,-0.007341671409133249,-0.01784010903691286,0.6700240987842524,-0.1411725974527237,-0.18743954725853973,0.17600700525394045,11.166666666666666,9.0,-0.03362082780353191,0.06661482041656536,-3.8006033161329253,5.5,0.3888888888888889,0.0,-0.12061305183130411,-0.02337940728394272,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_B_EXIT_C,TRAIN,1.0,41,17,24,0.4634146341463415,0.011399247222503149,-0.013555809096570448,1.6518752424080037,0.47911531557265086,-0.2576408845608953,0.17325866293314665,12.073170731707316,10.0,-0.031841183823802785,0.0673842444361566,-8.71556577656554,5.0,0.4146341463414634,0.0,0.25924289767145714,0.17460683582792003,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_B_EXIT_C,TEMPORAL_TEST,1.0,17,7,10,0.35294117647058826,0.005717214853502092,-0.01997246640731721,1.2361508671953236,0.06021116693060624,-0.21539125651179125,0.1646234676007005,11.058823529411764,10.0,-0.03822349562577005,0.07765208396851306,-3.304537435924714,4.411764705882353,0.47058823529411764,0.0,-0.1208448926094251,0.20594324939705455,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_B_EXIT_D,TRAIN,1.0,45,19,26,0.4,0.013823050427055653,-0.007681718489798041,2.098746544717101,0.7368777275740317,-0.19506361403836803,0.1786339754816112,11.333333333333334,8.0,-0.02582850977628911,0.06510062699014124,-2.4301524872451505,4.355555555555555,0.15555555555555556,0.0,0.2929672695612633,0.34332691048196273,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_A_STOP_B_EXIT_D,TEMPORAL_TEST,1.0,19,7,12,0.2631578947368421,0.00661832079520335,-0.018558052560863625,1.3646983813180134,0.09417506846309487,-0.14895573520794814,0.14798598949211908,8.894736842105264,7.0,-0.030653518479717815,0.06423824081794295,-3.5501895358347415,3.4210526315789473,0.2631578947368421,0.0,-0.013816412876741624,0.10950443989323833,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_A_EXIT_A,TRAIN,1.0,87,33,54,0.22988505747126436,0.0031843037197934534,-0.020391528796889394,1.1518989279362521,-0.014777236139259187,-0.5697664129177225,0.41865948130683733,14.28735632183908,8.0,-0.03024929278659178,0.06747452246634864,-4.6753331647470215,6.436781609195402,0.28735632183908044,0.0,0.4015228561575015,-0.29703410862532253,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_A_EXIT_A,TEMPORAL_TEST,1.0,34,10,24,0.2647058823529412,-0.004400610665923199,-0.02333417013523659,0.7892313211496969,-0.17961702887405828,-0.3491754288242034,0.42068361086765993,14.117647058823529,12.0,-0.031976750372630224,0.06926721164088491,-4.675891579630325,6.911764705882353,0.17647058823529413,0.0,-0.21274083046464787,0.04207483745173746,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_A_EXIT_B,TRAIN,1.0,70,28,42,0.2714285714285714,0.010891130338939058,-0.020656613926846416,1.4681589563644264,0.4961739006335635,-0.4393411428208279,0.45402492421690804,19.257142857142856,10.0,-0.037821695900278084,0.07989333458173821,-4.112612881404243,8.528571428571428,0.4857142857142857,0.0,0.7556775664065627,-0.14780827114180162,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_A_EXIT_B,TEMPORAL_TEST,1.0,30,8,22,0.26666666666666666,-0.006777444149024343,-0.02502823932708811,0.7038005892676895,-0.21662806757786357,-0.33973477257967466,0.4671340929009641,17.766666666666666,16.0,-0.03704018557066269,0.07477986015369262,-5.158369710321923,9.366666666666667,0.23333333333333334,0.0,-0.1974713032752653,-0.02387050379728539,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_A_EXIT_C,TRAIN,1.0,94,39,55,0.30851063829787234,-0.005940745836980905,-0.01872864504728724,0.7109567296795138,-0.48277080356779545,-0.535543752133257,0.32637251599865275,10.308510638297872,8.0,-0.035131058340107296,0.04473615300662794,-5.2258808777864045,4.702127659574468,0.5,0.0,-0.21983694815966426,-0.33702423459800257,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_A_EXIT_C,TEMPORAL_TEST,1.0,39,9,30,0.358974358974359,-0.00315761658990241,-0.021195299667867304,0.8721068838467813,-0.17630099705713909,-0.4105850692467672,0.32778264680105174,9.58974358974359,9.0,-0.03749051114428943,0.05602886258466981,-5.412432351497523,4.589743589743589,0.4358974358974359,0.0,-0.16199036607273287,-0.01707692895765489,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_A_EXIT_D,TRAIN,1.0,91,39,52,0.31868131868131866,-0.005271604362297522,-0.019958539969490076,0.7324393400816228,-0.43639969789357125,-0.4785241238570753,0.3371505557426743,11.0,8.0,-0.03257803293429286,0.050470487918012376,-3.535770647740498,4.56043956043956,0.38461538461538464,0.0,-0.351405989120928,-0.13104300586656115,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_A_EXIT_D,TEMPORAL_TEST,1.0,37,9,28,0.2702702702702703,0.00038333560623047294,-0.020062119409978464,1.0171828851605922,-0.0569148941569485,-0.3508087961767278,0.33654688869412797,10.378378378378379,8.0,-0.03561590805743982,0.05891942855074695,-4.894789173307873,5.135135135135135,0.2972972972972973,0.0,-0.05361888100205414,-0.003482754557047385,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_B_EXIT_A,TRAIN,1.0,88,34,54,0.25,0.0062246356973280174,-0.018607047233302962,1.3209809118893692,0.2874504279051293,-0.4594863436276664,0.4328056584708656,14.602272727272727,7.0,-0.02897481954230342,0.07001711772589916,-4.117023661915751,6.590909090909091,0.29545454545454547,0.0,0.3646634434112235,-0.056580262246262336,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_B_EXIT_A,TEMPORAL_TEST,1.0,37,10,27,0.24324324324324326,-0.008266385405418335,-0.028606573652824034,0.6468649156013656,-0.3006941338595901,-0.3868061666732969,0.39964943032427697,12.324324324324325,9.0,-0.032397327056873114,0.06369484571302904,-4.404659297204134,5.972972972972973,0.2972972972972973,0.0,-0.2147955841591821,-0.1093964169934345,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_B_EXIT_B,TRAIN,1.0,72,29,43,0.2916666666666667,0.013835244738414028,-0.021286602854277473,1.6378173067945463,0.8787519288556769,-0.39664408913308546,0.46565656565656566,19.208333333333332,9.0,-0.035266318385801056,0.08158032866148682,-4.4792152866363,8.625,0.5277777777777778,0.0,0.6966181998918661,0.1073510404258422,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_B_EXIT_B,TEMPORAL_TEST,1.0,35,9,26,0.22857142857142856,-0.00952508170390985,-0.024351522799351072,0.5976377545483624,-0.3137243283318466,-0.3717199593510464,0.44259421560035056,14.428571428571429,10.0,-0.03658524928878169,0.06586208849025334,-4.642516946243808,7.8,0.37142857142857144,0.0,-0.19723249076447735,-0.1451127957063243,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_B_EXIT_C,TRAIN,1.0,94,38,56,0.32978723404255317,-0.004605298068056831,-0.017529272324682883,0.7711714293286299,-0.4152409731172355,-0.46029503100891456,0.32760942760942763,10.351063829787234,8.0,-0.03379950172729473,0.04557383922590605,-3.7711479808495416,4.680851063829787,0.5106382978723404,0.0,-0.2209183213478183,-0.24942526193864223,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_B_EXIT_C,TEMPORAL_TEST,1.0,41,10,31,0.3170731707317073,-0.006699254487519705,-0.029948902614230784,0.7521207067280078,-0.2932564915701814,-0.4420325761293993,0.32252410166520595,8.975609756097562,8.0,-0.03970697555529622,0.053850338651204414,-4.379280563316681,4.341463414634147,0.5121951219512195,0.0,-0.1808798900477827,-0.1371918478829124,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_B_EXIT_D,TRAIN,1.0,95,40,55,0.3263157894736842,-0.0050314163818898396,-0.01943199665074357,0.7383923830573341,-0.4351400091845873,-0.4810979753848814,0.3383838383838384,10.578947368421053,8.0,-0.03095942588436031,0.049365201495409634,-3.8010888827871403,4.431578947368421,0.3894736842105263,0.0,-0.36547864135571684,-0.1097856941769596,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
ENTRY_B_STOP_B_EXIT_D,TEMPORAL_TEST,1.0,40,10,30,0.25,-0.003108535952684793,-0.020614001329467405,0.8710102217145484,-0.1810138295574576,-0.37291428986111885,0.32602979842243646,9.3,6.5,-0.03688965275182497,0.054749801644424265,-4.679515059130862,4.675,0.35,0.0,-0.06455377726904621,-0.12449679036429961,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0"
