combo_id,scope,cost_mult,trades,long_trades,short_trades,win_rate,average_trade,median_trade,profit_factor,total_return,max_drawdown,exposure,avg_bars,median_bars,avg_mae,avg_mfe,mfe_capture_ratio,exit_delay_bars,stop_out_rate,regime_flip_exit_rate,long_total_return,short_total_return,fee_slippage_model,top1_profit_share,without_top1_total_return,pf_cost_x2,return_cost_x2,pf_cost_x3,return_cost_x3,passes_train_gate,rank_score
ENTRY_A_STOP_A_EXIT_B,TRAIN,1.0,39,14,25,0.38461538461538464,0.031061066069086173,-0.0103704977117159,3.7439897935268154,1.7432934325451024,-0.16222555512957892,0.2640980735551664,19.333333333333332,7.0,-0.027935538820395747,0.09168179419449822,-2.2843495315397786,8.051282051282051,0.4358974358974359,0.0,1.0904729590335553,0.3122836249521983,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.3793263520494806,0.6861373812834022,3.3102083926474073,1.5415775572642696,2.952251582279261,1.354338873603559,True,6.137034431286707
ENTRY_A_STOP_B_EXIT_B,TRAIN,1.0,37,14,23,0.43243243243243246,0.031827896074770996,-0.009123437215294081,3.471212984402617,1.6439084199229166,-0.18834728674052725,0.2693520140105079,20.783783783783782,11.0,-0.028237456382058632,0.0963547601805993,-2.7780614885222414,8.81081081081081,0.21621621621621623,0.0,0.9451332355925295,0.35924283825088477,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.3790228592843838,0.6250513950255929,3.120956079413557,1.4591297136150971,2.8180249799646724,1.2869375535973178,True,5.657728258656247
ENTRY_A_STOP_A_EXIT_A,TRAIN,1.0,55,22,33,0.2727272727272727,0.01825152516220925,-0.009906753701525908,2.6288787696193614,1.2036717477369523,-0.16009373652909165,0.24421864050455502,12.672727272727272,5.0,-0.019950801468390306,0.07135311029061733,-5.620023101853759,5.636363636363637,0.2,0.0,0.8029728310475899,0.22224345802068557,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.41188705951707244,0.3216999861104546,2.2805674411412076,0.9763805529975882,2.0023803410888976,0.7721481982775011,True,4.084544010836829
ENTRY_A_STOP_B_EXIT_A,TRAIN,1.0,55,22,33,0.2727272727272727,0.016321605628852553,-0.007681718489798041,2.2426153404696967,0.9741101582350893,-0.20625712316973854,0.24597056762438682,12.763636363636364,5.0,-0.019950801468390306,0.07135311029061733,-6.102647392075655,5.7272727272727275,0.10909090909090909,0.0,0.6622955863178237,0.1875807013408315,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.41188705951707244,0.18401543759832073,1.9795365539604746,0.7700918797846226,1.763061029754187,0.5868125280185261,True,3.2624303189723363
ENTRY_A_STOP_A_EXIT_D,TRAIN,1.0,45,19,26,0.4,0.015029418811679079,-0.009123437215294081,2.321339966579359,0.8387842056717778,-0.16070079639707424,0.1689545934530095,10.666666666666666,6.0,-0.025716652666415384,0.06484303104933807,-2.0001488841611192,3.7333333333333334,0.4,0.0,0.34239432795907776,0.3697794808678836,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.14811506332736515,0.5636106334557955,2.0341230861767134,0.6822116149018573,1.7966970989934548,0.5386991271863977,True,3.2567207238256284
ENTRY_A_STOP_B_EXIT_D,TRAIN,1.0,45,19,26,0.4,0.013823050427055653,-0.007681718489798041,2.098746544717101,0.7368777275740317,-0.19506361403836803,0.1786339754816112,11.333333333333334,8.0,-0.02582850977628911,0.06510062699014124,-2.4301524872451505,4.355555555555555,0.15555555555555556,0.0,0.2929672695612633,0.34332691048196273,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.14811506332736515,0.4769544329727975,1.8563795141263004,0.5887918278568234,1.652681443485435,0.4530740481386808,True,2.838801036820591
ENTRY_A_STOP_A_EXIT_C,TRAIN,1.0,43,17,26,0.3953488372093023,0.01276905661178939,-0.011976333195837555,1.8743059595330072,0.6119376493294866,-0.1887049741127209,0.15769095388947554,10.418604651162791,8.0,-0.02858125662123724,0.06384872914314743,-2.766846859811088,4.0,0.5581395348837209,0.0,0.38533444154435514,0.1635729257784977,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.15734200082878272,0.36005147531026704,1.6809784010266247,0.48019412141538265,1.5151179188053594,0.35898707692388365,True,2.346595729449094
ENTRY_A_STOP_B_EXIT_C,TRAIN,1.0,41,17,24,0.4634146341463415,0.011399247222503149,-0.013555809096570448,1.6518752424080037,0.47911531557265086,-0.2576408845608953,0.17325866293314665,12.073170731707316,10.0,-0.031841183823802785,0.0673842444361566,-8.71556577656554,5.0,0.4146341463414634,0.0,0.25924289767145714,0.17460683582792003,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.15637819562464844,0.24798435468976465,1.5054453674703994,0.3634293638297603,1.3752549213154721,0.256587176885233,True,1.8505417261857664
ENTRY_C_STOP_B_EXIT_B,TRAIN,1.0,75,31,44,0.28,0.01633305467635516,-0.01864465704504486,1.8429388341353845,1.3154154145527293,-0.3822064507213019,0.4946164199192463,19.6,10.0,-0.031450811978786915,0.0834770300367384,-4.099162621368202,8.413333333333334,0.4533333333333333,0.0,1.0425054900080695,0.13361527098934722,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.25249687620427175,0.3813166535953112,1.6885488392111654,0.9947458714169977,1.5539579806131159,0.7179734618141387,False,3.83810324390084
ENTRY_C_STOP_A_EXIT_B,TRAIN,1.0,76,32,44,0.27631578947368424,0.014531470265668964,-0.018728413999118843,1.7187336457709486,1.0469211332361983,-0.4345215814946346,0.49680242342645575,19.42105263157895,11.0,-0.03268472146691325,0.08232913365588634,-4.331199013304301,8.236842105263158,0.4605263157894737,0.0,0.9021248504470094,0.07612343782541942,"fee 0.0010 per side, slippage 0.0005 per side, cost_mult=1.0",0.2560564943587815,0.22113994411733984,1.578346638478451,0.7594616642648864,1.4549518727774307,0.5119120363731016,False,3.2190599489132516
