trade_id,combo_id,entry,stop_kind,exit,direction,signal_time,entry_time,entry_regime,entry_raw,entry_price,stop_price,scope,exit_time,exit_price,exit_reason,bars,gross_return,net_return,mfe,mae,mfe_capture,exit_delay_bars,best_time,worst_time
ENTRY_A_STOP_A_EXIT_A_TRAIN_0001,ENTRY_A_STOP_A_EXIT_A,ENTRY_A,STOP_A,EXIT_A,SHORT,2023-08-20 20:00:00,2023-08-21 00:00:00,BEAR_REGIME,0.2701,0.26996495000000004,0.2731,TRAIN,2023-08-21 04:00:00,0.2703351,EMA27_CLOSE,2,-0.0013711039155266563,-0.0033711039155266565,0.0013518421558058942,-0.009390293073230369,-2.4937111933138296,1,2023-08-21 00:00:00,2023-08-21 00:00:00
ENTRY_A_STOP_A_EXIT_A_TRAIN_0002,ENTRY_A_STOP_A_EXIT_A,ENTRY_A,STOP_A,EXIT_A,SHORT,2023-08-21 04:00:00,2023-08-21 08:00:00,BEAR_REGIME,0.2674,0.26726630000000007,0.2731,TRAIN,2023-08-23 20:00:00,0.26843415,EMA27_CLOSE,16,-0.00436961188148268,-0.00636961188148268,0.0660999909079449,-0.009480057904793518,-0.09636327923786574,6,2023-08-22 20:00:00,2023-08-23 16:00:00
ENTRY_A_STOP_A_EXIT_A_TRAIN_0003,ENTRY_A_STOP_A_EXIT_A,ENTRY_A,STOP_A,EXIT_A,SHORT,2023-08-31 12:00:00,2023-08-31 16:00:00,BEAR_REGIME,0.2589,0.25877055000000004,0.2666,TRAIN,2023-09-04 04:00:00,0.2577288,EMA27_CLOSE,22,0.0040257672289217734,0.0020257672289217734,0.038530466469233256,-0.003978234772078707,0.05257572551163785,21,2023-08-31 16:00:00,2023-09-04 00:00:00
ENTRY_A_STOP_A_EXIT_A_TRAIN_0004,ENTRY_A_STOP_A_EXIT_A,ENTRY_A,STOP_A,EXIT_A,SHORT,2023-09-04 04:00:00,2023-09-04 08:00:00,BEAR_REGIME,0.2569,0.25677155,0.2598,TRAIN,2023-09-05 08:00:00,0.25692839999999995,EMA27_CLOSE,7,-0.0006108542788324121,-0.002610854278832412,0.014688348456049792,-0.00400531133608828,-0.17775002319999164,3,2023-09-04 20:00:00,2023-09-04 08:00:00
ENTRY_A_STOP_A_EXIT_A_TRAIN_0005,ENTRY_A_STOP_A_EXIT_A,ENTRY_A,STOP_A,EXIT_A,SHORT,2023-09-05 16:00:00,2023-09-05 20:00:00,BEAR_REGIME,0.2565,0.25637175,0.2588,TRAIN,2023-09-06 00:00:00,0.25762875,EMA27_CLOSE,2,-0.004903036313478408,-0.006903036313478408,0.0018401013372182893,-0.005180953049624131,-3.75144356120834,1,2023-09-05 20:00:00,2023-09-05 20:00:00
ENTRY_A_STOP_A_EXIT_A_TRAIN_0006,ENTRY_A_STOP_A_EXIT_A,ENTRY_A,STOP_A,EXIT_A,SHORT,2023-09-07 04:00:00,2023-09-07 08:00:00,BEAR_REGIME,0.2566,0.2564717,0.261,TRAIN,2023-09-08 00:00:00,0.25792889999999996,EMA27_CLOSE,5,-0.005681718489798041,-0.007681718489798041,0.013926292842446206,-0.01219744712574515,-0.5515982305344599,3,2023-09-07 12:00:00,2023-09-07 20:00:00
ENTRY_A_STOP_A_EXIT_A_TRAIN_0007,ENTRY_A_STOP_A_EXIT_A,ENTRY_A,STOP_A,EXIT_A,SHORT,2023-09-13 16:00:00,2023-09-13 20:00:00,BEAR_REGIME,0.2474,0.24727630000000003,0.25,TRAIN,2023-09-14 00:00:00,0.2485242,EMA27_CLOSE,2,-0.005046581496083402,-0.007046581496083402,0.0,-0.00858836855776303,0.0,1,2023-09-13 20:00:00,2023-09-13 20:00:00
ENTRY_A_STOP_A_EXIT_A_TRAIN_0008,ENTRY_A_STOP_A_EXIT_A,ENTRY_A,STOP_A,EXIT_A,SHORT,2023-09-18 04:00:00,2023-09-18 08:00:00,BEAR_REGIME,0.248,0.247876,0.2511,TRAIN,2023-09-18 08:00:00,0.25122554999999996,STOP,1,-0.013513006503251428,-0.015513006503251428,0.0003066049153609889,-0.02631961141861254,-50.59607894735414,0,2023-09-18 08:00:00,2023-09-18 08:00:00
ENTRY_A_STOP_A_EXIT_A_TRAIN_0009,ENTRY_A_STOP_A_EXIT_A,ENTRY_A,STOP_A,EXIT_A,SHORT,2023-09-26 08:00:00,2023-09-26 12:00:00,BEAR_REGIME,0.2455,0.24537725000000002,0.2478,TRAIN,2023-09-27 04:00:00,0.24582284999999998,EMA27_CLOSE,5,-0.001815979272731937,-0.003815979272731937,0.010095679204164256,-0.0029454645856532916,-0.3779814310222858,2,2023-09-26 20:00:00,2023-09-27 00:00:00
ENTRY_A_STOP_A_EXIT_A_TRAIN_0010,ENTRY_A_STOP_A_EXIT_A,ENTRY_A,STOP_A,EXIT_A,SHORT,2023-09-27 04:00:00,2023-09-27 08:00:00,BEAR_REGIME,0.2446,0.24447770000000002,0.2461,TRAIN,2023-09-27 08:00:00,0.24622305,STOP,1,-0.007139096940129831,-0.009139096940129831,0.0015449261834515318,-0.015634554808066227,-5.915555732062293,0,2023-09-27 08:00:00,2023-09-27 08:00:00
