trade_id,combo_id,scope,ref_time,ref_idx,ref_open,ref_close,ref_mid,ref_body_low,ref_body_high
ENTRY_A_STOP_A_EXIT_A_TRAIN_0002,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-08-21 12:00:00,309,0.2672,0.2611,0.26415,0.2611,0.2672
ENTRY_A_STOP_A_EXIT_A_TRAIN_0002,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-08-22 08:00:00,314,0.2614,0.2588,0.2601,0.2588,0.2614
ENTRY_A_STOP_A_EXIT_A_TRAIN_0002,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-08-22 12:00:00,315,0.2588,0.2557,0.25725,0.2557,0.2588
ENTRY_A_STOP_A_EXIT_A_TRAIN_0002,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-08-22 12:00:00,315,0.2588,0.2557,0.25725,0.2557,0.2588
ENTRY_A_STOP_A_EXIT_A_TRAIN_0002,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-08-22 12:00:00,315,0.2588,0.2557,0.25725,0.2557,0.2588
ENTRY_A_STOP_A_EXIT_A_TRAIN_0002,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-08-22 12:00:00,315,0.2588,0.2557,0.25725,0.2557,0.2588
ENTRY_A_STOP_A_EXIT_A_TRAIN_0002,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-08-22 12:00:00,315,0.2588,0.2557,0.25725,0.2557,0.2588
ENTRY_A_STOP_A_EXIT_A_TRAIN_0002,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-08-22 12:00:00,315,0.2588,0.2557,0.25725,0.2557,0.2588
ENTRY_A_STOP_A_EXIT_A_TRAIN_0002,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-08-22 12:00:00,315,0.2588,0.2557,0.25725,0.2557,0.2588
ENTRY_A_STOP_A_EXIT_A_TRAIN_0003,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-09-01 12:00:00,375,0.258,0.2554,0.25670000000000004,0.2554,0.258
ENTRY_A_STOP_A_EXIT_A_TRAIN_0003,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-09-01 12:00:00,375,0.258,0.2554,0.25670000000000004,0.2554,0.258
ENTRY_A_STOP_A_EXIT_A_TRAIN_0003,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-09-01 12:00:00,375,0.258,0.2554,0.25670000000000004,0.2554,0.258
