exit,trades,avg_mfe_capture,avg_profit_giveback_from_mfe,avg_exit_delay_bars,premature_exits,late_exits,ema27_exits,reference_exits,stop_exits,regime_flip_exits
EXIT_A,480,-4.579951949388794,0.06130645017172561,6.2,2,215,361,0,119,0
EXIT_B,369,-3.899383823184897,0.06679654004864272,8.441734417344174,0,201,203,0,166,0
EXIT_C,486,-4.526632574523953,0.0507166929839077,4.724279835390947,0,189,0,252,234,0
EXIT_D,502,-3.279184985872913,0.052950215682669347,4.342629482071713,0,143,81,244,177,0
