trade_id,mfe_3b_atr,mae_3b_atr,mfe_6b_atr,mae_6b_atr,mfe_12b_atr,mae_12b_atr,mfe_24b_atr,mae_24b_atr,plus1_before_minus1,plus2_before_minus1
ENTRY_A_DEVELOPMENT_0001,1.337400602409657,-0.4336837349397444,1.5904126506024252,-0.4336837349397444,1.5904126506024252,-1.108382530120491,2.096436746987962,-1.783081325301214,True,False
ENTRY_A_DEVELOPMENT_0002,0.347677037037041,-0.9589896296296255,0.347677037037041,-1.1249155555555446,0.472121481481489,-1.622693333333325,0.472121481481489,-1.622693333333325,False,False
ENTRY_A_DEVELOPMENT_0003,0.05019672131148103,-1.7858688524590092,0.05019672131148103,-1.8432459016393399,0.32068852459017166,-2.203901639344259,1.9928196721311535,-2.203901639344259,False,False
ENTRY_A_DEVELOPMENT_0004,3.0659203622010716,-0.015574878105409286,4.008571859763178,-0.015574878105409286,4.008571859763178,-0.015574878105409286,4.008571859763178,-0.015574878105409286,True,True
ENTRY_A_DEVELOPMENT_0005,-0.004351714677639948,-1.1220471879286702,0.003330041152263189,-1.1873421124828554,0.003330041152263189,-1.3832268861454067,0.003330041152263189,-1.8594957475994525,False,False
ENTRY_A_DEVELOPMENT_0006,1.4767427055702942,-0.5232572944297065,1.598758620689656,-0.5232572944297065,2.081517241379311,-3.3614535809018546,2.081517241379311,-4.820339522546416,True,True
ENTRY_A_DEVELOPMENT_0007,0.28007280832095255,-1.5921411589895995,0.28007280832095255,-1.5921411589895995,0.42984992570579394,-1.5921411589895995,2.1814101040118876,-2.2494962852897498,False,False
ENTRY_A_DEVELOPMENT_0008,0.4199228032728625,-0.780361792956238,0.48466844539310283,-0.780361792956238,0.48466844539310283,-2.722731056563497,2.581431163287092,-2.722731056563497,False,False
ENTRY_A_DEVELOPMENT_0009,0.48310191082802517,-0.5805923566878938,0.48310191082802517,-0.988235668789809,0.48310191082802517,-2.465942675159235,0.48310191082802517,-3.4595732484076382,False,False
ENTRY_A_DEVELOPMENT_0010,0.3640689881734608,-0.7305433639947434,0.428457950065706,-2.809386990801582,0.428457950065706,-3.7568245729303595,0.428457950065706,-3.7568245729303595,False,False
ENTRY_A_DEVELOPMENT_0011,2.494992025518354,-0.4300478468899354,2.494992025518354,-1.0105901116427236,2.494992025518354,-2.662902711323746,2.494992025518354,-3.131802232854844,True,True
ENTRY_A_DEVELOPMENT_0012,2.571242873432161,-0.06273660205244781,4.023922462941853,-0.06273660205244781,4.023922462941853,-1.8187229190421872,4.023922462941853,-1.8187229190421872,True,True
ENTRY_T1_DEVELOPMENT_0001,1.5647099999999827,-0.20862333333333521,2.0780433333333366,-0.20862333333333521,3.618043333333321,-0.20862333333333521,9.73137666666665,-0.20862333333333521,True,True
ENTRY_T1_DEVELOPMENT_0002,0.1454589147286778,-0.35376589147286536,0.42762945736434155,-0.37547131782945214,0.42762945736434155,-1.2219829457364313,0.49274573643411385,-4.43438604651163,False,False
ENTRY_T1_DEVELOPMENT_0003,-0.013086956521729332,-3.3174347826086947,0.07386956521739181,-3.5783043478260823,0.07386956521739181,-8.665260869565248,4.899956521739158,-8.665260869565248,False,False
ENTRY_T1_DEVELOPMENT_0004,1.337400602409657,-0.4336837349397444,1.5904126506024252,-0.4336837349397444,1.5904126506024252,-1.108382530120491,2.096436746987962,-1.783081325301214,True,False
ENTRY_T1_DEVELOPMENT_0005,0.9732459459459522,-0.8051324324324339,0.9732459459459522,-1.2213486486486498,1.4273000000000018,-2.053781081081102,1.4273000000000018,-2.053781081081102,False,False
ENTRY_T1_DEVELOPMENT_0006,5.299945337620563,-0.05696784565916523,5.299945337620563,-0.05696784565916523,7.415700964630209,-0.05696784565916523,7.415700964630209,-0.05696784565916523,True,True
ENTRY_T1_DEVELOPMENT_0007,0.11494736842105818,-1.4383954480796484,0.4335817923186437,-1.4383954480796484,0.4335817923186437,-1.4383954480796484,0.4335817923186437,-1.9163470839260237,False,False
ENTRY_T1_DEVELOPMENT_0008,1.065585294117649,-0.5402970588235291,1.065585294117649,-0.5402970588235291,1.065585294117649,-0.7050029411764751,1.065585294117649,-1.3638264705882364,True,False
ENTRY_T1_DEVELOPMENT_0009,0.347677037037041,-0.9589896296296255,0.347677037037041,-1.1249155555555446,0.472121481481489,-1.622693333333325,0.472121481481489,-1.622693333333325,False,False
ENTRY_T1_DEVELOPMENT_0010,0.10826136363636689,-1.255374999999992,0.10826136363636689,-1.8008295454545404,0.4946250000000049,-1.8008295454545404,0.7673522727272791,-1.8008295454545404,False,False
ENTRY_T1_DEVELOPMENT_0011,1.4298169014084472,-0.11947887323943206,1.4298169014084472,-0.11947887323943206,1.6551690140845097,-0.11947887323943206,2.2748873239436582,-0.11947887323943206,True,True
ENTRY_T1_DEVELOPMENT_0012,0.6102802359882008,-0.711253687315638,0.8993657817109173,-1.6198082595870165,0.8993657817109173,-2.5696607669616465,0.8993657817109173,-4.7171533923303945,False,False
ENTRY_T1_DEVELOPMENT_0013,1.4113171806167473,-0.09969603524228189,2.428938325991197,-0.09969603524228189,2.428938325991197,-2.073264317180607,2.428938325991197,-5.218638766519832,True,True
ENTRY_T1_DEVELOPMENT_0014,0.16191525423728703,-1.8041864406779695,0.16191525423728703,-2.9228305084745707,0.16191525423728703,-6.210966101694928,0.16191525423728703,-8.48215254237289,False,False
ENTRY_T1_DEVELOPMENT_0015,1.4471990740740746,-0.6453935185185198,1.7805324074074071,-0.6453935185185198,4.326828703703707,-0.6453935185185198,4.650902777777781,-0.6453935185185198,True,True
ENTRY_T1_DEVELOPMENT_0016,0.7504198325821001,-0.25022408242111976,0.8225383129426945,-0.25022408242111976,3.229492594977467,-0.9533792659368936,4.013781068898909,-0.9533792659368936,True,True
ENTRY_T1_DEVELOPMENT_0017,1.1858485466598674,-0.1706022437531887,1.1858485466598674,-0.6275119836817978,1.1858485466598674,-1.0201687914329418,1.1858485466598674,-2.876364609892913,True,False
ENTRY_T1_DEVELOPMENT_0018,0.05019672131148103,-1.7858688524590092,0.05019672131148103,-1.8432459016393399,0.32068852459017166,-2.203901639344259,1.9928196721311535,-2.203901639344259,False,False
ENTRY_T1_DEVELOPMENT_0019,0.8578754499640057,-0.19036069114470758,2.2387249820014414,-0.19036069114470758,2.2387249820014414,-1.389784737221018,2.2387249820014414,-2.2666745860331172,True,True
ENTRY_T1_DEVELOPMENT_0020,0.13626993865030199,-2.9434846625766924,0.13626993865030199,-2.9434846625766924,1.068785276073614,-2.9434846625766924,2.344858895705518,-2.9434846625766924,False,False
ENTRY_T1_DEVELOPMENT_0021,0.9300143497757841,-0.2502547085201756,1.2690278026905868,-0.2502547085201756,1.2690278026905868,-1.0287300448430505,1.2690278026905868,-2.146218834080714,True,False
ENTRY_T1_DEVELOPMENT_0022,2.769009493670888,-0.2436487341772122,3.610781645569621,-0.2436487341772122,6.23578164556962,-0.2436487341772122,25.35287025316455,-0.2436487341772122,True,True
ENTRY_T1_DEVELOPMENT_0023,0.3424293212036382,-0.617682645206437,0.3424293212036382,-1.1124342197340789,0.48938523442967063,-1.1124342197340789,0.84697795661302,-2.268487403778864,False,False
ENTRY_T1_DEVELOPMENT_0024,0.19857948969578415,-3.139987733071639,0.6244872423945079,-3.139987733071639,1.22900147203141,-4.08110647693818,4.1210525024533915,-4.08110647693818,False,False
ENTRY_T1_DEVELOPMENT_0025,0.1948296089385508,-1.7437178770949728,0.1948296089385508,-3.6878519553072606,1.0328184357541943,-3.6878519553072606,2.982539106145252,-3.6878519553072606,False,False
ENTRY_T1_DEVELOPMENT_0026,-0.004351714677639948,-1.1220471879286702,0.003330041152263189,-1.1873421124828554,0.003330041152263189,-1.3832268861454067,0.003330041152263189,-1.8594957475994525,False,False
ENTRY_T1_DEVELOPMENT_0027,0.25137007874016487,-1.0163464566929057,0.3143622047244186,-11.819496062992117,0.3143622047244186,-11.819496062992117,0.3143622047244186,-11.819496062992117,False,False
ENTRY_T1_DEVELOPMENT_0028,1.4767427055702942,-0.5232572944297065,1.598758620689656,-0.5232572944297065,2.081517241379311,-3.3614535809018546,2.081517241379311,-4.820339522546416,True,True
ENTRY_T1_DEVELOPMENT_0029,1.2574131504922632,-0.4753575949367083,1.2574131504922632,-3.7932197609001417,1.2574131504922632,-5.1469469057665265,1.2574131504922632,-5.1469469057665265,True,False
ENTRY_T1_DEVELOPMENT_0030,1.2866067031463775,-0.04444664842681225,3.1347599179206522,-0.04444664842681225,5.4808611491108055,-0.04444664842681225,5.4808611491108055,-0.04444664842681225,True,True
ENTRY_T1_DEVELOPMENT_0031,0.7050452830188676,-0.13269056603773705,0.7050452830188676,-0.3440113207547119,2.3352339622641574,-0.3515584905660402,5.24844150943397,-0.3515584905660402,True,True
ENTRY_T1_DEVELOPMENT_0032,2.0270403682719667,-0.15426274787534572,3.4548024079320214,-0.15426274787534572,6.439221671388116,-0.15426274787534572,6.439221671388116,-0.15426274787534572,True,True
ENTRY_T1_DEVELOPMENT_0033,0.48576763485477303,-1.6387136929460544,0.48576763485477303,-2.6262655601659737,0.48576763485477303,-2.717551867219915,0.48576763485477303,-2.717551867219915,False,False
ENTRY_T1_DEVELOPMENT_0034,1.258090328467157,-0.5685520072992644,1.896776459854019,-0.5685520072992644,2.7015209854014683,-0.5685520072992644,3.531812956204389,-5.026581204379563,True,True
ENTRY_T1_DEVELOPMENT_0035,1.7867278185456958,-0.7442928619079323,2.5525717144763256,-0.7442928619079323,2.5525717144763256,-0.7442928619079323,6.951504336224152,-0.7442928619079323,True,True
ENTRY_T1_DEVELOPMENT_0036,2.8801450638012214,-0.1944016118200086,2.8801450638012214,-0.1944016118200086,4.074235057085299,-0.1944016118200086,7.308620550705179,-0.1944016118200086,True,True
ENTRY_T1_DEVELOPMENT_0037,1.0232763761467916,-0.07167775229357591,3.2131846330275264,-0.07167775229357591,3.2131846330275264,-0.07167775229357591,4.349881880733948,-0.07167775229357591,True,True
ENTRY_T1_DEVELOPMENT_0038,0.05267967611336178,-0.5413284210526305,0.05267967611336178,-1.2396280161943323,0.05267967611336178,-1.2396280161943323,0.6036108502024305,-1.5978466396761146,False,False
ENTRY_T1_DEVELOPMENT_0039,0.4199228032728625,-0.780361792956238,0.48466844539310283,-0.780361792956238,0.48466844539310283,-2.722731056563497,2.581431163287092,-2.722731056563497,False,False
ENTRY_T1_DEVELOPMENT_0040,0.28217454916638585,-2.3758724055801244,0.8204528751275959,-2.3758724055801244,1.9636988771691075,-2.3758724055801244,2.8068428036747237,-4.0478696835658345,False,False
ENTRY_T1_DEVELOPMENT_0041,1.0179643985070381,-0.1316192937123152,1.0179643985070381,-0.5134740166523074,2.5172466264714357,-1.4299253517082948,2.5172466264714357,-3.978303186907835,True,True
ENTRY_T1_DEVELOPMENT_0042,1.8060682389937106,-0.3951896226415103,2.5853135220125805,-1.7379569182389927,2.5853135220125805,-3.7499066037735815,2.5853135220125805,-5.480095283018864,True,True
ENTRY_T1_DEVELOPMENT_0043,0.509465352449224,-0.43139486260453797,1.4043279569892515,-0.43557646356033203,1.4043279569892515,-0.43557646356033203,1.4043279569892515,-1.51861111111111,True,False
ENTRY_T1_DEVELOPMENT_0044,0.01132544378697945,-1.3614556213017777,0.01132544378697945,-1.3614556213017777,0.01132544378697945,-1.899917159763316,0.01132544378697945,-4.006426035502958,False,False
ENTRY_T1_DEVELOPMENT_0045,0.2949757575757664,-0.5195696969696925,3.519218181818193,-0.5195696969696925,6.667096969696972,-0.5195696969696925,7.524066666666669,-0.5195696969696925,True,True
ENTRY_T1_DEVELOPMENT_0046,0.42130110220441197,-0.5957329659318559,0.7509604208416886,-0.5957329659318559,10.774006513026038,-0.5957329659318559,13.586631763527034,-0.5957329659318559,True,True
ENTRY_T1_DEVELOPMENT_0047,0.4278578922269937,-0.6670395803528871,1.3758788745827388,-0.7137730090605596,9.968153552694321,-0.7137730090605596,12.645311397234137,-0.7137730090605596,True,True
ENTRY_T1_DEVELOPMENT_0048,1.680244246473645,-0.5543511507052676,2.210311061618416,-0.5543511507052676,4.413726057906463,-0.5543511507052676,5.089301410541944,-0.5543511507052676,True,True
ENTRY_T1_DEVELOPMENT_0049,0.24226649076517248,-0.7994221635883902,0.24226649076517248,-1.5455963060686015,0.24226649076517248,-2.0331952506596305,0.24226649076517248,-2.5429577836411625,False,False
ENTRY_T1_DEVELOPMENT_0050,1.7864757462686616,-0.09412126865671143,1.7995354477611976,-0.09412126865671143,2.047669776119408,-1.4262108208955133,2.047669776119408,-6.428076492537296,True,True
ENTRY_T1_DEVELOPMENT_0051,1.1216339066339114,-0.05936527436527243,1.1216339066339114,-1.423820638820632,1.1216339066339114,-3.1093243243243154,1.1216339066339114,-6.319807534807526,True,False
ENTRY_T1_DEVELOPMENT_0052,0.10524169381107377,-1.6094162866449537,0.10524169381107377,-1.6094162866449537,0.10524169381107377,-4.464139413680789,0.10524169381107377,-4.464139413680789,False,False
ENTRY_T1_DEVELOPMENT_0053,0.3640689881734608,-0.7305433639947434,0.428457950065706,-2.809386990801582,0.428457950065706,-3.7568245729303595,0.428457950065706,-3.7568245729303595,False,False
ENTRY_T1_DEVELOPMENT_0054,0.4265271659324663,-0.868627019089565,1.988935389133639,-0.868627019089565,1.988935389133639,-2.7599632892804564,1.988935389133639,-3.1916813509544633,True,False
ENTRY_T1_DEVELOPMENT_0055,2.36293326157159,-0.22910118406889143,4.20146932185146,-0.22910118406889143,4.20146932185146,-0.6058503767491848,6.371544671689991,-0.6058503767491848,True,True
ENTRY_T1_DEVELOPMENT_0056,3.0092256637168107,-0.21201327433628286,3.0092256637168107,-0.21201327433628286,3.0092256637168107,-0.21201327433628286,8.361438053097343,-0.21201327433628286,True,True
ENTRY_T1_DEVELOPMENT_0057,3.0402577597840863,-0.39833873144399073,5.11853036437247,-0.7950998650472275,11.65564237516869,-0.7950998650472275,11.65564237516869,-0.7950998650472275,True,True
