entry_variant,signals,executed_trades,blocked_by_context,blocked_by_late_entry,blocked_by_chop,long_trades,short_trades,profit_factor,total_return,max_drawdown,win_rate,average_trade,median_trade,average_mfe,average_mae,median_mfe,median_mae,mfe_3b,mfe_6b,mfe_12b,mfe_24b,mae_3b,mae_6b,mae_12b,mae_24b,plus1_before_minus1,plus2_before_minus1,bad_entry_share,late_entry_share,good_entry_bad_exit_share,stop_out_rate,average_distance_to_ema27_at_entry,average_move_already_completed_before_entry,top1_profit_share,result_without_top1,cost_mult,scope
ENTRY_A,62,12,1,38,33,6,6,1.1128340590330936,0.008893777988595808,-0.08926072605817792,0.4166666666666667,0.0013046274383577113,-0.011321874352455488,1.2948183703565839,-0.9229387308894363,0.483885178110564,-0.8239311205472958,1.0739155936164766,1.3161802111353365,1.4018028766184727,1.9040093882956892,-0.7513203915885853,-1.0309559835320834,-2.059541495163281,-2.4536863967765288,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.0,0.0,0.4166666666666667,0.14063199003429633,-0.8239150490200129,0.6480910899164787,-0.08288029899797045,1,DEVELOPMENT
ENTRY_A,62,12,1,38,33,6,6,0.9453710910502202,-0.015050533167752622,-0.1003069032128826,0.4166666666666667,-0.0006953725616422882,-0.013321874352455486,1.2948183703565839,-0.9229387308894363,0.483885178110564,-0.8239311205472958,1.0739155936164766,1.3161802111353365,1.4018028766184727,1.9040093882956892,-0.7513203915885853,-1.0309559835320834,-2.059541495163281,-2.4536863967765288,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.0,0.0,0.4166666666666667,0.14063199003429633,-0.8239150490200129,0.679121514737205,-0.10301573451048962,2,DEVELOPMENT
ENTRY_A,62,12,1,38,33,6,6,0.8078093968552691,-0.038472939021737096,-0.11124121402102682,0.3333333333333333,-0.0026953725616422866,-0.015321874352455488,1.2948183703565839,-0.9229387308894363,0.483885178110564,-0.8239311205472958,1.0739155936164766,1.3161802111353365,1.4018028766184727,1.9040093882956892,-0.7513203915885853,-1.0309559835320834,-2.059541495163281,-2.4536863967765288,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.0,0.0,0.4166666666666667,0.14063199003429633,-0.8239150490200129,0.7066440087679159,-0.12274849092530171,3,DEVELOPMENT
ENTRY_T1,376,60,0,71,220,23,37,1.7612732544256866,0.42136870286911177,-0.14384902885579953,0.4666666666666667,0.007921091677161948,-0.005008481580256876,1.9807972304361787,-0.804984717927274,1.09360960037578,-0.6069727629088921,1.0336197507302676,1.493397988788248,2.519088896040901,3.7281370758076506,-0.7501750315655865,-1.2354810615300698,-1.9007714523808314,-2.620213171345896,0.6,0.4666666666666667,0.4666666666666667,0.0,0.03333333333333333,0.4,0.47437701047011543,-0.20784930484280253,0.4724585687104321,-0.0645817763123705,1,DEVELOPMENT
ENTRY_T1,376,60,0,71,220,23,37,1.515206104656927,0.261128619083725,-0.15978742464737006,0.45,0.005921091677161947,-0.007008481580256876,1.9807972304361787,-0.804984717927274,1.09360960037578,-0.6069727629088921,1.0336197507302676,1.493397988788248,2.519088896040901,3.7281370758076506,-0.7501750315655865,-1.2354810615300698,-1.9007714523808314,-2.620213171345896,0.6,0.4666666666666667,0.4666666666666667,0.0,0.03333333333333333,0.4,0.47437701047011543,-0.20784930484280253,0.4952987660705941,-0.16894366620030932,2,DEVELOPMENT
ENTRY_T1,376,60,0,71,220,23,37,1.310369645907703,0.11868539676600953,-0.19628998925345698,0.4166666666666667,0.00392109167716195,-0.009008481580256876,1.9807972304361787,-0.804984717927274,1.09360960037578,-0.6069727629088921,1.0336197507302676,1.493397988788248,2.519088896040901,3.7281370758076506,-0.7501750315655865,-1.2354810615300698,-1.9007714523808314,-2.620213171345896,0.6,0.4666666666666667,0.4666666666666667,0.0,0.03333333333333333,0.4,0.47437701047011543,-0.20784930484280253,0.5189870012255489,-0.26183778625674303,3,DEVELOPMENT
ENTRY_T2,295,57,0,76,153,20,37,1.504202782168608,0.2524452428461508,-0.14384902885579964,0.43859649122807015,0.0061224350798271335,-0.004582216616208628,2.0434154123683554,-0.9503106921863719,1.0307784952274066,-0.7872372881355945,0.8999725706536179,1.3628952242558243,1.9509572578989636,3.353954592768141,-0.7844193038196234,-1.327614800464576,-2.069608736475474,-2.963226184275731,0.5087719298245614,0.40350877192982454,0.47368421052631576,0.0,0.03508771929824561,0.3508771929824561,0.726525092549897,0.2068620874790278,0.49825221018243104,-0.175339065397494,1,DEVELOPMENT
ENTRY_T2,295,57,0,76,153,20,37,1.3105397040280296,0.11765879627597942,-0.16945333353317504,0.42105263157894735,0.004122435079827134,-0.006582216616208628,2.0434154123683554,-0.9503106921863719,1.0307784952274066,-0.7872372881355945,0.8999725706536179,1.3628952242558243,1.9509572578989636,3.353954592768141,-0.7844193038196234,-1.327614800464576,-2.069608736475474,-2.963226184275731,0.5087719298245614,0.40350877192982454,0.47368421052631576,0.0,0.03508771929824561,0.3508771929824561,0.726525092549897,0.2068620874790278,0.5210867631678326,-0.2631175621489341,2,DEVELOPMENT
ENTRY_T2,295,57,0,76,153,20,37,1.1467789910267872,-0.002850043948468328,-0.22083608127931953,0.40350877192982454,0.002122435079827131,-0.008582216616208628,2.0434154123683554,-0.9503106921863719,1.0307784952274066,-0.7872372881355945,0.8999725706536179,1.3628952242558243,1.9509572578989636,3.353954592768141,-0.7844193038196234,-1.327614800464576,-2.069608736475474,-2.963226184275731,0.5087719298245614,0.40350877192982454,0.47368421052631576,0.0,0.03508771929824561,0.3508771929824561,0.726525092549897,0.2068620874790278,0.5445810253981821,-0.3417020746134387,3,DEVELOPMENT
ENTRY_T3,12,1,0,10,9,0,1,999.0,0.0060249140963926084,0.0,1.0,0.006024914096392643,0.006024914096392643,1.69089244851259,-0.10315789473683873,1.69089244851259,-0.10315789473683873,1.69089244851259,1.69089244851259,1.69089244851259,1.69089244851259,-0.10315789473683873,-0.8399999999999966,-2.9864530892448458,-6.254187643020608,1.0,0.0,0.0,0.0,0.0,0.0,1.115761378308525,0.7368421052631579,1.0,0.0,1,DEVELOPMENT
