scope,exit_variant,cost_mult,trades,long_trades,short_trades,win_rate,average_trade,median_trade,profit_factor,total_return,max_drawdown,avg_bars_held,median_bars_held,avg_mfe_atr,avg_mae_atr,realized_profit_to_mfe,median_mfe_capture,mean_mfe_capture,giveback_from_mfe_atr,good_entry_bad_exit_share,early_exit_share,late_exit_share,stop_exit_share,ema_exit_share,giveback_exit_share,break_even_exit_share,long_total_return,short_total_return,top1_profit_share,without_top1_return,pf_cost_x2,return_cost_x2,pf_cost_x3,return_cost_x3,passes_development,rank_score
DEVELOPMENT,EXIT_R2,1.0,43,15,28,0.5348837209302325,0.012801106080324276,0.007119315519235272,2.093869641064534,0.6402638672585794,-0.1620856393219403,5.72093023255814,5.0,2.1588086897765137,-1.0293115317320727,-2.4547541277153946,0.3421869017882879,-2.4547541277153946,1.5093176173819327,0.0,0.0,0.023255813953488372,0.46511627906976744,0.0,0.5348837209302325,0.0,-0.04883576069237727,0.7244801680649506,0.16052171729676912,0.40297201399304106,1.8532692888425593,0.5063028782397296,1.6454676124879166,0.3830480583982905,True,3.4567849864600495
DEVELOPMENT,EXIT_R5,1.0,43,15,28,0.5348837209302325,0.008827698062455135,0.004021327109384771,1.989486095415237,0.41824419939021973,-0.12895721909197688,6.395348837209302,4.0,2.0367794337499054,-0.9189083327760752,-1.7895077304467084,0.33278726705994793,-1.7895077304467084,1.5906142208751342,0.0,0.0,0.0,0.3488372093023256,0.09302325581395349,0.5581395348837209,0.0,-0.0416286894552893,0.479848346654002,0.15942177511883565,0.2644005873795259,1.6930455652842555,0.30209694444621227,1.4462692725017985,0.19525797283863278,True,3.151022471616129
