scope,exit_variant,capture_unknown,capture_lt_0,capture_0_25,capture_25_50,capture_50_75,capture_gt_75
DEVELOPMENT,EXIT_R0,0.023255813953488372,0.627906976744186,0.09302325581395349,0.09302325581395349,0.16279069767441862,0.0
DEVELOPMENT,EXIT_R1,0.023255813953488372,0.4186046511627907,0.5581395348837209,0.0,0.0,0.0
DEVELOPMENT,EXIT_R2,0.023255813953488372,0.4418604651162791,0.023255813953488372,0.20930232558139536,0.2558139534883721,0.046511627906976744
DEVELOPMENT,EXIT_R3,0.023255813953488372,0.4186046511627907,0.023255813953488372,0.5348837209302325,0.0,0.0
DEVELOPMENT,EXIT_R4,0.023255813953488372,0.627906976744186,0.09302325581395349,0.09302325581395349,0.16279069767441862,0.0
DEVELOPMENT,EXIT_R5,0.023255813953488372,0.4186046511627907,0.023255813953488372,0.5348837209302325,0.0,0.0
EXIT_VALIDATION,EXIT_R0,0.0,0.5,0.08333333333333333,0.0,0.4166666666666667,0.0
EXIT_VALIDATION,EXIT_R1,0.0,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.0,0.0
EXIT_VALIDATION,EXIT_R2,0.0,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.0
EXIT_VALIDATION,EXIT_R3,0.0,0.3333333333333333,0.25,0.4166666666666667,0.0,0.0
EXIT_VALIDATION,EXIT_R4,0.0,0.5,0.08333333333333333,0.0,0.4166666666666667,0.0
EXIT_VALIDATION,EXIT_R5,0.0,0.3333333333333333,0.25,0.4166666666666667,0.0,0.0
REUSED_TEMPORAL_TEST,EXIT_R0,0.0,0.7142857142857143,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.0
REUSED_TEMPORAL_TEST,EXIT_R1,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0
REUSED_TEMPORAL_TEST,EXIT_R2,0.0,0.5714285714285714,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.09523809523809523
REUSED_TEMPORAL_TEST,EXIT_R3,0.0,0.6190476190476191,0.09523809523809523,0.2857142857142857,0.0,0.0
REUSED_TEMPORAL_TEST,EXIT_R4,0.0,0.7142857142857143,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.0
REUSED_TEMPORAL_TEST,EXIT_R5,0.0,0.6190476190476191,0.047619047619047616,0.2857142857142857,0.047619047619047616,0.0
