scope,exit_variant,cost_mult,trades,long_trades,short_trades,win_rate,average_trade,median_trade,profit_factor,total_return,max_drawdown,avg_bars_held,median_bars_held,avg_mfe_atr,avg_mae_atr,realized_profit_to_mfe,median_mfe_capture,mean_mfe_capture,giveback_from_mfe_atr,good_entry_bad_exit_share,early_exit_share,late_exit_share,stop_exit_share,ema_exit_share,giveback_exit_share,break_even_exit_share,long_total_return,short_total_return
DEVELOPMENT,EXIT_R0,1.0,43,15,28,0.3488372093023256,0.014987524390754221,-0.009906753701525908,2.2952489982564943,0.7781360275334557,-0.16070079639707446,17.209302325581394,6.0,3.164456352451206,-1.1400614441585943,-1.9528470186951634,-0.3834430482230774,-1.9528470186951634,2.470831311196254,0.16279069767441862,0.0,0.046511627906976744,0.46511627906976744,0.5348837209302325,0.0,0.0,0.007235828774166508,0.765362169153073
DEVELOPMENT,EXIT_R0,2.0,43,15,28,0.3488372093023256,0.01298752439075422,-0.011906753701525908,2.008858970232042,0.633140693529169,-0.17101784256191677,17.209302325581394,6.0,3.164456352451206,-1.1400614441585943,-1.9528470186951634,-0.3834430482230774,-1.9528470186951634,2.470831311196254,0.16279069767441862,0.0,0.046511627906976744,0.46511627906976744,0.5348837209302325,0.0,0.0,-0.022577485488055382,0.670864615129767
DEVELOPMENT,EXIT_R0,3.0,43,15,28,0.3488372093023256,0.010987524390754221,-0.013906753701525908,1.7750900216574215,0.4997152301625065,-0.1871650001371461,17.209302325581394,6.0,3.164456352451206,-1.1400614441585943,-1.9528470186951634,-0.3834430482230774,-1.9528470186951634,2.470831311196254,0.16279069767441862,0.0,0.046511627906976744,0.46511627906976744,0.5348837209302325,0.0,0.0,-0.051565660303516614,0.5812536170320908
DEVELOPMENT,EXIT_R1,1.0,43,15,28,0.4883720930232558,-0.009715216602726468,-1.2499999998099968e-06,0.14889320354631702,-0.3484442619257958,-0.3484524063165291,13.046511627906977,3.0,1.9685180147414605,-0.993165158187982,-2.6771243403283287,0.019439283364266403,-2.6771243403283287,2.2872860094093537,0.046511627906976744,0.0,0.0,0.9767441860465116,0.0,0.0,0.5348837209302325,-0.24981230505629604,-0.13147637255887135
DEVELOPMENT,EXIT_R1,2.0,43,15,28,0.023255813953488372,-0.011715216602726468,-0.00200124999999981,0.12361829900252791,-0.40271357012284237,-0.4015173529320153,13.046511627906977,3.0,1.9685180147414605,-0.993165158187982,-2.6771243403283287,0.019439283364266403,-2.6771243403283287,2.2872860094093537,0.046511627906976744,0.0,0.0,0.9767441860465116,0.0,0.0,0.5348837209302325,-0.27243806054055264,-0.1790576204124701
DEVELOPMENT,EXIT_R1,3.0,43,15,28,0.023255813953488372,-0.01371521660272647,-0.0040012499999998105,0.10482090947401719,-0.45255921420164524,-0.45036134663650795,13.046511627906977,3.0,1.9685180147414605,-0.993165158187982,-2.6771243403283287,0.019439283364266403,-2.6771243403283287,2.2872860094093537,0.046511627906976744,0.0,0.0,0.9767441860465116,0.0,0.0,0.5348837209302325,-0.2944256622963266,-0.22412032787356206
DEVELOPMENT,EXIT_R2,1.0,43,15,28,0.5348837209302325,0.012801106080324276,0.007119315519235272,2.093869641064534,0.6402638672585794,-0.1620856393219403,5.72093023255814,5.0,2.1588086897765137,-1.0293115317320727,-2.4547541277153946,0.3421869017882879,-2.4547541277153946,1.5093176173819327,0.0,0.0,0.023255813953488372,0.46511627906976744,0.0,0.5348837209302325,0.0,-0.04883576069237727,0.7244801680649506
DEVELOPMENT,EXIT_R2,2.0,43,15,28,0.5116279069767442,0.01080110608032428,0.005119315519235272,1.8532692888425593,0.5063028782397296,-0.18248870751427804,5.72093023255814,5.0,2.1588086897765137,-1.0293115317320727,-2.4547541277153946,0.3421869017882879,-2.4547541277153946,1.5093176173819327,0.0,0.0,0.023255813953488372,0.46511627906976744,0.0,0.5348837209302325,0.0,-0.07710525318526718,0.6321502353746884
DEVELOPMENT,EXIT_R2,3.0,43,15,28,0.5116279069767442,0.008801106080324276,0.003119315519235272,1.6454676124879166,0.3830480583982905,-0.20701709768794896,5.72093023255814,5.0,2.1588086897765137,-1.0293115317320727,-2.4547541277153946,0.3421869017882879,-2.4547541277153946,1.5093176173819327,0.0,0.0,0.023255813953488372,0.46511627906976744,0.0,0.5348837209302325,0.0,-0.10458914370335559,0.5445960350743104
DEVELOPMENT,EXIT_R3,1.0,43,15,28,0.5348837209302325,0.006293147755961462,0.004021327109384771,1.549329723109295,0.2675199176455718,-0.18190492365949462,6.534883720930233,4.0,2.0367794337499054,-0.9814434993063732,-2.4829461403143505,0.33278726705994793,-2.4829461403143505,1.6759917295113465,0.0,0.0,0.0,0.4418604651162791,0.0,0.5581395348837209,0.0,-0.12605623643431774,0.45034494264722813
