scope,exit_variant,top1_profit_share,without_top1_return
DEVELOPMENT,EXIT_R0,0.16436375108486603,0.49711647736131526
DEVELOPMENT,EXIT_R1,0.9996579195539974,-0.39280429495231295
DEVELOPMENT,EXIT_R2,0.16052171729676912,0.40297201399304106
DEVELOPMENT,EXIT_R3,0.15942177511883565,0.13002607666252208
DEVELOPMENT,EXIT_R4,0.16436375108486603,0.49711647736131526
DEVELOPMENT,EXIT_R5,0.15942177511883565,0.2644005873795259
EXIT_VALIDATION,EXIT_R0,0.41940991511887393,1.0115662618191363
EXIT_VALIDATION,EXIT_R1,0.9999892530972166,-0.17113653725261713
EXIT_VALIDATION,EXIT_R2,0.34793216246003833,-0.04841098783187836
EXIT_VALIDATION,EXIT_R3,0.5464330788625792,-0.043369753422109136
EXIT_VALIDATION,EXIT_R4,0.41940991511887393,1.0115662618191363
EXIT_VALIDATION,EXIT_R5,0.5464330788625792,0.03976315631815819
REUSED_TEMPORAL_TEST,EXIT_R0,0.4619671431047748,-0.22152137629865332
REUSED_TEMPORAL_TEST,EXIT_R1,0.1666666666792916,-0.3151823708469965
REUSED_TEMPORAL_TEST,EXIT_R2,0.29736121226217405,-0.017724207507080036
REUSED_TEMPORAL_TEST,EXIT_R3,0.3544204945051502,-0.18175144594314352
REUSED_TEMPORAL_TEST,EXIT_R4,0.4619671431047748,-0.22152137629865332
REUSED_TEMPORAL_TEST,EXIT_R5,0.28730756691232096,-0.05096899923286857
