scope,exit_variant,phase,trades,avg_return,median_capture,good_entry_bad_exit_share
REUSED_TEMPORAL_TEST,EXIT_R1,NO_MOVEMENT_MFE_LT_1_ATR,12,-0.030918847235526053,-2.356760391929023,0.0
REUSED_TEMPORAL_TEST,EXIT_R1,STRONG_MOVEMENT_MFE_GE_2_ATR,2,4.466912950640278e-17,0.008430893497310809,0.5
REUSED_TEMPORAL_TEST,EXIT_R1,WEAK_MOVEMENT_MFE_1_2_ATR,7,5.357142857554636e-07,0.03368614670717411,0.2857142857142857
REUSED_TEMPORAL_TEST,EXIT_R2,NO_MOVEMENT_MFE_LT_1_ATR,12,-0.030918847235526053,-2.356760391929023,0.0
REUSED_TEMPORAL_TEST,EXIT_R2,STRONG_MOVEMENT_MFE_GE_2_ATR,4,0.11425168316926448,0.6634366280829633,0.0
REUSED_TEMPORAL_TEST,EXIT_R2,WEAK_MOVEMENT_MFE_1_2_ATR,5,0.016293984682881395,0.29598884094852335,0.0
REUSED_TEMPORAL_TEST,EXIT_R3,NO_MOVEMENT_MFE_LT_1_ATR,12,-0.030918847235526053,-2.356760391929023,0.0
REUSED_TEMPORAL_TEST,EXIT_R3,STRONG_MOVEMENT_MFE_GE_2_ATR,3,0.06093249263827328,0.4265693735547514,0.3333333333333333
REUSED_TEMPORAL_TEST,EXIT_R3,WEAK_MOVEMENT_MFE_1_2_ATR,6,0.01915692558788198,0.3126531129844618,0.0
REUSED_TEMPORAL_TEST,EXIT_R4,NO_MOVEMENT_MFE_LT_1_ATR,13,-0.02711019504465044,-2.105559907757797,0.0
REUSED_TEMPORAL_TEST,EXIT_R4,STRONG_MOVEMENT_MFE_GE_2_ATR,4,0.0600050384377004,0.20743813729241709,0.0
REUSED_TEMPORAL_TEST,EXIT_R4,WEAK_MOVEMENT_MFE_1_2_ATR,4,0.0002905317005909855,-0.02922918309028321,0.5
REUSED_TEMPORAL_TEST,EXIT_R5,NO_MOVEMENT_MFE_LT_1_ATR,13,-0.02711019504465044,-2.105559907757797,0.0
REUSED_TEMPORAL_TEST,EXIT_R5,STRONG_MOVEMENT_MFE_GE_2_ATR,3,0.11145277476019795,0.44717007280590637,0.0
REUSED_TEMPORAL_TEST,EXIT_R5,WEAK_MOVEMENT_MFE_1_2_ATR,5,0.02248866197974508,0.32931738502040026,0.0
