id,start_time,end_time,direction,duration_bars,net_return_pct,abs_return_pct,selection_score,same_body_direction_bars,same_close_to_close_steps,start_open,start_close,start_body,avg_body_prev5,avg_body_prev10,body_vs_prev5,body_vs_prev10,close_position_in_range,start_body_directional,start_body_large_vs_prev10_1_5x,start_close_near_direction,continuation_same_direction_next3_count,continuation_2of3,h_march_001_observed
29,2023-08-02 00:00,2023-08-03 04:00,DOWN,8,-4.834,4.834,0.136727,6,5,0.3103,0.3072,0.003100000000000047,0.00186,0.00225,1.6667,1.3778,0.0,True,False,True,2,True,False
30,2023-12-25 00:00,2023-12-25 20:00,UP,6,5.5021,5.5021,0.134774,5,4,0.5925,0.6046,0.0121,0.00706,0.00526,1.7139,2.3004,0.8869,True,True,True,2,True,True
31,2023-10-20 08:00,2023-10-21 12:00,UP,8,4.7177,4.7177,0.133438,6,5,0.248,0.25,0.0020000000000000018,0.00152,0.00133,1.3158,1.5038,0.3846,True,True,False,2,True,False
32,2023-07-17 04:00,2023-07-18 08:00,DOWN,8,-4.5898,4.5898,0.129818,6,5,0.3181,0.3166,0.0015000000000000013,0.0027,0.00261,0.5556,0.5747,0.2,True,False,True,2,True,False
33,2023-07-04 12:00,2023-07-05 12:00,DOWN,7,-4.7876,4.7876,0.126668,4,3,0.2966,0.2937,0.002899999999999958,0.0026,0.00208,1.1154,1.3942,0.3191,True,False,False,1,False,False
34,2023-12-19 04:00,2023-12-20 00:00,DOWN,6,-5.1572,5.1572,0.126324,5,4,0.6108,0.6088,0.0020000000000000018,0.01182,0.0094,0.1692,0.2128,0.2521,True,False,True,3,True,False
35,2023-12-01 16:00,2023-12-02 20:00,UP,8,4.3786,4.3786,0.123846,7,6,0.3814,0.3849,0.003500000000000003,0.00164,0.00159,2.1341,2.2013,0.8864,True,True,True,2,True,True
36,2023-08-31 12:00,2023-09-01 16:00,DOWN,8,-4.3363,4.3363,0.12265,5,4,0.2652,0.2589,0.006299999999999972,0.00078,0.00168,8.0769,3.75,0.2674,True,True,True,1,False,False
37,2023-10-31 00:00,2023-11-01 00:00,DOWN,7,-4.6174,4.6174,0.122165,4,3,0.3032,0.2998,0.003400000000000014,0.00214,0.00182,1.5888,1.8681,0.0702,True,True,True,2,True,True
38,2023-07-23 08:00,2023-07-24 12:00,DOWN,8,-4.2418,4.2418,0.119978,5,4,0.3159,0.3145,0.0014000000000000123,0.00234,0.00154,0.5983,0.9091,0.1034,True,False,True,1,False,False
39,2023-12-03 16:00,2023-12-04 20:00,UP,8,4.2221,4.2221,0.119419,5,5,0.3908,0.3904,0.00039999999999995595,0.00236,0.00211,0.1695,0.1896,0.5116,False,False,False,3,True,False
40,2023-08-21 04:00,2023-08-22 08:00,DOWN,8,-4.2191,4.2191,0.119334,7,6,0.2702,0.2674,0.002799999999999969,0.0016,0.00173,1.75,1.6185,0.1304,True,True,True,2,True,True
41,2023-07-31 00:00,2023-08-01 00:00,DOWN,7,-4.4691,4.4691,0.118241,6,5,0.3155,0.3148,0.0006999999999999784,0.0026,0.00193,0.2692,0.3627,0.2364,True,False,True,2,True,False
42,2023-09-28 08:00,2023-09-29 12:00,UP,8,4.0425,4.0425,0.114338,5,4,0.2449,0.2465,0.0015999999999999903,0.00122,0.00114,1.3115,1.4035,0.7143,True,False,True,1,False,False
43,2023-08-29 20:00,2023-08-31 00:00,DOWN,8,-4.0276,4.0276,0.113917,6,5,0.2756,0.2725,0.0030999999999999917,0.00428,0.00312,0.7243,0.9936,0.2069,True,False,True,3,True,False
44,2023-10-27 08:00,2023-10-28 00:00,UP,5,5.0372,5.0372,0.112636,3,2,0.2819,0.2854,0.003500000000000003,0.00266,0.00418,1.3158,0.8373,0.7255,True,False,True,1,False,False
45,2023-08-15 04:00,2023-08-16 08:00,DOWN,8,-3.9737,3.9737,0.112394,6,6,0.2894,0.2901,0.0007000000000000339,0.00102,0.00125,0.6863,0.56,1.0,False,False,False,3,True,False
46,2023-09-20 16:00,2023-09-21 20:00,DOWN,8,-3.9231,3.9231,0.110962,6,5,0.2549,0.2509,0.0040000000000000036,0.00114,0.00162,3.5088,2.4691,0.1791,True,True,True,2,True,True
47,2023-07-02 20:00,2023-07-04 00:00,UP,8,3.6332,3.6332,0.102763,6,5,0.289,0.2916,0.0026000000000000467,0.0013,0.0014,2.0,1.8571,0.6604,True,True,False,2,True,False
48,2023-09-18 08:00,2023-09-19 12:00,UP,8,3.5887,3.5887,0.101504,5,4,0.248,0.2537,0.005699999999999983,0.00126,0.00131,4.5238,4.3511,0.8939,True,True,True,1,False,False
49,2023-07-07 08:00,2023-07-08 12:00,UP,8,3.4372,3.4372,0.097218,6,5,0.2793,0.282,0.00269999999999998,0.00356,0.00237,0.7584,1.1392,0.7451,True,False,True,2,True,False
50,2023-10-09 08:00,2023-10-10 12:00,DOWN,8,-3.4308,3.4308,0.097038,5,4,0.2565,0.2508,0.005699999999999983,0.0007,0.00105,8.1429,5.4286,0.1757,True,True,True,2,True,True
