case_id,start_time,end_time,direction,duration_bars,net_return_pct,start_first1_direction_score,start_first3_direction_score,start_first5_direction_score,start_directional_candle_share_5,start_avg_body,start_max_body,start_avg_body_vs_prev10,start_max_body_vs_prev10,start_consecutive_directional_closes_5,start_updates_prev10_extreme,start_first_pullback_depth_pct,start_acceleration,start_compression,dev_impulse_expansions,dev_pullback_count,dev_avg_pullback_depth_pct,dev_max_pullback_depth_pct,dev_extreme_update_count,dev_directional_bar_share,dev_tempo_change_ratio,end_first_strong_counter_time,end_active_reference_time,end_first_reference_overlap_time,end_max_reference_overlap_ratio,end_full_reference_body_overlap,end_failed_continuation_attempts,end_extreme_lost_after_end,end_type,abs_net_return_pct,cluster_id,cluster_distance,cluster_margin_to_next,borderline,norm_duration_bars,norm_net_return_pct,norm_abs_net_return_pct,norm_start_first1_direction_score,norm_start_first3_direction_score,norm_start_first5_direction_score,norm_start_avg_body_vs_prev10,norm_start_max_body_vs_prev10,norm_start_consecutive_directional_closes_5,norm_start_updates_prev10_extreme,norm_start_first_pullback_depth_pct,norm_start_acceleration,norm_start_compression,norm_dev_impulse_expansions,norm_dev_pullback_count,norm_dev_avg_pullback_depth_pct,norm_dev_max_pullback_depth_pct,norm_dev_extreme_update_count,norm_dev_directional_bar_share,norm_dev_tempo_change_ratio,norm_end_max_reference_overlap_ratio,norm_end_full_reference_body_overlap,norm_end_failed_continuation_attempts,norm_end_extreme_lost_after_end
11,2023-12-17 04:00,2023-12-18 08:00,DOWN,8,-8.922500,1.000000,0.666667,0.600000,0.600000,0.010220,0.020900,1.162685,2.377702,1,1,1.137656,1,1,2,2,0.674468,1.137656,5,0.750000,0.932432,2023-12-18 20:00,2023-12-18 08:00,2023-12-18 12:00,6.586207,1,5,0,counter_impulse,8.922500,6,3.051363,1.113923,0,0.529209,-1.221436,0.254682,0.252646,-0.305303,-0.806419,-0.187612,-0.261091,-1.155493,0.816497,0.201279,0.403473,1.175139,-0.306776,0.980196,-0.423753,-0.072855,0.892652,0.155436,-0.417750,0.811987,0.750000,1.359538,-0.500000
12,2023-07-18 20:00,2023-07-20 00:00,UP,8,7.905100,1.000000,0.666667,0.600000,0.600000,0.005060,0.010600,2.082305,4.362140,1,1,2.404480,1,1,4,2,1.465744,2.404480,4,0.625000,1.028037,,2023-07-20 00:00,2023-07-20 04:00,3.264151,1,4,0,gradual,7.905100,6,3.145501,1.219193,0,0.529209,0.611919,0.080834,0.252646,-0.305303,-0.806419,1.107406,0.594028,-1.155493,0.816497,1.553289,0.403473,1.175139,1.027032,0.980196,0.479103,1.193461,0.184198,-1.180147,-0.368628,-0.005502,0.750000,0.665896,-0.500000
13,2023-11-12 16:00,2023-11-13 20:00,DOWN,8,-7.511000,1.000000,0.666667,0.600000,0.600000,0.004900,0.009300,1.016598,1.929461,1,1,0.777001,1,1,2,3,0.448934,0.777001,5,0.625000,1.592105,2023-11-14 04:00,2023-11-13 20:00,2023-11-14 04:00,1.451327,1,3,0,counter_impulse,7.511000,6,3.175895,1.590848,0,0.529209,-1.067654,0.013493,0.252646,-0.305303,-0.806419,-0.393333,-0.454243,-1.155493,0.816497,-0.183628,0.403473,1.175139,-0.306776,2.730546,-0.681090,-0.433366,0.892652,-1.180147,-0.078804,-0.451601,0.750000,-0.027746,-0.500000
14,2023-11-05 16:00,2023-11-06 16:00,UP,7,7.573100,1.000000,0.666667,0.600000,0.600000,0.003520,0.006700,1.161716,2.211221,1,1,0.935673,1,0,2,2,0.555556,0.935673,3,0.714286,1.689320,2023-11-07 08:00,2023-11-06 16:00,2023-11-07 00:00,2.192308,1,3,1,gradual,7.573100,5,3.230681,0.248554,1,-0.863446,0.575747,0.024104,0.252646,-0.305303,-0.806419,-0.188976,-0.332830,-1.155493,0.816497,-0.014286,0.403473,-0.850963,-0.306776,0.980196,-0.559433,-0.274757,-0.524256,-0.226156,-0.028854,-0.269261,0.750000,-0.027746,2.000000
15,2023-11-18 12:00,2023-11-19 16:00,UP,8,6.969600,1.000000,1.000000,0.600000,0.600000,0.004140,0.008300,0.678689,1.360656,2,1,0.585447,0,1,0,1,0.696961,0.696961,4,0.625000,0.595745,2023-11-20 16:00,2023-11-19 16:00,2023-11-19 20:00,0.859375,0,1,0,pause,6.969600,3,4.553108,0.794517,0,0.529209,0.509997,-0.079019,0.252646,1.390829,-0.806419,-0.869180,-0.699348,-0.085592,0.816497,-0.388063,-2.478479,1.175139,-1.640583,-0.770154,-0.398088,-0.513374,0.184198,-1.180147,-0.590743,-0.597268,-1.333333,-1.415030,-0.500000
16,2023-08-16 20:00,2023-08-17 20:00,DOWN,7,-7.207900,1.000000,0.333333,0.600000,0.600000,0.002080,0.006900,1.024631,3.399015,2,1,0.800874,1,1,2,2,1.365126,1.929378,1,0.571429,10.125000,,2023-08-17 20:00,2023-08-18 04:00,0.769634,0,2,0,gradual,7.207900,6,5.414599,1.400159,0,-0.863446,-1.034632,-0.038300,0.252646,-2.001440,-0.806419,-0.382021,0.179005,-0.085592,0.816497,-0.158150,0.403473,1.175139,-0.306776,0.980196,0.364297,0.718549,-1.941164,-1.752536,4.305480,-0.619351,-1.333333,-0.721388,-0.500000
17,2023-12-21 00:00,2023-12-21 20:00,UP,6,7.724900,1.000000,1.000000,0.800000,0.800000,0.010080,0.017100,1.475842,2.503660,2,1,2.168389,1,1,3,1,2.168389,2.168389,4,0.833333,2.473171,2023-12-23 00:00,2023-12-21 20:00,2023-12-22 04:00,1.884615,1,5,0,gradual,7.724900,4,4.208492,0.762828,0,-2.256101,0.592286,0.050043,0.252646,1.390829,0.686950,0.253379,-0.206814,-0.085592,0.816497,1.301323,0.403473,1.175139,0.360128,-0.770154,1.280830,0.957465,0.184198,1.045822,0.373896,-0.344978,0.750000,1.359538,-0.500000
18,2023-11-09 20:00,2023-11-10 20:00,UP,7,6.738500,1.000000,1.000000,0.800000,0.800000,0.005560,0.011200,1.372840,2.765432,3,0,3.093068,1,0,3,1,3.093068,3.093068,3,0.857143,1.812044,2023-11-11 00:00,2023-11-10 20:00,2023-11-11 00:00,1.346457,0,3,0,sharp,6.738500,4,2.656406,2.826508,0,-0.863446,0.484818,-0.118508,0.252646,1.390829,0.686950,0.108330,-0.094013,0.984309,-1.224745,2.288181,0.403473,-0.850963,0.360128,-0.770154,2.335901,1.881773,-0.524256,1.300224,0.034203,-0.477407,-1.333333,-0.027746,-0.500000
19,2023-07-14 12:00,2023-07-15 16:00,DOWN,8,-6.207300,1.000000,0.666667,0.600000,0.600000,0.009280,0.026300,1.031111,2.922222,1,0,3.787016,1,0,1,1,3.787016,3.787016,1,0.750000,0.345550,,2023-07-14 16:00,,0.315589,0,0,0,pause,6.207300,4,4.493122,2.543203,0,0.529209,-0.925617,-0.209277,0.252646,-0.305303,-0.806419,-0.372896,-0.026450,-1.155493,-1.224745,3.028793,0.403473,-0.850963,-0.973680,-0.770154,3.127704,2.575443,-1.941164,0.155436,-0.719296,-0.731082,-1.333333,-2.108672,-0.500000
20,2023-12-28 12:00,2023-12-29 12:00,DOWN,7,-6.557400,1.000000,0.666667,0.800000,0.800000,0.011120,0.028900,0.831091,2.159940,3,0,1.376431,1,0,1,2,1.755336,2.134241,1,0.714286,0.630503,,2023-12-29 00:00,,0.000000,0,0,0,pause,6.557400,4,3.831849,0.948333,0,-0.863446,-0.963760,-0.149454,0.252646,-0.305303,0.686950,-0.654566,-0.354927,0.984309,-1.224745,0.456110,0.403473,-0.850963,-0.973680,0.980196,0.809531,0.923330,-1.941164,-0.226156,-0.572884,-0.808742,-1.333333,-2.108672,-0.500000
