scope,signal_time,direction,exit_reason_ENTRY_A_STOP_A_EXIT_B,exit_reason_ENTRY_A_STOP_B_EXIT_B,mae_ENTRY_A_STOP_A_EXIT_B,mae_ENTRY_A_STOP_B_EXIT_B,mfe_ENTRY_A_STOP_A_EXIT_B,mfe_ENTRY_A_STOP_B_EXIT_B,net_return_ENTRY_A_STOP_A_EXIT_B,net_return_ENTRY_A_STOP_B_EXIT_B,stop_diff_return_b_minus_a,stop_a_premature,stop_b_increased_loss,no_stop_exit_b_return,no_stop_exit_b_reason,no_stop_exit_b_time
TEMPORAL_TEST,2024-12-21 08:00:00,SHORT,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0006045558225316,-0.0006045558225316,0.1049528100163511,0.1049528100163511,0.0322724531573545,0.0322724531573545,0.0,False,False,0.03227245315735443,EMA27_TWO_CLOSES_NO_STOP,2024-12-24 20:00:00
TEMPORAL_TEST,2024-12-27 12:00:00,SHORT,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0302702278124642,-0.0302702278124642,0.0103772417222574,0.0103772417222574,-0.0238499041234967,-0.0238499041234967,0.0,False,False,-0.023849904123496746,EMA27_TWO_CLOSES_NO_STOP,2024-12-29 04:00:00
TEMPORAL_TEST,2025-01-18 08:00:00,LONG,STOP,STOP,-0.060990659055454,-0.060990659055454,0.0752072362063106,0.0752072362063106,-0.024086089672078,-0.0591618784031513,-0.035075788731073296,False,True,-0.050770888675396995,EMA27_TWO_CLOSES_NO_STOP,2025-01-19 12:00:00
TEMPORAL_TEST,2025-01-19 12:00:00,LONG,STOP,STOP,-0.1054654220231844,-0.1054654220231844,0.0138306696200358,0.0138306696200358,-0.0664310560481792,-0.0643836345057816,0.0020474215423975928,False,False,-0.06559398273119282,EMA27_TWO_CLOSES_NO_STOP,2025-01-20 04:00:00
TEMPORAL_TEST,2025-01-26 08:00:00,SHORT,STOP,EMA27_TWO_CLOSES,-0.0091243776233518,-0.0148061557398717,0.001833337315651,0.001833337315651,-0.0113244066511502,-0.0159939151200181,-0.0046695084688679,False,False,-0.015993915120018163,EMA27_TWO_CLOSES_NO_STOP,2025-01-26 20:00:00
TEMPORAL_TEST,2025-01-28 12:00:00,SHORT,STOP,EMA27_TWO_CLOSES,-0.0107286065315152,-0.0131291391575194,0.0594086945413036,0.0594086945413036,-0.0126074318193938,-0.0063420416655227,0.0062653901538711,False,False,-0.006342041665522763,EMA27_TWO_CLOSES_NO_STOP,2025-01-30 08:00:00
TEMPORAL_TEST,2025-02-22 20:00:00,SHORT,STOP,EMA27_TWO_CLOSES,-0.0201533953846915,-0.0201533953846915,0.0113950746373446,0.2503359459517819,-0.016971559183572,0.128819028020084,0.14579058720365598,True,False,0.12881902802008402,EMA27_TWO_CLOSES_NO_STOP,2025-03-02 04:00:00
TEMPORAL_TEST,2025-02-23 08:00:00,SHORT,EMA27_TWO_CLOSES,,-0.0100731772661609,,0.2499482221069159,,0.1283694904085091,,,False,False,0.12836949040850912,EMA27_TWO_CLOSES_NO_STOP,2025-03-02 04:00:00
TEMPORAL_TEST,2025-03-04 04:00:00,LONG,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0337834301467733,-0.0337834301467733,0.2713375919121403,0.2713375919121403,0.0796115834135423,0.0796115834135423,0.0,False,False,0.07961158341354233,EMA27_TWO_CLOSES_NO_STOP,2025-03-07 08:00:00
TEMPORAL_TEST,2025-04-01 16:00:00,SHORT,STOP,EMA27_TWO_CLOSES,-0.0309034145336424,-0.0309034145336424,0.02178556456278,0.02178556456278,-0.02706940149526,-0.0196863029538075,0.0073830985414524986,False,False,-0.019686302953807563,EMA27_TWO_CLOSES_NO_STOP,2025-04-02 20:00:00
TEMPORAL_TEST,2025-04-02 20:00:00,SHORT,EMA27_TWO_CLOSES,STOP,-0.0504079248381031,-0.0504079248381031,0.2010078534184996,0.0420542562133295,0.009991374889947,-0.0503977565405064,-0.0603891314304534,False,True,0.009991374889947007,EMA27_TWO_CLOSES_NO_STOP,2025-04-10 00:00:00
TEMPORAL_TEST,2025-04-05 12:00:00,SHORT,,EMA27_TWO_CLOSES,,-0.0139453415308209,,0.2107576803539242,,0.0220477050388031,,False,False,,,
TEMPORAL_TEST,2025-04-27 16:00:00,LONG,STOP,STOP,-0.0479885825672965,-0.0479885825672965,0.0010366532776094,0.0010366532776094,-0.0388775226696322,-0.0385774555627241,0.0003000671069081015,False,False,-0.021287519459945656,EMA27_TWO_CLOSES_NO_STOP,2025-04-30 04:00:00
TEMPORAL_TEST,2025-04-28 16:00:00,LONG,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0259719354537653,-0.0259719354537653,0.0159156581980849,0.0159156581980849,-0.0083742728663982,-0.0083742728663982,0.0,False,False,-0.00837427286639825,EMA27_TWO_CLOSES_NO_STOP,2025-04-30 04:00:00
TEMPORAL_TEST,2025-05-03 12:00:00,LONG,EMA27_TWO_CLOSES,STOP,-0.0387501756609214,-0.0325136932365761,0.0042122588179012,0.0042122588179012,-0.0359670708184452,-0.0347947630059465,0.0011723078124986977,False,False,-0.03596707081844526,EMA27_TWO_CLOSES_NO_STOP,2025-05-04 04:00:00
TEMPORAL_TEST,2025-05-07 12:00:00,SHORT,STOP,STOP,-0.0590345556294463,-0.0590345556294463,0.0149985505611884,0.0149985505611884,-0.0388311693822544,-0.0402609227663483,-0.0014297533840939014,False,False,-0.06713438701603745,EMA27_TWO_CLOSES_NO_STOP,2025-05-08 08:00:00
TEMPORAL_TEST,2025-05-13 04:00:00,LONG,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0071925502820287,-0.0071925502820287,0.0631449909915542,0.0631449909915542,0.0055831951364812,0.0055831951364812,0.0,False,False,0.005583195136481296,EMA27_TWO_CLOSES_NO_STOP,2025-05-15 00:00:00
TEMPORAL_TEST,2025-06-07 08:00:00,SHORT,STOP,EMA27_TWO_CLOSES,-0.0178846163645033,-0.0178846163645033,0.0236280512934718,0.0236280512934718,-0.0094479270791776,-0.0125966704142963,-0.003148743335118699,False,False,-0.012596670414296322,EMA27_TWO_CLOSES_NO_STOP,2025-06-08 20:00:00
TEMPORAL_TEST,2025-06-29 00:00:00,SHORT,STOP,STOP,-0.0401293008849007,-0.0401293008849007,0.0142495759425006,0.0142495759425006,-0.0126015707676217,-0.0260645322026655,-0.0134629614350438,False,True,-0.012245975563270155,EMA27_TWO_CLOSES_NO_STOP,2025-06-30 04:00:00
TRAIN,2023-08-20 20:00:00,SHORT,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0093902930732303,-0.0093902930732303,0.0754355333905384,0.0754355333905384,0.0047821767233118,0.0047821767233118,0.0,False,False,0.004782176723311667,EMA27_TWO_CLOSES_NO_STOP,2023-08-24 00:00:00
TRAIN,2023-08-31 12:00:00,SHORT,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0039782347720787,-0.0039782347720787,0.0385304664692332,0.0385304664692332,0.0043455829884817,0.0043455829884817,0.0,False,False,0.004345582988481518,EMA27_TWO_CLOSES_NO_STOP,2023-09-05 12:00:00
TRAIN,2023-09-05 16:00:00,SHORT,STOP,EMA27_TWO_CLOSES,-0.01181194885942,-0.01181194885942,0.0018401013372182,0.0018401013372182,-0.0119763331958375,-0.0111958259831669,0.0007805072126705996,False,False,-0.011195825983166968,EMA27_TWO_CLOSES_NO_STOP,2023-09-06 04:00:00
TRAIN,2023-09-07 04:00:00,SHORT,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0125873536924345,-0.0125873536924345,0.0139262928424462,0.0139262928424462,-0.0057312108899342,-0.0057312108899342,0.0,False,False,-0.005731210889934274,EMA27_TWO_CLOSES_NO_STOP,2023-09-08 04:00:00
TRAIN,2023-09-13 16:00:00,SHORT,STOP,EMA27_TWO_CLOSES,-0.0186985165986387,-0.0186985165986387,0.006779056464368,0.006779056464368,-0.0135203114896168,-0.015543352112596,-0.0020230406229791997,False,False,-0.01554335211259616,EMA27_TWO_CLOSES_NO_STOP,2023-09-14 16:00:00
TRAIN,2023-09-18 04:00:00,SHORT,STOP,STOP,-0.0263196114186125,-0.0263196114186125,0.0003066049153609,0.0003066049153609,-0.0155130065032514,-0.0199281337097118,-0.0044151272064604005,False,False,-0.026814625054462554,EMA27_TWO_CLOSES_NO_STOP,2023-09-18 16:00:00
TRAIN,2023-09-26 08:00:00,SHORT,STOP,STOP,-0.0119112509411527,-0.0168016798623343,0.0100956792041642,0.0129484294081868,-0.0123785090101056,-0.0168728177734487,-0.0044943087633430995,False,False,-0.01849460167965848,EMA27_TWO_CLOSES_NO_STOP,2023-09-28 16:00:00
TRAIN,2023-09-27 12:00:00,SHORT,STOP,,-0.023052509861488,,0.0068804894250404,,-0.0206410828365,,,False,False,-0.024743543903098922,EMA27_TWO_CLOSES_NO_STOP,2023-09-28 16:00:00
TRAIN,2023-10-15 08:00:00,SHORT,STOP,EMA27_TWO_CLOSES,-0.008215146534306,-0.0106514296109093,0.0039662688487101,0.0039662688487101,-0.0099067537015259,-0.0103130039045495,-0.00040625020302360003,False,False,-0.010313003904549686,EMA27_TWO_CLOSES_NO_STOP,2023-10-16 04:00:00
TRAIN,2023-11-17 00:00:00,LONG,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0322003177515717,-0.0322003177515717,0.0016313804718111,0.0016313804718111,-0.009123437215294,-0.009123437215294,0.0,False,False,-0.009123437215293934,EMA27_TWO_CLOSES_NO_STOP,2023-11-17 12:00:00
TRAIN,2023-11-26 20:00:00,LONG,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0203659141002549,-0.0203659141002549,0.0121423542229917,0.0121423542229917,-0.0135722985177519,-0.0135722985177519,0.0,False,False,-0.013572298517751963,EMA27_TWO_CLOSES_NO_STOP,2023-11-27 08:00:00
TRAIN,2023-12-11 20:00:00,LONG,EMA27_TWO_CLOSES,EMA27_TWO_CLOSES,-0.0168136823862279,-0.0168136823862279,0.2360522676637741,0.2360522676637741,0.1006327605149186,0.1006327605149186,0.0,False,False,0.10063276051491866,EMA27_TWO_CLOSES_NO_STOP,2023-12-17 00:00:00
TRAIN,2023-12-17 00:00:00,LONG,STOP,EMA27_TWO_CLOSES,-0.0380236502908955,-0.038186091417155,0.0055105715466661,0.0055105715466661,-0.0247557276131963,-0.0255675271416783,-0.0008117995284819997,False,False,-0.02556752714167837,EMA27_TWO_CLOSES_NO_STOP,2023-12-17 12:00:00
