scope,horizon_bars,trades,avg_signed_return,avg_mfe_atr,avg_mae_atr,reached_plus1_share,reached_plus2_share,reached_minus1_share,plus1_before_minus1_share,plus2_before_minus1_share,avg_time_to_mfe,avg_time_to_mae
TEMPORAL_TEST,3,18,0.02195954046215798,1.189994469127673,-0.8911001818540198,0.4444444444444444,0.05555555555555555,0.2222222222222222,0.4444444444444444,0.05555555555555555,2.2222222222222223,0.9444444444444444
TEMPORAL_TEST,6,18,0.017664300466142265,1.70667715748854,-1.3704810707169128,0.6111111111111112,0.2222222222222222,0.3888888888888889,0.5555555555555556,0.16666666666666666,3.611111111111111,2.4444444444444446
TEMPORAL_TEST,12,18,0.0076579066561612025,2.210525340395204,-2.0648159047868426,0.6111111111111112,0.2777777777777778,0.6111111111111112,0.5555555555555556,0.2222222222222222,4.666666666666667,6.611111111111111
TEMPORAL_TEST,24,18,-0.0039008858566172678,2.5897294552533854,-2.508111232707454,0.7222222222222222,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.2222222222222222,8.777777777777779,11.0
TEMPORAL_TEST,48,18,-0.03899228407783082,5.768613661119656,-5.599979451531426,0.7777777777777778,0.5,0.8333333333333334,0.5555555555555556,0.2777777777777778,22.944444444444443,27.0
TRAIN,3,39,0.0061725691019504075,1.1871209843299124,-0.8787053710365514,0.48717948717948717,0.20512820512820512,0.358974358974359,0.48717948717948717,0.20512820512820512,1.358974358974359,1.1025641025641026
TRAIN,6,39,0.002135941200574667,1.4906318951844548,-1.4645946411916626,0.5641025641025641,0.3076923076923077,0.5897435897435898,0.5384615384615384,0.28205128205128205,2.7435897435897436,3.3333333333333335
TRAIN,12,39,0.016923776834816575,2.469655118287117,-1.8617252287099204,0.6923076923076923,0.46153846153846156,0.6410256410256411,0.5384615384615384,0.38461538461538464,6.948717948717949,5.512820512820513
TRAIN,24,39,0.023597613360524385,3.422686640047874,-2.457141203649609,0.7948717948717948,0.6666666666666666,0.6666666666666666,0.5384615384615384,0.4358974358974359,12.820512820512821,9.205128205128204
TRAIN,48,39,0.0028961921884634026,4.208085629528745,-3.621832672740749,0.8461538461538461,0.7435897435897436,0.6666666666666666,0.5384615384615384,0.4358974358974359,20.256410256410255,20.512820512820515
