scope,bars,atr14_median,atr14_iqr,share_above_ema200,share_below_ema200,ema27_crosses,ema200_crosses,avg_bull_regime_bars,avg_bear_regime_bars,avg_transition_regime_bars,transition_share,avg_directional_run_bars,avg_pullback_depth_atr,avg_speed_return_to_ema27
TRAIN,3228,0.00871428571428571,0.008133928571428589,0.4594175960346964,0.540272614622057,362,104,42.266666666666666,44.166666666666664,5.606060606060606,0.11462205700123916,1.8785211267605635,1.7556235217355856,0.584957969069342
TEMPORAL_TEST,1159,0.021292857142857162,0.013642857142857137,0.3002588438308887,0.6997411561691113,127,52,17.176470588235293,53.0,4.032258064516129,0.10785159620362382,2.010452961672474,1.5170307033180486,0.49291675126217366
