scope,signal_time,direction,mae_ENTRY_A_STOP_A_EXIT_A,mae_ENTRY_A_STOP_A_EXIT_B,mfe_ENTRY_A_STOP_A_EXIT_A,mfe_ENTRY_A_STOP_A_EXIT_B,net_return_ENTRY_A_STOP_A_EXIT_A,net_return_ENTRY_A_STOP_A_EXIT_B,fixed_exit_return_6,fixed_exit_return_12,fixed_exit_return_24,oracle_mfe_return_48
TEMPORAL_TEST,2024-12-21 08:00:00,SHORT,-0.0006045558225316,-0.0006045558225316,0.1049528100163511,0.1049528100163511,0.0314375903548106,0.0322724531573545,0.07459985205279875,0.09786002258844187,0.048523427685485794,0.11288004302401408
TEMPORAL_TEST,2024-12-24 00:00:00,SHORT,-0.0432125632614374,,0.0214598080427395,,-0.0371654646462827,,,,,
TEMPORAL_TEST,2024-12-27 12:00:00,SHORT,-0.0302702278124642,-0.0302702278124642,0.0103772417222574,0.0103772417222574,-0.0207568606917327,-0.0238499041234967,-0.012179241371658532,0.005110245669870931,0.027895728592151513,0.050795711428614394
TEMPORAL_TEST,2025-01-18 08:00:00,LONG,-0.0196365345859805,-0.060990659055454,0.0752072362063106,0.0752072362063106,-0.0064517294915632,-0.024086089672078,0.002674155590552556,-0.022250339292854665,-0.07536658494326198,0.07520723620631069
TEMPORAL_TEST,2025-01-19 12:00:00,LONG,-0.1054654220231844,-0.1054654220231844,0.0138306696200358,0.0138306696200358,-0.0664310560481792,-0.0664310560481792,-0.0380007836134069,-0.05623949965246405,-0.09839326682436643,0.02527639448128083
TEMPORAL_TEST,2025-01-26 08:00:00,SHORT,-0.0091243776233518,-0.0091243776233518,0.001833337315651,0.001833337315651,-0.0113244066511502,-0.0113244066511502,0.06869569050826999,0.027401338839990904,0.010051623519903111,0.49097355695391554
TEMPORAL_TEST,2025-01-28 12:00:00,SHORT,-0.0107286065315152,-0.0107286065315152,0.0594086945413036,0.0594086945413036,-0.0126074318193938,-0.0126074318193938,0.023818189086197622,-0.010311122596557953,0.046571063541368085,0.47637077457986243
TEMPORAL_TEST,2025-02-22 20:00:00,SHORT,-0.0201533953846915,-0.0201533953846915,0.0113950746373446,0.0113950746373446,-0.016971559183572,-0.016971559183572,0.045788078841695445,0.11961667057359142,0.1496135764961831,0.2503359459517819
TEMPORAL_TEST,2025-02-23 08:00:00,SHORT,-0.0100731772661609,-0.0100731772661609,0.2499482221069159,0.2499482221069159,0.145065774935567,0.1283694904085091,0.07052052015146439,0.15421895069593236,0.13882464894200405,0.24994822210691592
TEMPORAL_TEST,2025-03-04 04:00:00,LONG,-0.0337834301467733,-0.0337834301467733,0.2713375919121403,0.2713375919121403,0.0520333324300961,0.0796115834135423,0.21293648793330508,0.1774256471665135,-0.010027048867247278,0.2713375919121403
TEMPORAL_TEST,2025-04-01 16:00:00,SHORT,-0.0309034145336424,-0.0309034145336424,0.02178556456278,0.02178556456278,-0.02706940149526,-0.02706940149526,0.05617360974335824,0.04008649847862421,0.03403538323225638,0.24626718138535258
TEMPORAL_TEST,2025-04-02 20:00:00,SHORT,-0.0504079248381031,-0.0504079248381031,0.0420542562133295,0.2010078534184996,-0.0363410954891049,0.009991374889947,-0.01896139625715905,-0.02803551893225739,0.1291971239724632,0.20100785341849964
TEMPORAL_TEST,2025-04-05 12:00:00,SHORT,-0.0139453415308209,,0.2107576803539242,,0.0209653751806395,,,,,
TEMPORAL_TEST,2025-04-27 16:00:00,LONG,-0.0479885825672965,-0.0479885825672965,0.0010366532776094,0.0010366532776094,-0.0388775226696322,-0.0388775226696322,-0.015025745930835489,-0.028853376553757706,-0.016003457187001753,0.019054474998386844
TEMPORAL_TEST,2025-04-28 16:00:00,LONG,-0.0259719354537653,-0.0259719354537653,0.0159156581980849,0.0159156581980849,-0.0185580525608636,-0.0083742728663982,-0.016066085603665566,-0.03616080958529643,-0.012386769945057186,0.0324725786618231
TEMPORAL_TEST,2025-05-03 12:00:00,LONG,-0.0325136932365761,-0.0387501756609214,0.0042122588179012,0.0042122588179012,-0.0337507635533314,-0.0359670708184452,-0.05025302102138042,-0.0807424906515127,-0.08697897307585786,0.173567403763454
