k,silhouette,inertia
2,0.4062680284791924,44008.376664688825
3,0.21773390077870902,37811.4761966591
4,0.2302739918271709,33296.39703059064
5,0.22041968691505656,30567.96373199293
6,0.19569374106638107,29328.639478861835
7,0.21922514108462882,26832.520442082903
8,0.17718436926681067,25908.71088998519
