section_id,start_time,end_time,duration_4h_bars,raw_event_count,technical_end_reason,start_close,start_ema27,start_ema200,start_ema27_slope_3,start_ema200_slope_6,start_ema_gap_pct,bars_close_below_ema27,fraction_close_below_ema27,bars_close_above_ema27,recross_count_ema27,min_close,max_close,min_ema_gap_pct,max_ema_gap_pct,max_depth,median_depth,max_consecutive_bars_below_ema27,ema_cross_reached,open_at_period_end
LC001,2023-10-31 19:59:59.999,2023-11-02 03:59:59.999,9,1,FULL_RESET_CONFIRMED,0.2923,0.29340722627190075,0.2673854778791868,0.0001574535040353986,0.0011467105680010858,9.731922840054677,6,0.6666666666666666,3,1,0.2874,0.3098,8.792334775173474,9.731922840054677,0.2135147351759505,0.04255003373296636,6,False,False
LC002,2023-11-13 11:59:59.999,2023-11-19 23:59:59.999,40,2,FULL_RESET_CONFIRMED,0.3679,0.37449836352728255,0.3130483179346144,-0.00018812102382422444,0.002182264792192153,19.629572200896813,22,0.55,18,7,0.3497,0.3962,12.223038781429395,19.629572200896813,0.36079963391015835,0.05606834598655276,12,False,False
LC003,2023-11-21 15:59:59.999,2023-11-24 07:59:59.999,17,1,FULL_RESET_CONFIRMED,0.3759,0.37823366885230303,0.336482041518407,0.00013254017965295498,0.0013816649929559999,12.408278060097315,7,0.4117647058823529,10,1,0.3566,0.3949,10.420437856189322,12.408278060097315,0.4987386320149765,-0.08911596425390084,7,False,False
LC004,2023-11-26 19:59:59.999,2023-12-02 11:59:59.999,35,1,FULL_RESET_CONFIRMED,0.3847,0.386795129526244,0.3492407199658113,8.846274833425778e-05,0.0012204159979578206,10.753158899715096,21,0.6,14,7,0.3738,0.3889,6.603755164756775,10.753158899715096,0.3082214772281583,0.05578917498017192,10,False,False
LC005,2023-12-11 19:59:59.999,2023-12-12 15:59:59.999,6,1,FULL_RESET_CONFIRMED,0.5328,0.5423829819599766,0.4143859391969634,0.00010249993532688666,0.0036047828771629264,30.88836532703258,1,0.16666666666666666,5,1,0.5328,0.593,30.48135010425328,31.008467123339866,0.07486877628664787,-0.1830722920185118,1,False,False
LC006,2023-12-15 23:59:59.999,2024-01-06 19:59:59.999,132,4,EMA_CROSS,0.6004,0.6088192946386254,0.4583737492246411,0.0004497632863943816,0.0038030673758629265,32.82158842395958,82,0.6212121212121212,50,26,0.5179,0.6615,-0.08736751116165356,32.82158842395958,18.55968216160159,0.03968433881408653,24,True,False
