open_time,close_time,open,high,low,close,ema27,ema200,ema_gap,ema_gap_pct,ema27_change_1,ema27_change_2,ema27_slope_3,ema200_slope_6,ema_gap_change_1,ema_gap_change_3,depth,long_context,core_trigger,raw_event_id,section_id
2023-10-18 00:00:00,2023-10-18 03:59:59.999,0.2464,0.2464,0.2448,0.2459,0.24838626190250696,0.252859224676985,-0.004472962774478062,-1.768953764764583,-0.00019125091557742335,-0.0003664442092762288,-0.0006919061504061889,-0.0001991123761667657,-0.00012130895902484617,-0.0003178163643407783,,False,False,,
2023-10-18 04:00:00,2023-10-18 07:59:59.999,0.2459,0.2483,0.2455,0.2463,0.24823724319518503,0.2527939587598011,-0.004556715564616065,-1.8025413213872525,-0.00014901870732192402,-0.00034026962289934737,-0.0006907300623381815,-0.0002253216617361664,-8.375279013800307e-05,-0.0003136302525748591,,False,False,,
2023-10-18 08:00:00,2023-10-18 11:59:59.999,0.2464,0.247,0.2446,0.2467,0.24812744010981466,0.2527333223542309,-0.004605882244416243,-1.8224277675425167,-0.00010980308537036909,-0.0002588217926922931,-0.0006035310048326803,-0.00025127140744931237,-4.916667980017775e-05,-0.000254228428963027,,False,False,,
2023-10-18 12:00:00,2023-10-18 15:59:59.999,0.2468,0.247,0.2446,0.245,0.24790405153054218,0.25265637387309425,-0.004752322342552073,-1.8809429858037532,-0.00022338857927248212,-0.0003331916646428512,-0.000647124319291111,-0.0002645551052491979,-0.00014644009813583048,-0.0002793595680740113,,False,False,,
2023-10-18 16:00:00,2023-10-18 19:59:59.999,0.2451,0.246,0.2439,0.2441,0.24763233356407488,0.2525712358246057,-0.004938902260530842,-1.9554492198630997,-0.00027171796646729973,-0.0004951065457397819,-0.0008122735376369095,-0.0002796855478829167,-0.0001865799179787686,-0.00038218669591477683,,False,False,,
2023-10-18 20:00:00,2023-10-18 23:59:59.999,0.2441,0.2442,0.2422,0.243,0.24730145259521238,0.2524759996472465,-0.005174547052034101,-2.0495203739222165,-0.00033088096886249585,-0.0006025989353297956,-0.0011096280661753537,-0.0002986125801693329,-0.0002356447915032589,-0.000568664807617858,,False,False,,
2023-10-19 00:00:00,2023-10-19 03:59:59.999,0.243,0.2444,0.2394,0.2409,0.24684420598126866,0.2523608155711545,-0.0055166095898858125,-2.186000856511884,-0.0004572466139437237,-0.0007881275828062195,-0.001425074933534572,-0.00032851553828501984,-0.0003420625378517117,-0.0007642872473337392,,False,False,,
2023-10-19 04:00:00,2023-10-19 07:59:59.999,0.241,0.243,0.2406,0.242,0.24649819126832093,0.2522577228789042,-0.005759531610583263,-2.2831933725763927,-0.0003460147129477342,-0.0008032613268914579,-0.0015266481015499729,-0.0003535394882639246,-0.00024292202069745028,-0.0008206293500524209,,False,False,,
2023-10-19 08:00:00,2023-10-19 11:59:59.999,0.2421,0.2426,0.2409,0.2426,0.24621974903486943,0.25216162613384047,-0.005941877098971038,-2.356376420184272,-0.000278442233451498,-0.0006244569463992322,-0.0014580094441977904,-0.0003770088665429605,-0.0001823454883877751,-0.0007673300469369371,,False,False,,
2023-10-19 12:00:00,2023-10-19 15:59:59.999,0.2426,0.2459,0.2421,0.2452,0.24614690981809303,0.25209235622206094,-0.005945446403967908,-2.3584397770199486,-7.28392167763936e-05,-0.0003512814502278916,-0.0009416143817024084,-0.0003720584618462919,-3.5693049968699153e-06,-0.0004288368140820953,,False,False,,
2023-10-19 16:00:00,2023-10-19 19:59:59.999,0.2452,0.2465,0.243,0.2448,0.24605070197394352,0.2520197954636325,-0.0059690934896889924,-2.3685018387971657,-9.620784414951511e-05,-0.0001690470609259087,-0.0006051285705518014,-0.0003638843771295123,-2.364708572108465e-05,-0.00020956187910572965,,False,False,,
2023-10-19 20:00:00,2023-10-19 23:59:59.999,0.2447,0.247,0.2443,0.2469,0.24611136611866186,0.2519688522251884,-0.005857486106526533,-2.3246865851861753,6.066414471833648e-05,-3.554369943117863e-05,-0.00014672924847610366,-0.00033478259502334184,0.00011160738316245977,8.439099244450521e-05,,False,False,,
2023-10-20 00:00:00,2023-10-20 03:59:59.999,0.247,0.25,0.2454,0.2486,0.2462891256816146,0.2519353313075248,-0.005646205625910228,-2.2411329116114276,0.00017775956295273954,0.000238423707671076,0.0001925894088028457,-0.000281002594550106,0.0002112804806163049,0.00029924077805768,,False,False,,
2023-10-20 04:00:00,2023-10-20 07:59:59.999,0.2486,0.2493,0.2476,0.2483,0.2464327595614993,0.2518991588567037,-0.005466399295204427,-2.1700744536086614,0.000143633879884697,0.00032139344283743654,0.0005175865305953783,-0.00023690323406048522,0.00017980633070580065,0.0005026941944845653,,False,False,,
