section_id,episode_id,recovery_attempt_id,recovery_effective_open_time,recovery_detection_open_time,attempt_type,pre_dispute_reference_high,pre_dispute_reference_source,dispute_ceiling_before_bar,frozen_structural_reset_level,clearance_atr,probation_bars_required,probation_start_open_time,probation_end_open_time,probation_bars_available,recovery_status,recovery_failure_open_time,recovery_failure_reason,effective_resolution_open_time,exit_confirmation_open_time,structural_reset_attempt_id,candidate_status,close_above_reset_level_count,close_above_ema27_count,ema27_nonnegative_count,failure_open_time,failure_reason,final_status
LC001,EP001,R001,2023-11-01 16:00:00,2023-11-02 00:00:00,STRUCTURAL_RESET_CANDIDATE,0.3046,LAST_ALIGNED_RUN,0.3087,0.3087,0.16594427140273124,6,2023-11-02 04:00:00,2023-11-03 00:00:00,6,CONFIRMED_STRUCTURAL_RESET,,,2023-11-02 00:00:00,2023-11-03 00:00:00,SR001,STRUCTURAL_RESET_CANDIDATE,4.0,6.0,6.0,,,CONFIRMED_STRUCTURAL_RESET
LC002,EP001,R001,2023-11-15 16:00:00,2023-11-16 00:00:00,INTERNAL_RECOVERY,0.3951,LAST_ALIGNED_RUN,0.3885,0.3951,-1.2312270232901654,24,2023-11-16 04:00:00,2023-11-20 00:00:00,24,FAILED_INTERNAL_RECOVERY,2023-11-16 20:00:00,CORE_TRIGGER,,,,,,,,,,
LC002,EP002,R002,2023-11-19 12:00:00,2023-11-19 20:00:00,INTERNAL_RECOVERY,0.3951,LAST_ALIGNED_RUN,0.4095,0.4095,-2.5569231037520987,24,2023-11-20 00:00:00,2023-11-23 20:00:00,24,FAILED_INTERNAL_RECOVERY,2023-11-21 12:00:00,CORE_TRIGGER,,,,,,,,,,
LC002,EP003,R003,2023-11-22 20:00:00,2023-11-23 08:00:00,INTERNAL_RECOVERY,0.3951,LAST_ALIGNED_RUN,0.4095,0.4095,-2.8200731993524517,24,2023-11-23 12:00:00,2023-11-27 08:00:00,24,FAILED_INTERNAL_RECOVERY,2023-11-26 16:00:00,CORE_TRIGGER,,,,,,,,,,
LC002,EP004,R004,2023-12-01 16:00:00,2023-12-02 04:00:00,INTERNAL_RECOVERY,0.3951,LAST_ALIGNED_RUN,0.4095,0.4095,-4.453056970290124,24,2023-12-02 08:00:00,2023-12-06 04:00:00,24,CONFIRMED_PERSISTENT_INTERNAL_RECOVERY,,,2023-12-01 16:00:00,2023-12-06 04:00:00,,,,,,,,
LC003,EP001,R001,2023-12-12 04:00:00,2023-12-12 12:00:00,INTERNAL_RECOVERY,0.6474,LAST_ALIGNED_RUN,0.6075,0.6474,-2.333121978979071,24,2023-12-12 16:00:00,2023-12-16 12:00:00,24,FAILED_INTERNAL_RECOVERY,2023-12-15 20:00:00,CORE_TRIGGER,,,,,,,,,,
LC003,EP002,R002,2023-12-21 08:00:00,2023-12-21 20:00:00,INTERNAL_RECOVERY,0.6474,LAST_ALIGNED_RUN,0.68,0.68,-2.2804925041959883,24,2023-12-22 00:00:00,2023-12-25 20:00:00,24,FAILED_INTERNAL_RECOVERY,2023-12-23 04:00:00,CORE_TRIGGER,,,,,,,,,,
LC003,EP003,R003,2023-12-27 12:00:00,2023-12-27 20:00:00,INTERNAL_RECOVERY,0.6474,LAST_ALIGNED_RUN,0.68,0.68,-2.439085103724379,24,2023-12-28 00:00:00,2023-12-31 20:00:00,24,FAILED_INTERNAL_RECOVERY,2023-12-28 20:00:00,CORE_TRIGGER,,,,,,,,,,
LC003,EP004,R004,2024-01-01 16:00:00,2024-01-02 00:00:00,INTERNAL_RECOVERY,0.6474,LAST_ALIGNED_RUN,0.68,0.68,-3.648989523709927,24,2024-01-02 04:00:00,2024-01-06 00:00:00,24,FAILED_INTERNAL_RECOVERY,2024-01-02 20:00:00,CORE_TRIGGER,,,,,,,,,,
