section_id,display_start_open_time,last_aligned_run_start_open_time,last_aligned_run_end_open_time,dispute_start_open_time,first_core_trigger_open_time,last_core_trigger_open_time,resolution_candidate_open_time,dispute_end_open_time,dispute_end_boundary_time,display_end_boundary_time,resolution_kind,duration_dispute_bars,duration_display_bars,core_trigger_count,ema_cross_count,last_aligned_run_found,start_fallback_used,bars_added_before_first_trigger,bars_after_last_trigger,old_section_mapping,open_at_train_end
LC001,2023-10-29 12:00:00,2023-10-22 12:00:00,2023-10-31 08:00:00,2023-10-31 12:00:00,2023-10-31 16:00:00,2023-11-01 12:00:00,2023-11-01 16:00:00,2023-11-02 00:00:00,2023-11-02 04:00:00,2023-11-03 12:00:00,RECOVERED_LONG,10,30,6,0,True,False,1,3,LC001,False
LC002,2023-11-10 16:00:00,2023-11-10 16:00:00,2023-11-12 12:00:00,2023-11-12 16:00:00,2023-11-13 08:00:00,2023-11-18 12:00:00,2023-11-19 12:00:00,2023-11-19 20:00:00,2023-11-20 00:00:00,2023-11-21 08:00:00,RECOVERED_LONG,44,64,21,0,True,False,4,8,LC002,False
LC003,2023-11-19 04:00:00,2023-11-19 12:00:00,2023-11-21 00:00:00,2023-11-21 04:00:00,2023-11-21 12:00:00,2023-11-22 12:00:00,2023-11-22 20:00:00,2023-11-23 08:00:00,2023-11-23 12:00:00,2023-11-24 20:00:00,RECOVERED_LONG,14,34,7,0,True,False,2,5,LC003,False
LC004,2023-11-24 08:00:00,2023-11-25 12:00:00,2023-11-26 04:00:00,2023-11-26 08:00:00,2023-11-26 16:00:00,2023-12-01 04:00:00,2023-12-01 16:00:00,2023-12-02 04:00:00,2023-12-02 08:00:00,2023-12-03 16:00:00,RECOVERED_LONG,36,56,21,0,True,False,2,6,LC004,False
LC005,2023-12-09 00:00:00,2023-12-05 12:00:00,2023-12-10 20:00:00,2023-12-11 00:00:00,2023-12-11 16:00:00,2023-12-11 16:00:00,2023-12-12 04:00:00,2023-12-12 12:00:00,2023-12-12 16:00:00,2023-12-14 00:00:00,RECOVERED_LONG,10,30,1,0,True,False,4,5,LC005,False
LC006,2023-12-13 12:00:00,2023-12-13 08:00:00,2023-12-15 08:00:00,2023-12-15 12:00:00,2023-12-15 20:00:00,2023-12-20 20:00:00,2023-12-21 08:00:00,2023-12-21 20:00:00,2023-12-22 00:00:00,2023-12-23 08:00:00,RECOVERED_LONG,39,59,19,0,True,False,2,6,LC006,False
LC007,2023-12-21 00:00:00,2023-12-22 08:00:00,2023-12-22 20:00:00,2023-12-23 00:00:00,2023-12-23 04:00:00,2024-01-05 08:00:00,2024-01-06 16:00:00,2024-01-07 00:00:00,2024-01-07 04:00:00,2024-01-08 12:00:00,NEW_DOWN_CONFIGURATION,91,111,49,1,True,False,1,10,LC006,False
