validation,model,n,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss,spearman_prob_severity,prevalence
group_oof,Model 0,60,0.5303703703703704,0.2790782489429287,0.5,0.2502276276165402,0.6935994594210196,-0.3922200611280912,0.25
group_oof,Model 1,60,0.4488888888888889,0.23313783696760804,0.4444444444444444,0.2611108642375682,0.7116355851157675,-0.22956376771325374,0.25
group_oof,Model 2,60,0.7866666666666666,0.5883820363699175,0.6888888888888889,0.18142015421496235,0.546794132011982,0.1941094748541262,0.25
group_oof,Model 3,60,0.7822222222222223,0.5804694925645164,0.6888888888888889,0.18381761346348496,0.5538688477066057,0.19027507641011396,0.25
