shift_bars,model,n,first_coefficient,first_coefficient_sign,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss,spearman_prob_severity,prevalence
-3,Model 0,20,-0.42269032087928887,negative,0.5333333333333333,0.28380952380952373,0.5333333333333333,0.24930625547159088,0.6911467542634104,-0.5308270676691729,0.25
-3,Model 3,20,-0.3599818253130837,negative,0.8933333333333333,0.8111111111111111,0.7666666666666666,0.11268171279657109,0.3458348836971211,0.24511278195488717,0.25
0,Model 0,20,-0.05523686856673115,negative,0.5333333333333333,0.395021645021645,0.5,0.25074269879790684,0.6946316869455378,-0.3759398496240601,0.25
0,Model 3,20,0.23619996077451494,positive,0.7733333333333333,0.6142857142857143,0.7,0.1639408889992346,0.48284310808496667,0.02857142857142857,0.25
3,Model 0,20,-0.005432648142865526,negative,0.37333333333333335,0.23495481127060075,0.5,0.2502154416821384,0.693578065898332,-0.5924812030075187,0.25
3,Model 3,20,0.2684100684748483,positive,0.8,0.7496503496503496,0.7666666666666666,0.13359637585391432,0.40991753434210343,0.26766917293233083,0.25
