validation,fold_group,model,feature,coefficient
group_oof,M10,Model 1,fraction_last10_above_ema27,0.3966744913259508
group_oof,M10,Model 1,number_of_ema27_crosses_last20,-0.10790591729851687
group_oof,M10,Model 1,distance_change_to_ema27_last10,0.40498018537075936
group_oof,M11,Model 1,price_minus_ema27_atr,0.05862678577846263
group_oof,M11,Model 1,ema27_slope_5,-0.47608939273482265
group_oof,M11,Model 1,ema27_slope_10,-0.3442387398831995
group_oof,M11,Model 1,ema27_slope_change,-0.5909767142649401
group_oof,M11,Model 1,fraction_last10_above_ema27,0.48601357180931953
group_oof,M11,Model 1,number_of_ema27_crosses_last20,-0.2033459934494834
group_oof,M11,Model 1,distance_change_to_ema27_last10,0.6290119930220065
group_oof,M12,Model 1,price_minus_ema27_atr,0.3172958719491661
group_oof,M12,Model 1,ema27_slope_5,-0.6115839255184311
group_oof,M12,Model 1,ema27_slope_10,-0.45529180323000995
group_oof,M12,Model 1,ema27_slope_change,-0.7236210846619806
group_oof,M12,Model 1,fraction_last10_above_ema27,0.5317923899249402
group_oof,M12,Model 1,number_of_ema27_crosses_last20,-0.12391290845943588
group_oof,M12,Model 1,distance_change_to_ema27_last10,0.5235196483487755
group_oof,M13,Model 1,price_minus_ema27_atr,0.3375254142297906
group_oof,M13,Model 1,ema27_slope_5,-0.6258478417173738
group_oof,M13,Model 1,ema27_slope_10,-0.3949965649753484
group_oof,M13,Model 1,ema27_slope_change,-0.9261990570083956
group_oof,M13,Model 1,fraction_last10_above_ema27,0.5187104022873875
group_oof,M13,Model 1,number_of_ema27_crosses_last20,-0.10281113570654885
group_oof,M13,Model 1,distance_change_to_ema27_last10,0.6919805351791952
group_oof,M14,Model 1,price_minus_ema27_atr,-0.301926478070587
group_oof,M14,Model 1,ema27_slope_5,-0.3660164802168778
group_oof,M14,Model 1,ema27_slope_10,-0.24543534309122506
group_oof,M14,Model 1,ema27_slope_change,-0.5429449740589662
group_oof,M14,Model 1,fraction_last10_above_ema27,0.7423888623470163
group_oof,M14,Model 1,number_of_ema27_crosses_last20,-0.15581534951027134
group_oof,M14,Model 1,distance_change_to_ema27_last10,0.4246311934902336
group_oof,M15,Model 1,price_minus_ema27_atr,0.2140492389904548
group_oof,M15,Model 1,ema27_slope_5,-0.6223779362632248
group_oof,M15,Model 1,ema27_slope_10,-0.5263691655527374
group_oof,M15,Model 1,ema27_slope_change,-0.5486673394786208
group_oof,M15,Model 1,fraction_last10_above_ema27,0.6060737507083657
group_oof,M15,Model 1,number_of_ema27_crosses_last20,-0.27386830957010905
group_oof,M15,Model 1,distance_change_to_ema27_last10,0.6927173983785897
group_oof,M01,Model 2,price_minus_ema27_atr,0.2521196336765647
group_oof,M01,Model 2,ema27_slope_5,-0.25115832351742107
group_oof,M01,Model 2,ema27_slope_10,-0.03519582785214754
group_oof,M01,Model 2,ema27_slope_change,-0.7056165591614293
group_oof,M01,Model 2,fraction_last10_above_ema27,1.0708456125776702
group_oof,M01,Model 2,number_of_ema27_crosses_last20,0.2972657963625615
group_oof,M01,Model 2,distance_change_to_ema27_last10,0.6031649127572479
group_oof,M01,Model 2,price_minus_ema200_atr,0.023592655729812992
group_oof,M01,Model 2,ema200_slope_10,-0.18506514792015827
group_oof,M01,Model 2,ema200_slope_30,-0.34144744355187195
group_oof,M01,Model 2,fraction_last30_above_ema200,-1.1145775825817257
group_oof,M01,Model 2,number_of_ema200_crosses_last50,-1.4868664336724213
group_oof,M01,Model 2,distance_change_to_ema200_last20,-0.17976506134244732
group_oof,M01,Model 2,ema27_minus_ema200_atr,-0.20866400303569385
group_oof,M01,Model 2,ema27_above_ema200,0.3927096862249168
group_oof,M01,Model 2,ema27_ema200_distance_change_last20,0.16997757502981703
group_oof,M01,Model 2,price_between_ema27_ema200,-1.0059129365148705
group_oof,M01,Model 2,ema27_turning_against_previous_state,0.16464712105002718
group_oof,M02,Model 2,price_minus_ema27_atr,0.19634798527145333
group_oof,M02,Model 2,ema27_slope_5,-0.2513962530103209
group_oof,M02,Model 2,ema27_slope_10,-0.055794311633315004
group_oof,M02,Model 2,ema27_slope_change,-0.64579544359756
group_oof,M02,Model 2,fraction_last10_above_ema27,1.1829556345103553
group_oof,M02,Model 2,number_of_ema27_crosses_last20,0.1318349160179368
group_oof,M02,Model 2,distance_change_to_ema27_last10,0.6858131855871883
group_oof,M02,Model 2,price_minus_ema200_atr,-0.0677089184893237
group_oof,M02,Model 2,ema200_slope_10,-0.26879978290187445
group_oof,M02,Model 2,ema200_slope_30,-0.525412173475127
group_oof,M02,Model 2,fraction_last30_above_ema200,-0.5480399082079664
group_oof,M02,Model 2,number_of_ema200_crosses_last50,-1.0470179849892405
group_oof,M02,Model 2,distance_change_to_ema200_last20,-0.14942388052468844
group_oof,M02,Model 2,ema27_minus_ema200_atr,-0.30261917179659936
group_oof,M02,Model 2,ema27_above_ema200,0.38726141021312066
group_oof,M02,Model 2,ema27_ema200_distance_change_last20,0.06277280907100936
group_oof,M02,Model 2,price_between_ema27_ema200,-0.9682388161794054
group_oof,M02,Model 2,ema27_turning_against_previous_state,0.298688948557264
group_oof,M03,Model 2,price_minus_ema27_atr,0.26043523344320735
group_oof,M03,Model 2,ema27_slope_5,-0.20840343666624322
group_oof,M03,Model 2,ema27_slope_10,0.017387547868141607
group_oof,M03,Model 2,ema27_slope_change,-0.7120814898425646
group_oof,M03,Model 2,fraction_last10_above_ema27,1.0326151095284604
group_oof,M03,Model 2,number_of_ema27_crosses_last20,0.26757731748182634
group_oof,M03,Model 2,distance_change_to_ema27_last10,0.6772590483959048
group_oof,M03,Model 2,price_minus_ema200_atr,-0.0020564277825763613
group_oof,M03,Model 2,ema200_slope_10,-0.20058123438701228
group_oof,M03,Model 2,ema200_slope_30,-0.4336960310530502
group_oof,M03,Model 2,fraction_last30_above_ema200,-0.6781468062485095
group_oof,M03,Model 2,number_of_ema200_crosses_last50,-1.2524384541254518
group_oof,M03,Model 2,distance_change_to_ema200_last20,0.07800693805474318
group_oof,M03,Model 2,ema27_minus_ema200_atr,-0.2507763296533441
group_oof,M03,Model 2,ema27_above_ema200,0.32133658086911127
group_oof,M03,Model 2,ema27_ema200_distance_change_last20,-0.20805736620015042
group_oof,M03,Model 2,price_between_ema27_ema200,-1.05203006183173
group_oof,M03,Model 2,ema27_turning_against_previous_state,0.3109677102881255
group_oof,M04,Model 2,price_minus_ema27_atr,0.2810299462450037
group_oof,M04,Model 2,ema27_slope_5,-0.17704301743308845
group_oof,M04,Model 2,ema27_slope_10,0.018237634851456786
group_oof,M04,Model 2,ema27_slope_change,-0.6304726488789087
group_oof,M04,Model 2,fraction_last10_above_ema27,1.1345823515058828
group_oof,M04,Model 2,number_of_ema27_crosses_last20,0.28182436664599037
group_oof,M04,Model 2,distance_change_to_ema27_last10,0.622294684244511
group_oof,M04,Model 2,price_minus_ema200_atr,-0.03822651361225682
group_oof,M04,Model 2,ema200_slope_10,-0.2646907989357429
group_oof,M04,Model 2,ema200_slope_30,-0.43408326262268176
group_oof,M04,Model 2,fraction_last30_above_ema200,-0.6415555565181437
group_oof,M04,Model 2,number_of_ema200_crosses_last50,-1.3028228278922964
group_oof,M04,Model 2,distance_change_to_ema200_last20,-0.29990161454814535
group_oof,M04,Model 2,ema27_minus_ema200_atr,-0.3395628581377094
group_oof,M04,Model 2,ema27_above_ema200,0.36945762221507
group_oof,M04,Model 2,ema27_ema200_distance_change_last20,0.19029583614550663
group_oof,M04,Model 2,price_between_ema27_ema200,-0.7081521425565958
group_oof,M04,Model 2,ema27_turning_against_previous_state,0.3726665506894353
group_oof,M05,Model 2,price_minus_ema27_atr,0.30203797136775257
group_oof,M05,Model 2,ema27_slope_5,-0.18698639543835202
group_oof,M05,Model 2,ema27_slope_10,0.01078949546215869
group_oof,M05,Model 2,ema27_slope_change,-0.6548274560298023
group_oof,M05,Model 2,fraction_last10_above_ema27,1.1452737338278915
group_oof,M05,Model 2,number_of_ema27_crosses_last20,0.47309474127353157
group_oof,M05,Model 2,distance_change_to_ema27_last10,0.8838869442382731
group_oof,M05,Model 2,price_minus_ema200_atr,-0.02947754734728823
group_oof,M05,Model 2,ema200_slope_10,-0.27010061577528477
group_oof,M05,Model 2,ema200_slope_30,-0.5263280809368728
group_oof,M05,Model 2,fraction_last30_above_ema200,-0.7585698950489002
group_oof,M05,Model 2,number_of_ema200_crosses_last50,-1.2697012914865073
group_oof,M05,Model 2,distance_change_to_ema200_last20,-0.1356589859869846
group_oof,M05,Model 2,ema27_minus_ema200_atr,-0.3370620507306853
group_oof,M05,Model 2,ema27_above_ema200,0.5282417419114315
group_oof,M05,Model 2,ema27_ema200_distance_change_last20,0.00845818920653583
group_oof,M05,Model 2,price_between_ema27_ema200,-0.6089080088281708
group_oof,M05,Model 2,ema27_turning_against_previous_state,-0.23408048323353695
group_oof,M06,Model 2,price_minus_ema27_atr,0.28558087144320576
group_oof,M06,Model 2,ema27_slope_5,-0.13281455363716013
group_oof,M06,Model 2,ema27_slope_10,0.12937815678114828
group_oof,M06,Model 2,ema27_slope_change,-0.746825508552843
group_oof,M06,Model 2,fraction_last10_above_ema27,1.0614630066653088
group_oof,M06,Model 2,number_of_ema27_crosses_last20,0.2780645474272611
group_oof,M06,Model 2,distance_change_to_ema27_last10,0.6821293757359017
group_oof,M06,Model 2,price_minus_ema200_atr,0.0033200046646303725
group_oof,M06,Model 2,ema200_slope_10,-0.17544720703525193
group_oof,M06,Model 2,ema200_slope_30,-0.4688013547187785
group_oof,M06,Model 2,fraction_last30_above_ema200,-0.6310689967603391
group_oof,M06,Model 2,number_of_ema200_crosses_last50,-1.269609843982002
group_oof,M06,Model 2,distance_change_to_ema200_last20,-0.2774541759695797
group_oof,M06,Model 2,ema27_minus_ema200_atr,-0.25990174807106503
group_oof,M06,Model 2,ema27_above_ema200,0.2956817471533796
group_oof,M06,Model 2,ema27_ema200_distance_change_last20,-0.04975109352099122
