Index,event_id,source_type,direction,event_time,match_group,positive_move_id,match_quality,available_history_flag,censored_flag,event_idx,pre_net_return_atr,signed_close_return_atr,MFE_atr,signed_efficiency,target_major,severity_score,price_minus_ema27_atr,ema27_slope_5,ema27_slope_10,ema27_slope_change,fraction_last10_above_ema27,number_of_ema27_crosses_last20,distance_change_to_ema27_last10,price_minus_ema200_atr,ema200_slope_10,ema200_slope_30,fraction_last30_above_ema200,number_of_ema200_crosses_last50,distance_change_to_ema200_last20,ema27_minus_ema200_atr,ema27_above_ema200,ema27_ema200_distance_change_last20,price_between_ema27_ema200,ema27_turning_against_previous_state
0,F042,MATCHED_NON_MAJOR,SHORT,2023-07-14 08:00:00,M14,M14,2.399739,OK,False,80,5.089511257550796,2.549473684210528,3.8536842105263167,0.2873754152823924,0,0.4099356686637166,3.5162590542646113,1.3977113306905946,1.355567069682343,1.4398555916988462,0.6,2.0,3.411044682102391,4.802275497197061,0.22176098927093374,0.2514550383436945,0.6666666666666666,9.0,4.724916115735825,1.2860164429324503,1.0,1.306579801804361,0.0,1.0
1,F041,MATCHED_NON_MAJOR,SHORT,2023-07-14 12:00:00,M14,M14,2.377643,OK,False,81,4.804210526315792,2.492560287326835,3.483837865572087,0.2879668049792535,0,0.35913630892015663,3.0403909996844445,1.4533842229864091,1.548508994007145,1.3582594519656734,0.7,2.0,3.2409646902033815,4.461968558258116,0.2580820254805234,0.2861849315002616,0.7,8.0,4.1988907491600775,1.4215775585736712,1.0,1.4235420439082114,0.0,0.0
2,F030,MATCHED_NON_MAJOR,SHORT,2023-07-14 16:00:00,M10,M10,1.508634,OK,False,82,4.489481785531042,-0.1748438893844797,1.3862622658340766,-0.0265654648956359,0,-0.5263748323243299,2.498778043399754,1.3120497803915674,1.7024178022420453,0.9216817585410892,0.8,2.0,2.506920319871858,4.0362638114644644,0.29097410289288594,0.3200991517534189,0.7333333333333333,8.0,3.711234980197586,1.5374857680647098,1.0,1.5190810177362142,0.0,0.0
3,F033,MATCHED_NON_MAJOR,LONG,2023-07-18 20:00:00,M11,M11,1.162079,OK,False,107,-7.176356589147287,1.0104463437796765,3.031339031339029,0.0992167101827675,0,-0.060583969125050104,-1.3416397659839852,-0.49522709589767705,-0.7850006484695906,-0.2054535433257635,0.0,1.0,-1.1820536150963024,0.8955079515603891,0.1702017154403341,1.2200555091109309,1.0,4.0,-4.419313316036998,2.2371477175443744,1.0,-1.0981062459674804,1.0,0.0
4,F009,MATCHED_NON_MAJOR,LONG,2023-08-04 08:00:00,M03,M03,0.773473,OK,False,206,-4.892109500805149,1.3243243243243237,2.2939189189189166,0.1302325581395348,0,-0.08518352676167003,-1.9899702305105647,-0.7772909334074705,-1.4859857970227925,-0.06859606979214834,0.0,2.0,-0.7684425443620712,-2.5193226183291872,-0.18664607837939975,0.0051621974869371185,0.5333333333333333,3.0,-3.0550261171786888,-0.5293523878186227,0.0,-1.9442759490463908,0.0,0.0
5,F002,MATCHED_NON_MAJOR,LONG,2023-08-15 20:00:00,M01,M01,0.714771,OK,False,275,-4.057581573896351,-3.0221402214022124,0.2324723247232504,-0.1442663378545006,0,-1.0873311849009282,-2.5827006837828366,-0.43592293030420604,-0.6626410182292244,-0.20920484237918766,0.0,0.0,-1.809527887720866,-4.6743856955550696,-0.2722597978340292,-0.6683724963953603,0.0,0.0,-2.987612356713899,-2.091685011772233,0.0,-0.7630011683837912,0.0,0.0
6,F001,MATCHED_NON_MAJOR,LONG,2023-08-16 16:00:00,M01,M01,0.614215,OK,False,280,-4.99822380106573,-2.4194630872483214,0.8221476510067138,-0.123058542413381,0,-0.9300457779918476,-3.3814802042530925,-0.9481593272759782,-1.3515622521223225,-0.5447564024296339,0.0,0.0,-2.950391566705403,-6.024719209273459,-0.38276262886727946,-0.7958868030071473,0.0,0.0,-3.722719297283291,-2.6432390050203662,0.0,-1.2301041414009894,0.0,0.0
7,F003,MATCHED_NON_MAJOR,LONG,2023-08-17 00:00:00,M01,M01,1.149911,OK,False,282,-3.8390461997019383,-2.906030855539973,0.3534361851332451,-0.1753554502369666,0,-1.0964206719082605,-2.233262089738662,-0.8825733409800155,-1.4137222360981225,-0.35142444586190835,0.0,0.0,-1.841121281040483,-4.709917124929321,-0.377397062165303,-0.7320285221118003,0.0,0.0,-2.817090193907265,-2.4766550351906593,0.0,-1.224121625544987,0.0,0.0
8,M01,MAJOR,LONG,2023-09-11 16:00:00,M01,M01,,OK,False,436,-3.9178082191780783,2.635879218472469,4.301953818827705,0.2226890756302521,1,0.39994367483064575,-2.326331397222738,-0.6722124396714951,-1.1987732402205922,-0.1456516391223982,0.0,0.0,-1.7327336090944743,-6.5432096820311285,-0.5454752654734752,-1.3361720978387515,0.0,0.0,-3.3451481264857374,-4.2168782848083906,0.0,-0.6234029048148759,0.0,0.0
9,M02,MAJOR,SHORT,2023-12-13 20:00:00,M02,M02,,OK,False,995,3.1899144112884614,2.003053435114505,3.798473282442752,0.2468021068472534,1,0.3022661413721273,2.4507302064144043,0.398594810421613,0.7860683998722231,0.011121220971002935,0.9,4.0,1.8597793910137383,6.834773911267791,0.5283386083680256,1.681319931678755,1.0,0.0,0.7096512620471975,4.384043704853387,1.0,0.35451517268235416,0.0,0.0
10,M03,MAJOR,LONG,2024-01-23 08:00:00,M03,M03,,OK,False,1238,-3.8731196860693236,3.076380728554643,3.462984723854289,0.2551159618008186,1,0.37697356029886037,-2.4690269241377547,-0.811892354065498,-1.259605653535246,-0.3641790545957499,0.0,2.0,-2.3113557591527853,-5.539313851663402,-0.42507130460558445,-1.0679681847343698,0.0,0.0,-1.9877794074386774,-3.0702869275256472,0.0,-0.719642653973123,0.0,0.0
11,M04,MAJOR,SHORT,2024-03-14 08:00:00,M04,M04,,OK,False,1544,2.266217870257035,7.300262620367669,8.35833090166326,0.3845491715085002,1,1.5517816694358257,1.4183458699470946,0.2288541042712798,0.41242985204544436,0.04527835649711526,1.0,1.0,1.1426497073180804,5.068098149592972,0.41709110693919005,1.2225624603326137,1.0,0.0,2.0226380757933664,3.649752279645878,1.0,0.06557637046719254,0.0,0.0
12,M05,MAJOR,LONG,2024-07-05 00:00:00,M05,M05,,OK,False,2220,-1.6581196581196604,3.782456140350877,4.007017543859648,0.3316923076923076,1,0.6023285134658751,-2.9006500684935,-0.5895144831729436,-0.5493262432259356,-0.6297027231199517,0.4,1.0,-3.9720412781415857,-4.200226504541719,-0.16702847408629465,-0.3704002965220572,0.2,2.0,-3.324885665547468,-1.2995764360482196,0.0,0.5842527263939362,0.0,1.0
13,M06,MAJOR,SHORT,2024-07-16 00:00:00,M06,M06,,OK,False,2286,6.069177555726367,1.6355140186915909,4.110591900311529,0.1053370786516851,1,0.1422904854790151,2.413454089736081,0.717187968228959,1.5074029942769314,-0.0730270578190133,1.0,0.0,0.009891394654660417,4.455581804366651,0.35238691916454323,0.6497738513331681,0.8,1.0,3.2171922553742673,2.04212771463057,1.0,3.2152034629252104,0.0,0.0
14,M07,MAJOR,LONG,2024-08-05 08:00:00,M07,M07,,OK,False,2408,-6.238206445586178,3.2173913043478297,3.639751552795037,0.3337628865979381,1,0.5030081177461941,-3.524650301997006,-0.935231440964684,-1.4351116309839544,-0.43535125094541366,0.0,0.0,-1.952090610959066,-6.087801093003009,-0.3857493790921565,-0.769223165789538,0.0,3.0,-4.916929926511118,-2.563150791006003,0.0,-1.7666099985220944,0.0,0.0
