move_id,direction,detector,active_move_id,detected,start_time,delay_bars,delay_atr_from_reference_start,before_primary,reference_zone,ema27_vs_ema200,price_vs_ema27,trigger_reason,reference_start,reference_end,primary_entry_time,secondary_entry_time
M07,SHORT,START_C,START_C_AM027,True,2024-04-10 12:00:00,11.0,4.219040801717967,False,ZONE_3_EARLY_CONTINUATION,EMA27_BELOW_EMA200,PRICE_BELOW_EMA27,breakout after compression; compressed=True; break10=True,2024-04-08 16:00:00,2024-04-17 12:00:00,2024-04-09 00:00:00,2024-04-10 12:00:00
M08,SHORT,START_A,START_A_AM045,True,2024-05-24 08:00:00,21.0,4.181391712275211,False,ZONE_3_EARLY_CONTINUATION,EMA27_BELOW_EMA200,PRICE_BELOW_EMA27,EMA context held for two closed bars,2024-05-20 20:00:00,2024-06-24 16:00:00,2024-05-21 00:00:00,2024-05-26 00:00:00
M08,SHORT,START_B,START_B_AM015,True,2024-05-29 20:00:00,54.0,5.538702111024237,False,ZONE_3_EARLY_CONTINUATION,EMA27_BELOW_EMA200,PRICE_BELOW_EMA27,directed expansion; break20=True; near_ema27=True,2024-05-20 20:00:00,2024-06-24 16:00:00,2024-05-21 00:00:00,2024-05-26 00:00:00
M08,SHORT,START_C,START_C_AM030,True,2024-05-29 20:00:00,54.0,5.538702111024237,False,ZONE_3_EARLY_CONTINUATION,EMA27_BELOW_EMA200,PRICE_BELOW_EMA27,breakout after compression; compressed=True; break10=True,2024-05-20 20:00:00,2024-06-24 16:00:00,2024-05-21 00:00:00,2024-05-26 00:00:00
M09,LONG,START_A,START_A_AM051,True,2024-07-13 16:00:00,52.0,8.54035087719298,False,ZONE_5_LATE_MOVE,EMA27_ABOVE_EMA200,PRICE_ABOVE_EMA27,EMA context held for two closed bars,2024-07-05 00:00:00,2024-07-16 00:00:00,2024-07-05 08:00:00,2024-07-07 04:00:00
M09,LONG,START_B,,False,,,,False,NOT_DETECTED,,,20-bar expansion criteria appeared only after the reference matching window,2024-07-05 00:00:00,2024-07-16 00:00:00,2024-07-05 08:00:00,2024-07-07 04:00:00
M09,LONG,START_C,START_C_AM034,True,2024-07-13 12:00:00,51.0,7.719298245614034,False,ZONE_5_LATE_MOVE,EMA27_ABOVE_EMA200,PRICE_ABOVE_EMA27,breakout after compression; compressed=True; break10=True,2024-07-05 00:00:00,2024-07-16 00:00:00,2024-07-05 08:00:00,2024-07-07 04:00:00
M10,SHORT,START_A,START_A_AM054,True,2024-07-25 20:00:00,59.0,6.1604361370716525,False,ZONE_4_MATURE_MOVE,EMA27_BELOW_EMA200,PRICE_BELOW_EMA27,EMA context held for two closed bars,2024-07-16 00:00:00,2024-08-05 08:00:00,2024-07-16 04:00:00,2024-07-19 04:00:00
M10,SHORT,START_B,START_B_AM016,True,2024-07-29 20:00:00,83.0,5.266355140186919,False,ZONE_5_LATE_MOVE,EMA27_BELOW_EMA200,PRICE_BELOW_EMA27,directed expansion; break20=True; near_ema27=True,2024-07-16 00:00:00,2024-08-05 08:00:00,2024-07-16 04:00:00,2024-07-19 04:00:00
M10,SHORT,START_C,START_C_AM035,True,2024-07-25 16:00:00,58.0,7.032710280373834,False,ZONE_4_MATURE_MOVE,EMA27_BELOW_EMA200,PRICE_BELOW_EMA27,breakout after compression; compressed=True; break10=True,2024-07-16 00:00:00,2024-08-05 08:00:00,2024-07-16 04:00:00,2024-07-19 04:00:00
M11,LONG,START_A,START_A_AM070,True,2024-11-07 12:00:00,72.0,7.078274760383377,False,ZONE_3_EARLY_CONTINUATION,EMA27_ABOVE_EMA200,PRICE_ABOVE_EMA27,EMA context held for two closed bars,2024-10-26 12:00:00,2024-12-03 00:00:00,2024-10-26 20:00:00,2024-11-01 04:00:00
M11,LONG,START_B,START_B_AM020,True,2024-11-20 04:00:00,148.0,51.91853035143765,False,ZONE_4_MATURE_MOVE,EMA27_ABOVE_EMA200,PRICE_ABOVE_EMA27,directed expansion; break20=True; near_ema27=True,2024-10-26 12:00:00,2024-12-03 00:00:00,2024-10-26 20:00:00,2024-11-01 04:00:00
M11,LONG,START_C,START_C_AM045,True,2024-11-10 00:00:00,87.0,23.25878594249199,False,ZONE_4_MATURE_MOVE,EMA27_ABOVE_EMA200,PRICE_ABOVE_EMA27,breakout after compression; compressed=True; break10=True,2024-10-26 12:00:00,2024-12-03 00:00:00,2024-10-26 20:00:00,2024-11-01 04:00:00
M12,SHORT,START_A,,False,,,,False,NOT_DETECTED,,,overlapping active move was opposite direction (START_A_AM071),2024-12-03 00:00:00,2024-12-20 08:00:00,2024-12-03 04:00:00,2024-12-05 16:00:00
M12,SHORT,START_B,,False,,,,False,NOT_DETECTED,,,20-bar expansion criteria appeared only after the reference matching window,2024-12-03 00:00:00,2024-12-20 08:00:00,2024-12-03 04:00:00,2024-12-05 16:00:00
M12,SHORT,START_C,,False,,,,False,NOT_DETECTED,,,overlapping active move was opposite direction (START_C_AM046),2024-12-03 00:00:00,2024-12-20 08:00:00,2024-12-03 04:00:00,2024-12-05 16:00:00
