detector,reference_moves_detected,recall,false_active_moves,median_start_delay_bars,primary_entries_generated,secondary_entries_generated,signals_per_active_move,entry_zone_1_2_3_share,entry_zone_4_5_6_share,primary_label_hit_pm6_bars,secondary_label_hit_pm6_bars,blocked_example_rejection_rate,repeated_signal_reduction,unknown_rate,max_entries_per_active_move
START_A,9,0.75,67,22.0,71,18,1.1710526315789473,0.1348314606741573,0.24719101123595505,0.3333333333333333,0.4166666666666667,0.8333333333333334,0.832391713747646,0.5955056179775281,2
START_B,6,0.5,14,83.0,17,3,1.0,0.25,0.25,0.16666666666666666,0.08333333333333333,0.9722222222222222,0.9623352165725048,0.45,2
START_C,10,0.8333333333333334,38,52.5,41,11,1.0833333333333333,0.17307692307692307,0.25,0.3333333333333333,0.3333333333333333,0.9722222222222222,0.9020715630885122,0.5384615384615384,2
