move_id,direction,executable_time,price,zone,ema27_relation_to_ema200,ema27_slope_10,ema200_slope_20,ema_distance_atr,price_distance_ema27_atr,bars_from_move_start,atr_from_move_start,fraction_move_completed,pullback_to_ema27,pullback_depth_atr,new_extremum_after_pullback,ema27_crossings_last10,timestamp,blocked_reason,distance_to_EMA27,previous_allowed_entry_in_move,why_EMA_context_insufficient
M05,LONG,2024-03-05 16:00:00,0.7547,ZONE_4_MATURE_MOVE,EMA27_ABOVE_EMA200,0.03649668764695857,0.030137010590737923,4.258109447800404,0.6467281869308777,63,6.297883064516128,0.8121019108280254,True,1.7499999999999991,False,0.0,2024-03-05 12:00:00,MATURE_MOVE,0.6467281869308777,M05:PRIMARY_ENTRY,"EMA can still point in direction, but 0.81 of full retrospective movement is already completed."
M05,LONG,2024-03-10 00:00:00,0.7427,ZONE_5_LATE_MOVE,EMA27_ABOVE_EMA200,0.0004613288402469662,0.020831788295549436,5.212927708396597,0.5718102212758339,89,9.50652528548124,0.7575068243858052,True,3.5685154975530184,False,3.0,2024-03-09 20:00:00,TOO_LATE,0.5718102212758339,M05:PRIMARY_ENTRY,Late zone after prior allowed label; EMA context does not show that this is a repeated same-move entry.
M05,LONG,2024-03-12 20:00:00,0.7481,ZONE_6_EXHAUSTION_OR_CHOP,EMA27_ABOVE_EMA200,0.013225775855420396,0.018781087284827636,3.33521686942161,0.23852321675485402,106,6.756316676024701,0.7820746132848041,True,3.816395283548566,False,1.0,2024-03-12 16:00:00,EXHAUSTION,0.23852321675485402,M05:PRIMARY_ENTRY,Exhaustion/chop zone; EMA context lags and crossings_last10=1 can understate local instability.
M06,SHORT,2024-03-17 12:00:00,0.6784,ZONE_4_MATURE_MOVE,EMA27_ABOVE_EMA200,-0.027766639347844846,0.008979616359067744,1.2358875044950857,1.0914006591236993,18,3.683221476510069,0.5616045845272207,True,1.7507829977628622,False,0.0,2024-03-17 08:00:00,MATURE_MOVE,1.0914006591236993,M06:PRIMARY_ENTRY,"EMA can still point in direction, but 0.56 of full retrospective movement is already completed."
M06,SHORT,2024-03-18 20:00:00,0.6492,ZONE_5_LATE_MOVE,EMA27_ABOVE_EMA200,-0.025744470085949822,0.0030395868051726893,0.7577878508305139,1.6217244257543302,26,5.136715821044741,0.7010506208213946,True,1.3751562109472635,False,0.0,2024-03-18 16:00:00,TOO_LATE,1.6217244257543302,M06:PRIMARY_ENTRY,Late zone after prior allowed label; EMA context does not show that this is a repeated same-move entry.
M06,SHORT,2024-03-19 12:00:00,0.6173,ZONE_6_EXHAUSTION_OR_CHOP,EMA27_ABOVE_EMA200,-0.029609181333944634,-0.0005037405013905705,0.2484074042545787,2.1090687317658756,30,6.038619357953178,0.8533906399235914,True,1.2097513878831747,True,0.0,2024-03-19 08:00:00,EXHAUSTION,2.1090687317658756,M06:PRIMARY_ENTRY,Exhaustion/chop zone; EMA context lags and crossings_last10=0 can understate local instability.
M07,SHORT,2024-04-13 16:00:00,0.5026,ZONE_4_MATURE_MOVE,EMA27_BELOW_EMA200,-0.03309525210111386,-0.01313287880882319,2.6247158629513985,2.3780161702857323,29,4.974148802017651,0.6155106499180771,True,3.5838587641866333,False,2.0,2024-04-13 12:00:00,MATURE_MOVE,2.3780161702857323,M07:PRIMARY_ENTRY,"EMA can still point in direction, but 0.62 of full retrospective movement is already completed."
M07,SHORT,2024-04-15 16:00:00,0.4676,ZONE_5_LATE_MOVE,EMA27_BELOW_EMA200,-0.0389610958559673,-0.025412866659602962,3.4065146170543086,1.2369231491668744,41,5.234936708860761,0.806663025669033,False,3.427341772151899,False,0.0,2024-04-15 12:00:00,TOO_LATE,1.2369231491668744,M07:PRIMARY_ENTRY,Late zone after prior allowed label; EMA context does not show that this is a repeated same-move entry.
M07,SHORT,2024-04-16 20:00:00,0.4483,ZONE_6_EXHAUSTION_OR_CHOP,EMA27_BELOW_EMA200,-0.024139229084508718,-0.028039702889288587,4.547312998664461,1.5418686099339802,48,7.2249690976514245,0.9120699071545604,True,2.8207663782447474,False,0.0,2024-04-16 16:00:00,EXHAUSTION,1.5418686099339802,M07:PRIMARY_ENTRY,Exhaustion/chop zone; EMA context lags and crossings_last10=0 can understate local instability.
M08,SHORT,2024-06-09 00:00:00,0.4368,ZONE_4_MATURE_MOVE,EMA27_BELOW_EMA200,-0.006163900970848235,-0.0022640457806019643,0.9807870222196655,1.2522086203529235,114,5.274193548387091,0.489154824233358,True,1.1854838709677407,False,1.0,2024-06-08 20:00:00,MATURE_MOVE,1.2522086203529235,M08:PRIMARY_ENTRY,"EMA can still point in direction, but 0.49 of full retrospective movement is already completed."
