entry_variant,signal_time,entry_time,direction,scope,executed,blocked,block_reason,move_id,zone,signal_number_in_move
ENTRY_T4,2023-11-11 08:00:00,2023-11-11 12:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_4_MATURE_MOVE,36.0
ENTRY_T1,2023-11-13 04:00:00,2023-11-13 08:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,37.0
ENTRY_T1,2023-11-15 08:00:00,2023-11-15 12:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,38.0
ENTRY_T2,2023-11-15 08:00:00,2023-11-15 12:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,39.0
ENTRY_T1,2023-11-15 12:00:00,2023-11-15 16:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,40.0
ENTRY_T1,2023-11-15 16:00:00,2023-11-15 20:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,41.0
ENTRY_T2,2023-11-15 16:00:00,2023-11-15 20:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,42.0
ENTRY_T4,2023-11-15 16:00:00,2023-11-15 20:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,43.0
ENTRY_T1,2023-11-15 20:00:00,2023-11-16 00:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,44.0
ENTRY_T2,2023-11-15 20:00:00,2023-11-16 00:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,45.0
ENTRY_T4,2023-11-15 20:00:00,2023-11-16 00:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,46.0
ENTRY_T1,2023-11-16 00:00:00,2023-11-16 04:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,47.0
ENTRY_T2,2023-11-16 00:00:00,2023-11-16 04:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,48.0
