backbone_state,episode_count,mean_dwell,median_dwell,p75_dwell,p90_dwell,max_dwell
1,13,222.07692307692307,138.0,296.0,570.4000000000001,780
2,12,32.416666666666664,7.0,39.25,64.6,188
