model,k,median_ari,p10_ari,median_silhouette,p10_silhouette,min_cluster_fraction,degenerate_runs,states_with_median_dwell_ge_3,stable_candidate
MODEL_RAW,2,0.9890057022030334,0.8809999177754054,0.5762521960863743,0.5483432017366795,0.11874236874236874,0,2,True
MODEL_RAW,3,0.47357283046753446,0.1682706330248659,0.42138599160434675,0.30935940714452215,0.024114774114774116,17,3,False
MODEL_RAW,4,0.86686987983293,0.7522623921773701,0.3360975533678298,0.3201250344718804,0.022588522588522588,30,4,False
MODEL_RAW,5,0.9918026693510558,0.9862001023100624,0.3378098590450594,0.3376473503776284,0.021672771672771672,30,5,False
MODEL_RAW,6,0.9895423388833643,0.5814064856380524,0.3727233711441261,0.3325578174260015,0.020146520146520148,30,6,False
MODEL_ALIGNED,2,0.8857563395992366,0.874885170429893,0.6514297204604832,0.6196186831763484,0.08699633699633699,0,2,True
MODEL_ALIGNED,3,0.3012270651740441,0.1799749936847996,0.3603298498869497,0.327832427268278,0.035103785103785104,12,3,False
MODEL_ALIGNED,4,0.9999033961605541,0.9970685957605452,0.3473828417915465,0.3473828417915465,0.023809523809523808,30,4,False
MODEL_ALIGNED,5,0.854618385086412,0.26419444186067587,0.3541762259238051,0.34224234164900164,0.017094017094017096,30,5,False
MODEL_ALIGNED,6,0.4896719341200996,0.3774891712786542,0.3355930944141147,0.2796686227808852,0.011294261294261294,30,6,False
