experiment,feature_count,has_lookahead,has_duplicate_features,selected_k,silhouette,ari_stability,min_cluster_fraction,median_state_duration,state_count,largest_state_fraction,mean_correction_duration,median_correction_duration,one_bar_correction_fraction,has_self_transition,causal_state_assignment
EXP-010,16,True,True,2,0.4062680284791924,,0.1158277744087325,,2,0.8841722255912674,1.6244274809160306,1.0,0.6,False,False
EXP-010A,8,False,False,2,0.5762521960863743,0.9890057022030334,0.11874236874236874,72.5,2,0.8812576312576312,27.761061946902654,11.0,0.0,True,True
