dt,backbone_state,direction,updates_directional_extreme_h5,forward_mfe_pct_h5,forward_mae_pct_h5,updates_directional_extreme_h10,forward_mfe_pct_h10,forward_mae_pct_h10,updates_directional_extreme_h20,forward_mfe_pct_h20,forward_mae_pct_h20
2023-07-05 00:00:00,1,LONG,1.0,0.7138001359619275,-4.9286199864038105,1.0,0.7138001359619275,-6.1522773623385465,1.0,0.7138001359619275,-6.1522773623385465
2023-07-05 04:00:00,1,LONG,0.0,0.2033209081667384,-5.218569976279217,0.0,0.2033209081667384,-6.438495425279554,0.0,0.2033209081667384,-6.438495425279554
2023-07-05 08:00:00,1,LONG,0.0,2.0629370629370687,-2.202797202797193,0.0,2.6923076923077067,-3.4615384615384492,0.0,2.6923076923077067,-3.4615384615384492
2023-07-05 12:00:00,1,LONG,1.0,3.9278131634819524,-0.49539985845718765,1.0,3.9278131634819524,-2.300070771408353,1.0,3.9278131634819524,-2.300070771408353
2023-07-05 16:00:00,1,LONG,1.0,3.9278131634819524,-2.300070771408353,1.0,3.9278131634819524,-2.300070771408353,1.0,3.9278131634819524,-2.300070771408353
2023-07-05 20:00:00,1,LONG,1.0,3.451919690031712,-2.7474462839027733,1.0,3.451919690031712,-2.7474462839027733,1.0,3.451919690031712,-2.7474462839027733
2023-07-06 00:00:00,1,LONG,1.0,3.0888030888030995,-3.08880308880308,1.0,3.0888030888030995,-3.08880308880308,1.0,3.0888030888030995,-3.08880308880308
2023-07-06 04:00:00,1,LONG,1.0,1.97916666666668,-4.131944444444433,1.0,1.97916666666668,-4.131944444444433,1.0,1.97916666666668,-4.131944444444433
2023-07-06 08:00:00,1,LONG,0.0,0.38220986796386025,-4.065323141070184,0.0,0.38220986796386025,-4.065323141070184,0.0,1.8415566365531715,-4.065323141070184
2023-07-06 12:00:00,1,LONG,0.0,1.9475920679886702,-2.230878186968829,0.0,1.9830028328611877,-2.230878186968829,1.0,3.788951841359789,-2.230878186968829
2023-07-06 16:00:00,1,LONG,0.0,0.563777307963351,-2.713178294573638,1.0,1.479915433403799,-2.713178294573638,1.0,3.276955602537009,-2.713178294573638
2023-07-06 20:00:00,1,LONG,1.0,2.550287356321838,-0.826149425287345,1.0,4.346264367816092,-0.826149425287345,1.0,5.28017241379312,-0.826149425287345
2023-07-07 00:00:00,1,LONG,1.0,1.2770485987938958,-1.2061014544164452,1.0,3.9730400851365886,-1.2061014544164452,1.0,3.9730400851365886,-1.3479957431713268
2023-07-07 04:00:00,1,SHORT,1.0,0.39341917024320094,-2.503576537911304,1.0,0.39341917024320094,-4.828326180257514,1.0,0.5364806866952794,-4.828326180257514
2023-07-07 08:00:00,1,SHORT,0.0,0.4606661941885271,-2.055279943302612,0.0,0.4606661941885271,-3.8625088589652803,1.0,1.4528703047484028,-3.8625088589652803
2023-07-07 12:00:00,1,SHORT,0.0,1.0559662090813102,-1.3727560718056877,0.0,1.0559662090813102,-3.1678986272439307,1.0,2.1119324181626205,-3.1678986272439307
2023-07-07 16:00:00,1,SHORT,0.0,0.45936395759716186,-2.650176678445232,0.0,0.45936395759716186,-3.568904593639595,1.0,1.7314487632508695,-3.568904593639595
2023-07-07 20:00:00,1,SHORT,1.0,0.949367088607588,-3.0590717299578207,1.0,0.949367088607588,-3.0590717299578207,1.0,2.215189873417712,-3.410689170182837
2023-07-08 00:00:00,1,SHORT,1.0,0.564772326156015,-3.459230497705623,1.0,0.564772326156015,-3.459230497705623,1.0,1.8355100600070533,-3.8122132015531154
2023-07-08 04:00:00,1,SHORT,0.0,0.2107481559536317,-2.950474183350902,0.0,0.5971197752019792,-2.950474183350902,1.0,2.3182297154899874,-3.3017211099402752
2023-07-08 08:00:00,1,SHORT,0.0,0.38461538461538114,-2.4825174825175003,1.0,2.762237762237749,-2.4825174825175003,1.0,2.762237762237749,-2.832167832167831
2023-07-08 12:00:00,1,SHORT,0.0,1.2802768166089902,-1.418685121107283,1.0,3.771626297577843,-1.418685121107283,1.0,3.771626297577843,-1.7647058823529391
2023-07-08 16:00:00,1,SHORT,1.0,1.6919889502762482,-0.7596685082872857,1.0,3.9709944751381245,-0.7596685082872857,1.0,3.9709944751381245,-2.0027624309392165
2023-07-08 20:00:00,1,SHORT,1.0,2.3391812865497172,-0.3783969728242139,1.0,4.3343653250774,-0.3783969728242139,1.0,4.3343653250774,-1.6167870657034682
2023-07-09 00:00:00,1,SHORT,1.0,2.4137931034482785,-0.10344827586207674,1.0,4.103448275862057,-0.5172413793103453,1.0,4.103448275862057,-1.862068965517247
2023-07-09 04:00:00,1,SHORT,1.0,2.8301886792452815,-0.9084556254367543,1.0,2.8301886792452815,-2.271139063591896,1.0,2.8301886792452815,-3.2145352900069835
