model,k,seed,silhouette,inertia,min_cluster_fraction,degenerate,cluster_1_size,state_1_median_dwell,cluster_2_size,state_2_median_dwell,cluster_3_size,state_3_median_dwell,cluster_4_size,state_4_median_dwell,cluster_5_size,state_5_median_dwell,cluster_6_size,state_6_median_dwell
MODEL_RAW,2,100,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,101,0.5744155520908389,17443.582794810638,0.12057387057387058,False,2881,100.0,395,6.0,,,,,,,,
MODEL_RAW,2,102,0.5483432017366795,17456.822212869156,0.13675213675213677,False,2828,53.0,448,10.0,,,,,,,,
MODEL_RAW,2,103,0.5744155520908389,17443.582794810638,0.12057387057387058,False,2881,100.0,395,6.0,,,,,,,,
MODEL_RAW,2,104,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,105,0.5483432017366795,17456.822212869156,0.13675213675213677,False,2828,53.0,448,10.0,,,,,,,,
MODEL_RAW,2,106,0.5483432017366795,17456.822212869156,0.13675213675213677,False,2828,53.0,448,10.0,,,,,,,,
MODEL_RAW,2,107,0.5483432017366795,17456.822212869156,0.13675213675213677,False,2828,53.0,448,10.0,,,,,,,,
MODEL_RAW,2,108,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,109,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,110,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,111,0.5483432017366795,17456.822212869156,0.13675213675213677,False,2828,53.0,448,10.0,,,,,,,,
MODEL_RAW,2,112,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,113,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,114,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,115,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,116,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,117,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,118,0.5744155520908389,17443.582794810638,0.12057387057387058,False,2881,100.0,395,6.0,,,,,,,,
MODEL_RAW,2,119,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,120,0.5744155520908389,17443.582794810638,0.12057387057387058,False,2881,100.0,395,6.0,,,,,,,,
MODEL_RAW,2,121,0.5483432017366795,17456.822212869156,0.13675213675213677,False,2828,53.0,448,10.0,,,,,,,,
MODEL_RAW,2,122,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,123,0.5483432017366795,17456.822212869156,0.13675213675213677,False,2828,53.0,448,10.0,,,,,,,,
MODEL_RAW,2,124,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,125,0.5744155520908389,17443.582794810638,0.12057387057387058,False,2881,100.0,395,6.0,,,,,,,,
MODEL_RAW,2,126,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,127,0.5762521960863743,17443.483950782855,0.11874236874236874,False,2887,138.0,389,7.0,,,,,,,,
MODEL_RAW,2,128,0.5483432017366795,17456.822212869156,0.13675213675213677,False,2828,53.0,448,10.0,,,,,,,,
MODEL_RAW,2,129,0.5744155520908389,17443.492688611914,0.11935286935286936,False,2885,138.0,391,7.0,,,,,,,,
MODEL_RAW,3,100,0.42138599160434675,13641.506776038186,0.024114774114774116,True,2452,34.0,745,21.0,79.0,14.0,,,,,,
MODEL_RAW,3,101,0.43444721814518455,13733.954174779476,0.046703296703296704,True,2577,30.0,546,15.0,153.0,10.0,,,,,,
MODEL_RAW,3,102,0.5122159466764198,13800.785518443996,0.07967032967032966,False,2671,83.0,344,14.0,261.0,23.0,,,,,,
MODEL_RAW,3,103,0.29380096371624587,13788.748316630332,0.07814407814407814,False,1525,21.0,1495,17.0,256.0,9.5,,,,,,
MODEL_RAW,3,104,0.4540447541160774,13629.173812437246,0.029914529914529916,True,2640,55.5,538,17.5,98.0,11.0,,,,,,
MODEL_RAW,3,105,0.5122159466764198,13800.796898014805,0.07997557997557997,False,2670,83.0,344,14.0,262.0,23.0,,,,,,
MODEL_RAW,3,106,0.2898710638713518,13786.192428683378,0.06837606837606838,False,1534,19.0,1518,20.0,224.0,13.0,,,,,,
MODEL_RAW,3,107,0.3571118231664858,13808.62320151597,0.06318681318681318,False,2247,27.0,822,13.0,207.0,12.0,,,,,,
MODEL_RAW,3,108,0.42138599160434675,13641.506776038186,0.024114774114774116,True,2452,34.0,745,21.0,79.0,14.0,,,,,,
MODEL_RAW,3,109,0.5232943906360398,13597.333088611445,0.029609279609279608,True,2834,114.0,345,28.5,97.0,10.5,,,,,,
MODEL_RAW,3,110,0.5230263256640302,13597.508570482987,0.029609279609279608,True,2829,121.5,350,30.0,97.0,10.5,,,,,,
MODEL_RAW,3,111,0.422434256740851,13823.766721143606,0.0644078144078144,False,2510,37.0,555,14.0,211.0,14.0,,,,,,
MODEL_RAW,3,112,0.5232943906360398,13597.333088611445,0.029609279609279608,True,2834,114.0,345,28.5,97.0,10.5,,,,,,
MODEL_RAW,3,113,0.42138599160434675,13641.506776038186,0.024114774114774116,True,2452,34.0,745,21.0,79.0,14.0,,,,,,
MODEL_RAW,3,114,0.4200828547627623,13642.155765911277,0.025335775335775336,True,2446,33.5,747,18.0,83.0,14.0,,,,,,
MODEL_RAW,3,115,0.4200828547627623,13642.155765911277,0.025335775335775336,True,2446,33.5,747,18.0,83.0,14.0,,,,,,
MODEL_RAW,3,116,0.42138599160434675,13641.506776038186,0.024114774114774116,True,2452,34.0,745,21.0,79.0,14.0,,,,,,
MODEL_RAW,3,117,0.42138599160434675,13641.506776038186,0.024114774114774116,True,2452,34.0,745,21.0,79.0,14.0,,,,,,
