symbol,requested_timeframe,required_parent_timeframe,source_path,source_sha256,source_interval,schema,first_timestamp_utc,last_timestamp_utc,row_count,duplicates,gaps,invalid_ohlc,alignment,native_or_derived,component_completeness,overlapping_native_equality,readiness_status,reason
ADAUSDT,15m,1H,experiments/EXP-011_MULTISCALE_EMA_TREND_BACKBONE/artifacts/ohlc_1h.csv,a901e11b95d02f06330e54c81578a8caac77817f76d0dd73a55f6e6d6d1875e1,1H,open_time|close_time|open|high|low|close,2023-07-01T00:00:00Z,2024-12-31T23:00:00Z,13200,0,0,0,UTC_ALIGNED,NOT_USABLE_COARSER_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,UNAVAILABLE,LOCAL_SOURCE_IS_1H; CANNOT_DERIVE_SMALLER_15m_BARS
ADAUSDT,15m,1H,experiments/EXP-011_MULTISCALE_EMA_TREND_BACKBONE/artifacts/ohlc_4h.csv,e860b6f7919cddc69d29fd5900916dfb304e2cd68af0832977fa5c947d9603a7,4H,open_time|close_time|open|high|low|close,2023-07-01T00:00:00Z,2024-12-31T20:00:00Z,3300,0,0,0,UTC_ALIGNED,NOT_USABLE_COARSER_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,UNAVAILABLE,LOCAL_SOURCE_IS_4H; CANNOT_DERIVE_SMALLER_15m_BARS
ADAUSDT,15m,1H,/home/nnv/Irobot/logs/msm/features/ada4h_features_v1.csv,6462823dccf0ac2c2286cc665bc9c803ab0d91c7226d162a47cf1bc015c105cc,4H,open_time|open_dt|open|high|low|close|body|range|upper_wick|lower_wick|body_ratio|upper_wick_ratio|lower_wick_ratio|close_position_in_range|bar_direction|rolling_range_5|rolling_atr_5|rolling_body_ratio_5|rolling_wick_ratio_5|rolling_return_5|rolling_abs_return_5|rolling_volatility_5|rolling_directional_efficiency_5|rolling_overlap_ratio_5|rolling_body_dominance_5|rolling_upper_wick_pressure_5|rolling_lower_wick_pressure_5|rolling_range_10|rolling_atr_10|rolling_body_ratio_10|rolling_wick_ratio_10|rolling_return_10|rolling_abs_return_10|rolling_volatility_10|rolling_directional_efficiency_10|rolling_overlap_ratio_10|rolling_body_dominance_10|rolling_upper_wick_pressure_10|rolling_lower_wick_pressure_10|rolling_range_20|rolling_atr_20|rolling_body_ratio_20|rolling_wick_ratio_20|rolling_return_20|rolling_abs_return_20|rolling_volatility_20|rolling_directional_efficiency_20|rolling_overlap_ratio_20|rolling_body_dominance_20|rolling_upper_wick_pressure_20|rolling_lower_wick_pressure_20|rolling_range_50|rolling_atr_50|rolling_body_ratio_50|rolling_wick_ratio_50|rolling_return_50|rolling_abs_return_50|rolling_volatility_50|rolling_directional_efficiency_50|rolling_overlap_ratio_50|rolling_body_dominance_50|rolling_upper_wick_pressure_50|rolling_lower_wick_pressure_50|atr_rate_change_5_10|atr_rate_change_10_20|atr_rate_change_20_50|amplitude_rate_change_5_10|amplitude_rate_change_10_20|amplitude_rate_change_20_50|body_ratio_rate_change_5_10|body_ratio_rate_change_10_20|body_ratio_rate_change_20_50|wick_ratio_rate_change_5_10|wick_ratio_rate_change_10_20|wick_ratio_rate_change_20_50|efficiency_rate_change_5_10|efficiency_rate_change_10_20|efficiency_rate_change_20_50|overlap_rate_change_5_10|overlap_rate_change_10_20|overlap_rate_change_20_50,2023-07-01T00:00:00Z,2026-07-01T00:00:00Z,6577,0,0,0,UTC_ALIGNED,NOT_USABLE_COARSER_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,UNAVAILABLE,LOCAL_SOURCE_IS_4H; CANNOT_DERIVE_SMALLER_15m_BARS
ADAUSDT,5m,15m,experiments/EXP-011_MULTISCALE_EMA_TREND_BACKBONE/artifacts/ohlc_1h.csv,a901e11b95d02f06330e54c81578a8caac77817f76d0dd73a55f6e6d6d1875e1,1H,open_time|close_time|open|high|low|close,2023-07-01T00:00:00Z,2024-12-31T23:00:00Z,13200,0,0,0,UTC_ALIGNED,NOT_USABLE_COARSER_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,UNAVAILABLE,LOCAL_SOURCE_IS_1H; CANNOT_DERIVE_SMALLER_5m_BARS
ADAUSDT,5m,15m,experiments/EXP-011_MULTISCALE_EMA_TREND_BACKBONE/artifacts/ohlc_4h.csv,e860b6f7919cddc69d29fd5900916dfb304e2cd68af0832977fa5c947d9603a7,4H,open_time|close_time|open|high|low|close,2023-07-01T00:00:00Z,2024-12-31T20:00:00Z,3300,0,0,0,UTC_ALIGNED,NOT_USABLE_COARSER_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,UNAVAILABLE,LOCAL_SOURCE_IS_4H; CANNOT_DERIVE_SMALLER_5m_BARS
ADAUSDT,5m,15m,/home/nnv/Irobot/logs/msm/features/ada4h_features_v1.csv,6462823dccf0ac2c2286cc665bc9c803ab0d91c7226d162a47cf1bc015c105cc,4H,open_time|open_dt|open|high|low|close|body|range|upper_wick|lower_wick|body_ratio|upper_wick_ratio|lower_wick_ratio|close_position_in_range|bar_direction|rolling_range_5|rolling_atr_5|rolling_body_ratio_5|rolling_wick_ratio_5|rolling_return_5|rolling_abs_return_5|rolling_volatility_5|rolling_directional_efficiency_5|rolling_overlap_ratio_5|rolling_body_dominance_5|rolling_upper_wick_pressure_5|rolling_lower_wick_pressure_5|rolling_range_10|rolling_atr_10|rolling_body_ratio_10|rolling_wick_ratio_10|rolling_return_10|rolling_abs_return_10|rolling_volatility_10|rolling_directional_efficiency_10|rolling_overlap_ratio_10|rolling_body_dominance_10|rolling_upper_wick_pressure_10|rolling_lower_wick_pressure_10|rolling_range_20|rolling_atr_20|rolling_body_ratio_20|rolling_wick_ratio_20|rolling_return_20|rolling_abs_return_20|rolling_volatility_20|rolling_directional_efficiency_20|rolling_overlap_ratio_20|rolling_body_dominance_20|rolling_upper_wick_pressure_20|rolling_lower_wick_pressure_20|rolling_range_50|rolling_atr_50|rolling_body_ratio_50|rolling_wick_ratio_50|rolling_return_50|rolling_abs_return_50|rolling_volatility_50|rolling_directional_efficiency_50|rolling_overlap_ratio_50|rolling_body_dominance_50|rolling_upper_wick_pressure_50|rolling_lower_wick_pressure_50|atr_rate_change_5_10|atr_rate_change_10_20|atr_rate_change_20_50|amplitude_rate_change_5_10|amplitude_rate_change_10_20|amplitude_rate_change_20_50|body_ratio_rate_change_5_10|body_ratio_rate_change_10_20|body_ratio_rate_change_20_50|wick_ratio_rate_change_5_10|wick_ratio_rate_change_10_20|wick_ratio_rate_change_20_50|efficiency_rate_change_5_10|efficiency_rate_change_10_20|efficiency_rate_change_20_50|overlap_rate_change_5_10|overlap_rate_change_10_20|overlap_rate_change_20_50,2023-07-01T00:00:00Z,2026-07-01T00:00:00Z,6577,0,0,0,UTC_ALIGNED,NOT_USABLE_COARSER_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,UNAVAILABLE,LOCAL_SOURCE_IS_4H; CANNOT_DERIVE_SMALLER_5m_BARS
ADAUSDT,3m,15m,experiments/EXP-011_MULTISCALE_EMA_TREND_BACKBONE/artifacts/ohlc_1h.csv,a901e11b95d02f06330e54c81578a8caac77817f76d0dd73a55f6e6d6d1875e1,1H,open_time|close_time|open|high|low|close,2023-07-01T00:00:00Z,2024-12-31T23:00:00Z,13200,0,0,0,UTC_ALIGNED,NOT_USABLE_COARSER_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,UNAVAILABLE,LOCAL_SOURCE_IS_1H; CANNOT_DERIVE_SMALLER_3m_BARS
ADAUSDT,3m,15m,experiments/EXP-011_MULTISCALE_EMA_TREND_BACKBONE/artifacts/ohlc_4h.csv,e860b6f7919cddc69d29fd5900916dfb304e2cd68af0832977fa5c947d9603a7,4H,open_time|close_time|open|high|low|close,2023-07-01T00:00:00Z,2024-12-31T20:00:00Z,3300,0,0,0,UTC_ALIGNED,NOT_USABLE_COARSER_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,UNAVAILABLE,LOCAL_SOURCE_IS_4H; CANNOT_DERIVE_SMALLER_3m_BARS
ADAUSDT,3m,15m,/home/nnv/Irobot/logs/msm/features/ada4h_features_v1.csv,6462823dccf0ac2c2286cc665bc9c803ab0d91c7226d162a47cf1bc015c105cc,4H,open_time|open_dt|open|high|low|close|body|range|upper_wick|lower_wick|body_ratio|upper_wick_ratio|lower_wick_ratio|close_position_in_range|bar_direction|rolling_range_5|rolling_atr_5|rolling_body_ratio_5|rolling_wick_ratio_5|rolling_return_5|rolling_abs_return_5|rolling_volatility_5|rolling_directional_efficiency_5|rolling_overlap_ratio_5|rolling_body_dominance_5|rolling_upper_wick_pressure_5|rolling_lower_wick_pressure_5|rolling_range_10|rolling_atr_10|rolling_body_ratio_10|rolling_wick_ratio_10|rolling_return_10|rolling_abs_return_10|rolling_volatility_10|rolling_directional_efficiency_10|rolling_overlap_ratio_10|rolling_body_dominance_10|rolling_upper_wick_pressure_10|rolling_lower_wick_pressure_10|rolling_range_20|rolling_atr_20|rolling_body_ratio_20|rolling_wick_ratio_20|rolling_return_20|rolling_abs_return_20|rolling_volatility_20|rolling_directional_efficiency_20|rolling_overlap_ratio_20|rolling_body_dominance_20|rolling_upper_wick_pressure_20|rolling_lower_wick_pressure_20|rolling_range_50|rolling_atr_50|rolling_body_ratio_50|rolling_wick_ratio_50|rolling_return_50|rolling_abs_return_50|rolling_volatility_50|rolling_directional_efficiency_50|rolling_overlap_ratio_50|rolling_body_dominance_50|rolling_upper_wick_pressure_50|rolling_lower_wick_pressure_50|atr_rate_change_5_10|atr_rate_change_10_20|atr_rate_change_20_50|amplitude_rate_change_5_10|amplitude_rate_change_10_20|amplitude_rate_change_20_50|body_ratio_rate_change_5_10|body_ratio_rate_change_10_20|body_ratio_rate_change_20_50|wick_ratio_rate_change_5_10|wick_ratio_rate_change_10_20|wick_ratio_rate_change_20_50|efficiency_rate_change_5_10|efficiency_rate_change_10_20|efficiency_rate_change_20_50|overlap_rate_change_5_10|overlap_rate_change_10_20|overlap_rate_change_20_50,2023-07-01T00:00:00Z,2026-07-01T00:00:00Z,6577,0,0,0,UTC_ALIGNED,NOT_USABLE_COARSER_SOURCE,NOT_APPLICABLE,NOT_APPLICABLE,UNAVAILABLE,LOCAL_SOURCE_IS_4H; CANNOT_DERIVE_SMALLER_3m_BARS
