symbol,child_timeframe,parent_timeframe,detector_factor,representation,run_status,source_detection_count,valid_support,invalid_support,invalid_reason,insufficient_history_count,cap_hit_count,zero_denominator_count,age_q25,age_q50,age_q75,unique_ages,age_entropy,origin_disagreement_from_fixed_bars,origin_disagreement_from_fixed_minutes,rank_age_displacement,rank_age_efficiency,rank_age_boundary_distance,rank_age_extreme_distance,direction_stability,chronological_third_stability,parent_origin_timestamp,parent_end_timestamp,origin_reason
ADAUSDT,15m,1H,0.8,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,0.8,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,0.8,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,0.8,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,0.8,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,1.0,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,1.0,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,1.0,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,1.0,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,1.0,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,1.2,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,1.2,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,1.2,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,1.2,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,15m,1H,1.2,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
ADAUSDT,5m,15m,0.8,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,0,0,0,NO_READY_CHILD_OR_PARENT_BARS,0,0,0,,,,0,,,,,,,,NOT_EVALUABLE,NOT_EVALUABLE,,,NO_READY_LOCAL_SOURCE
