instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,variant,boundary_margin_threshold_atr,boundary_distance_atr,gate_pass,counter_boundary_preserved,balance_boundary_preserved,reassertion_boundary_preserved
ADAUSDT,1H_FALLBACK,UP,2023-07-22 04:00:00,2023-07-23 12:00:00,2023-07-24 00:00:00,2023-07-24 04:00:00,2023-07-24 04:00:00,0.3062,1,1,0,1,0,1,0.591252,0.540715,0.307692,0.614564,0.666667,8,4,0.831858,0.5,1.0,0,,ADA_0139,BASE,0.0,1.815988,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-07-24 12:00:00,2023-07-25 20:00:00,2023-07-26 08:00:00,2023-07-26 12:00:00,2023-07-26 12:00:00,0.3,1,1,1,1,1,1,0.863436,0.470193,1.0,0.773083,0.333333,8,4,0.692308,0.5,1.0,0,,ADA_0153,BASE,0.0,1.13069,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-07-26 08:00:00,2023-07-27 16:00:00,2023-07-28 04:00:00,2023-07-28 08:00:00,2023-07-28 08:00:00,0.3003,1,1,1,1,1,1,0.77643,-0.168501,0.368421,0.539245,0.666667,8,4,0.545455,0.5,1.0,0,,ADA_0164,BASE,0.0,2.596187,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-07-27 12:00:00,2023-07-28 20:00:00,2023-07-29 08:00:00,2023-07-29 12:00:00,2023-07-29 12:00:00,0.3053,1,1,0,1,0,1,0.533632,0.257985,0.257143,0.634286,0.666667,8,4,0.62963,0.5,1.0,0,,ADA_0171,BASE,0.0,1.695067,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-07-27 16:00:00,2023-07-29 00:00:00,2023-07-29 12:00:00,2023-07-29 16:00:00,2023-07-29 16:00:00,0.3053,1,1,1,1,0,1,0.604545,0.149637,0.128205,0.537619,0.333333,8,4,0.62963,0.5,1.0,0,,ADA_0172,BASE,0.0,2.322727,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-07-28 20:00:00,2023-07-30 04:00:00,2023-07-30 16:00:00,2023-07-30 20:00:00,2023-07-30 20:00:00,0.3087,1,1,1,1,1,1,1.733075,1.746824,1.0,0.651463,0.333333,8,4,2.263158,0.5,1.0,0,,ADA_0179,BASE,0.0,1.868472,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 00:00:00,2023-08-01 08:00:00,2023-08-01 20:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,0.319,1,1,1,1,1,1,0.522523,1.021505,1.0,0.538425,0.333333,8,4,0.495868,0.5,1.0,0,,ADA_0192,BASE,0.0,2.09009,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 12:00:00,2023-08-01 20:00:00,2023-08-02 08:00:00,2023-08-02 12:00:00,2023-08-02 12:00:00,0.3153,1,1,0,1,0,1,1.018545,-0.422613,0.323529,0.506484,0.666667,8,4,0.521951,0.5,1.0,0,,ADA_0195,BASE,0.0,2.456491,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-01 20:00:00,2023-08-03 04:00:00,2023-08-03 16:00:00,2023-08-03 20:00:00,2023-08-03 20:00:00,0.312,1,1,1,1,0,1,0.685015,0.021277,0.04,0.595141,0.333333,8,4,0.732877,0.5,1.0,0,,ADA_0203,BASE,0.0,4.238532,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-02 16:00:00,2023-08-04 00:00:00,2023-08-04 12:00:00,2023-08-04 16:00:00,2023-08-04 16:00:00,0.3038,1,1,0,1,0,1,0.600954,0.454693,0.454545,0.75,0.666667,8,4,0.373333,0.5,1.0,0,,ADA_0208,BASE,0.0,2.337043,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-04 12:00:00,2023-08-05 20:00:00,2023-08-06 08:00:00,2023-08-06 12:00:00,2023-08-06 12:00:00,0.2972,1,1,1,1,1,1,1.16129,0.310284,0.416667,0.641317,1.0,8,4,0.71831,0.5,1.0,0,,ADA_0219,BASE,0.0,1.935484,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-08-05 00:00:00,2023-08-06 08:00:00,2023-08-06 20:00:00,2023-08-07 00:00:00,2023-08-07 00:00:00,0.2901,1,1,1,1,0,1,0.7,0.819672,0.531915,0.592764,0.333333,8,4,0.964912,0.5,1.0,0,,ADA_0222,BASE,0.0,1.433333,1,1,1,1
