event_id,event_family,side,timestamp,funding_rate,delta_log_oi,z_mad,oi_shock_side,qualification_reason
O035247,OI,OI_EXPANSION_SHOCK,2024-07-02T03:45:00Z,,0.00748504,4.98918568,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035267,OI,OI_EXPANSION_SHOCK,2024-07-02T08:45:00Z,,0.00785805,5.21328615,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035276,OI,OI_EXPANSION_SHOCK,2024-07-02T11:00:00Z,,0.00766626,5.07648888,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035281,OI,OI_EXPANSION_SHOCK,2024-07-02T12:15:00Z,,0.00633459,4.18883292,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035287,OI,OI_EXPANSION_SHOCK,2024-07-02T13:45:00Z,,0.00855521,5.65628557,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035288,OI,OI_CONTRACTION_SHOCK,2024-07-02T14:00:00Z,,-0.01253736,-8.23815770,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035289,OI,OI_CONTRACTION_SHOCK,2024-07-02T14:15:00Z,,-0.00643772,-4.21640707,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035291,OI,OI_CONTRACTION_SHOCK,2024-07-02T14:45:00Z,,-0.00714816,-4.68138368,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035294,OI,OI_CONTRACTION_SHOCK,2024-07-02T15:30:00Z,,-0.00637328,-4.17407007,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035341,OI,OI_CONTRACTION_SHOCK,2024-07-03T03:15:00Z,,-0.00953624,-6.21675682,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035370,OI,OI_CONTRACTION_SHOCK,2024-07-03T10:30:00Z,,-0.00644161,-4.17555727,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035371,OI,OI_CONTRACTION_SHOCK,2024-07-03T10:45:00Z,,-0.01154475,-7.48909176,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035380,OI,OI_CONTRACTION_SHOCK,2024-07-03T13:00:00Z,,-0.00661158,-4.26507716,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035384,OI,OI_CONTRACTION_SHOCK,2024-07-03T14:00:00Z,,-0.00628086,-4.05356906,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035393,OI,OI_EXPANSION_SHOCK,2024-07-03T16:15:00Z,,0.00862588,5.63181592,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035403,OI,OI_EXPANSION_SHOCK,2024-07-03T18:45:00Z,,0.01484654,9.63795823,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035406,OI,OI_CONTRACTION_SHOCK,2024-07-03T19:30:00Z,,-0.01426926,-9.21690285,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035427,OI,OI_EXPANSION_SHOCK,2024-07-04T00:45:00Z,,0.00704113,4.58035769,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035429,OI,OI_CONTRACTION_SHOCK,2024-07-04T01:15:00Z,,-0.00884388,-5.68980420,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035430,OI,OI_CONTRACTION_SHOCK,2024-07-04T01:30:00Z,,-0.00737812,-4.73333762,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035468,OI,OI_EXPANSION_SHOCK,2024-07-04T11:00:00Z,,0.00927025,5.92434994,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035474,OI,OI_CONTRACTION_SHOCK,2024-07-04T12:30:00Z,,-0.00676305,-4.26594157,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035476,OI,OI_CONTRACTION_SHOCK,2024-07-04T13:00:00Z,,-0.01520021,-9.59163351,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035477,OI,OI_EXPANSION_SHOCK,2024-07-04T13:15:00Z,,0.01128958,7.18204537,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035478,OI,OI_CONTRACTION_SHOCK,2024-07-04T13:30:00Z,,-0.01577915,-9.95793742,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035497,OI,OI_CONTRACTION_SHOCK,2024-07-04T18:15:00Z,,-0.00906295,-5.62379126,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035523,OI,OI_CONTRACTION_SHOCK,2024-07-05T00:45:00Z,,-0.00976567,-6.00206618,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035524,OI,OI_EXPANSION_SHOCK,2024-07-05T01:00:00Z,,0.01474352,9.11977872,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035526,OI,OI_EXPANSION_SHOCK,2024-07-05T01:30:00Z,,0.00657595,4.07944628,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035527,OI,OI_CONTRACTION_SHOCK,2024-07-05T01:45:00Z,,-0.01651202,-10.15548145,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035531,OI,OI_CONTRACTION_SHOCK,2024-07-05T02:45:00Z,,-0.01279265,-7.86169964,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035538,OI,OI_EXPANSION_SHOCK,2024-07-05T04:30:00Z,,0.00775446,4.79503403,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035540,OI,OI_EXPANSION_SHOCK,2024-07-05T05:00:00Z,,0.00921395,5.68718790,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035543,OI,OI_CONTRACTION_SHOCK,2024-07-05T05:45:00Z,,-0.01021513,-6.24903394,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035548,OI,OI_CONTRACTION_SHOCK,2024-07-05T07:00:00Z,,-0.00742276,-4.51811852,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035549,OI,OI_CONTRACTION_SHOCK,2024-07-05T07:15:00Z,,-0.00881066,-5.36221973,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035553,OI,OI_CONTRACTION_SHOCK,2024-07-05T08:15:00Z,,-0.00973260,-5.91944431,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035557,OI,OI_EXPANSION_SHOCK,2024-07-05T09:15:00Z,,0.02325768,14.24321668,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035559,OI,OI_CONTRACTION_SHOCK,2024-07-05T09:45:00Z,,-0.00993335,-6.03251902,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035563,OI,OI_EXPANSION_SHOCK,2024-07-05T10:45:00Z,,0.01034616,6.34227457,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035564,OI,OI_CONTRACTION_SHOCK,2024-07-05T11:00:00Z,,-0.00977482,-5.92468580,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035565,OI,OI_CONTRACTION_SHOCK,2024-07-05T11:15:00Z,,-0.00689314,-4.15960757,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035569,OI,OI_CONTRACTION_SHOCK,2024-07-05T12:15:00Z,,-0.00784839,-4.70889215,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035570,OI,OI_CONTRACTION_SHOCK,2024-07-05T12:30:00Z,,-0.04053721,-24.43869366,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035651,OI,OI_CONTRACTION_SHOCK,2024-07-06T08:45:00Z,,-0.01258079,-7.47214522,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035652,OI,OI_EXPANSION_SHOCK,2024-07-06T09:00:00Z,,0.00938912,5.63803622,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035682,OI,OI_CONTRACTION_SHOCK,2024-07-06T16:30:00Z,,-0.01063552,-6.28024028,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035718,OI,OI_EXPANSION_SHOCK,2024-07-07T01:30:00Z,,0.01988863,11.83470213,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035741,OI,OI_CONTRACTION_SHOCK,2024-07-07T07:15:00Z,,-0.00744110,-4.35307356,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035798,OI,OI_CONTRACTION_SHOCK,2024-07-07T21:30:00Z,,-0.01053538,-6.22321288,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O035813,OI,OI_EXPANSION_SHOCK,2024-07-08T01:15:00Z,,0.00760028,4.57948447,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O035835,OI,OI_CONTRACTION_SHOCK,2024-07-08T06:45:00Z,,-0.00684879,-4.02836405,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
