episode_view,episode_id,event_id,event_family,side,episode_start,episode_end,representative_event_id,is_representative,member_count
8H,OI|OI_EXPANSION_SHOCK|8H|00104,O011055,OI,OI_EXPANSION_SHOCK,2023-10-23T12:15:00Z,2023-10-24T11:45:00Z,O010993,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00105,O011088,OI,OI_EXPANSION_SHOCK,2023-10-24T12:00:00Z,2023-10-24T20:00:00Z,O011088,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00106,O011131,OI,OI_EXPANSION_SHOCK,2023-10-24T22:45:00Z,2023-10-25T11:30:00Z,O011131,1,2
8H,OI|OI_EXPANSION_SHOCK|8H|00106,O011150,OI,OI_EXPANSION_SHOCK,2023-10-24T22:45:00Z,2023-10-25T11:30:00Z,O011131,0,2
8H,OI|OI_EXPANSION_SHOCK|8H|00107,O011250,OI,OI_EXPANSION_SHOCK,2023-10-26T04:30:00Z,2023-10-27T07:30:00Z,O011250,1,5
8H,OI|OI_EXPANSION_SHOCK|8H|00107,O011281,OI,OI_EXPANSION_SHOCK,2023-10-26T04:30:00Z,2023-10-27T07:30:00Z,O011250,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00107,O011293,OI,OI_EXPANSION_SHOCK,2023-10-26T04:30:00Z,2023-10-27T07:30:00Z,O011250,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00107,O011301,OI,OI_EXPANSION_SHOCK,2023-10-26T04:30:00Z,2023-10-27T07:30:00Z,O011250,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00107,O011326,OI,OI_EXPANSION_SHOCK,2023-10-26T04:30:00Z,2023-10-27T07:30:00Z,O011250,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00108,O011380,OI,OI_EXPANSION_SHOCK,2023-10-27T13:00:00Z,2023-10-27T21:00:00Z,O011380,1,1
