episode_view,episode_id,event_id,event_family,side,episode_start,episode_end,representative_event_id,is_representative,member_count
8H,OI|OI_EXPANSION_SHOCK|8H|00068,O007651,OI,OI_EXPANSION_SHOCK,2023-09-18T09:00:00Z,2023-09-19T00:45:00Z,O007620,0,3
8H,OI|OI_EXPANSION_SHOCK|8H|00069,O007723,OI,OI_EXPANSION_SHOCK,2023-09-19T10:45:00Z,2023-09-20T08:30:00Z,O007723,1,3
8H,OI|OI_EXPANSION_SHOCK|8H|00069,O007748,OI,OI_EXPANSION_SHOCK,2023-09-19T10:45:00Z,2023-09-20T08:30:00Z,O007723,0,3
8H,OI|OI_EXPANSION_SHOCK|8H|00069,O007778,OI,OI_EXPANSION_SHOCK,2023-09-19T10:45:00Z,2023-09-20T08:30:00Z,O007723,0,3
8H,OI|OI_EXPANSION_SHOCK|8H|00070,O007840,OI,OI_EXPANSION_SHOCK,2023-09-20T16:00:00Z,2023-09-21T05:00:00Z,O007840,1,4
8H,OI|OI_EXPANSION_SHOCK|8H|00070,O007852,OI,OI_EXPANSION_SHOCK,2023-09-20T16:00:00Z,2023-09-21T05:00:00Z,O007840,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00070,O007855,OI,OI_EXPANSION_SHOCK,2023-09-20T16:00:00Z,2023-09-21T05:00:00Z,O007840,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00070,O007860,OI,OI_EXPANSION_SHOCK,2023-09-20T16:00:00Z,2023-09-21T05:00:00Z,O007840,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00071,O007897,OI,OI_EXPANSION_SHOCK,2023-09-21T06:15:00Z,2023-09-22T08:15:00Z,O007897,1,8
8H,OI|OI_EXPANSION_SHOCK|8H|00071,O007901,OI,OI_EXPANSION_SHOCK,2023-09-21T06:15:00Z,2023-09-22T08:15:00Z,O007897,0,8
8H,OI|OI_EXPANSION_SHOCK|8H|00071,O007903,OI,OI_EXPANSION_SHOCK,2023-09-21T06:15:00Z,2023-09-22T08:15:00Z,O007897,0,8
8H,OI|OI_EXPANSION_SHOCK|8H|00071,O007914,OI,OI_EXPANSION_SHOCK,2023-09-21T06:15:00Z,2023-09-22T08:15:00Z,O007897,0,8
8H,OI|OI_EXPANSION_SHOCK|8H|00071,O007922,OI,OI_EXPANSION_SHOCK,2023-09-21T06:15:00Z,2023-09-22T08:15:00Z,O007897,0,8
8H,OI|OI_EXPANSION_SHOCK|8H|00071,O007934,OI,OI_EXPANSION_SHOCK,2023-09-21T06:15:00Z,2023-09-22T08:15:00Z,O007897,0,8
8H,OI|OI_EXPANSION_SHOCK|8H|00071,O007954,OI,OI_EXPANSION_SHOCK,2023-09-21T06:15:00Z,2023-09-22T08:15:00Z,O007897,0,8
8H,OI|OI_EXPANSION_SHOCK|8H|00071,O007969,OI,OI_EXPANSION_SHOCK,2023-09-21T06:15:00Z,2023-09-22T08:15:00Z,O007897,0,8
8H,OI|OI_EXPANSION_SHOCK|8H|00072,O008010,OI,OI_EXPANSION_SHOCK,2023-09-22T10:30:00Z,2023-09-23T07:30:00Z,O008010,1,5
8H,OI|OI_EXPANSION_SHOCK|8H|00072,O008012,OI,OI_EXPANSION_SHOCK,2023-09-22T10:30:00Z,2023-09-23T07:30:00Z,O008010,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00072,O008013,OI,OI_EXPANSION_SHOCK,2023-09-22T10:30:00Z,2023-09-23T07:30:00Z,O008010,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00072,O008039,OI,OI_EXPANSION_SHOCK,2023-09-22T10:30:00Z,2023-09-23T07:30:00Z,O008010,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00072,O008062,OI,OI_EXPANSION_SHOCK,2023-09-22T10:30:00Z,2023-09-23T07:30:00Z,O008010,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00073,O008120,OI,OI_EXPANSION_SHOCK,2023-09-23T14:00:00Z,2023-09-24T04:00:00Z,O008120,1,2
8H,OI|OI_EXPANSION_SHOCK|8H|00073,O008144,OI,OI_EXPANSION_SHOCK,2023-09-23T14:00:00Z,2023-09-24T04:00:00Z,O008120,0,2
8H,OI|OI_EXPANSION_SHOCK|8H|00074,O008322,OI,OI_EXPANSION_SHOCK,2023-09-25T16:30:00Z,2023-09-26T00:30:00Z,O008322,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00075,O008487,OI,OI_EXPANSION_SHOCK,2023-09-27T09:45:00Z,2023-09-27T23:00:00Z,O008487,1,2
8H,OI|OI_EXPANSION_SHOCK|8H|00075,O008508,OI,OI_EXPANSION_SHOCK,2023-09-27T09:45:00Z,2023-09-27T23:00:00Z,O008487,0,2
8H,OI|OI_EXPANSION_SHOCK|8H|00076,O008569,OI,OI_EXPANSION_SHOCK,2023-09-28T06:15:00Z,2023-09-29T02:45:00Z,O008569,1,5
8H,OI|OI_EXPANSION_SHOCK|8H|00076,O008582,OI,OI_EXPANSION_SHOCK,2023-09-28T06:15:00Z,2023-09-29T02:45:00Z,O008569,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00076,O008586,OI,OI_EXPANSION_SHOCK,2023-09-28T06:15:00Z,2023-09-29T02:45:00Z,O008569,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00076,O008610,OI,OI_EXPANSION_SHOCK,2023-09-28T06:15:00Z,2023-09-29T02:45:00Z,O008569,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00076,O008619,OI,OI_EXPANSION_SHOCK,2023-09-28T06:15:00Z,2023-09-29T02:45:00Z,O008569,0,5
8H,OI|OI_EXPANSION_SHOCK|8H|00077,O008694,OI,OI_EXPANSION_SHOCK,2023-09-29T13:30:00Z,2023-09-30T05:30:00Z,O008694,1,4
8H,OI|OI_EXPANSION_SHOCK|8H|00077,O008705,OI,OI_EXPANSION_SHOCK,2023-09-29T13:30:00Z,2023-09-30T05:30:00Z,O008694,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00077,O008719,OI,OI_EXPANSION_SHOCK,2023-09-29T13:30:00Z,2023-09-30T05:30:00Z,O008694,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00077,O008726,OI,OI_EXPANSION_SHOCK,2023-09-29T13:30:00Z,2023-09-30T05:30:00Z,O008694,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00078,O008792,OI,OI_EXPANSION_SHOCK,2023-09-30T14:00:00Z,2023-09-30T22:00:00Z,O008792,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00079,O008841,OI,OI_EXPANSION_SHOCK,2023-10-01T02:15:00Z,2023-10-01T10:15:00Z,O008841,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00080,O008897,OI,OI_EXPANSION_SHOCK,2023-10-01T16:15:00Z,2023-10-02T18:15:00Z,O008897,1,10
8H,OI|OI_EXPANSION_SHOCK|8H|00080,O008910,OI,OI_EXPANSION_SHOCK,2023-10-01T16:15:00Z,2023-10-02T18:15:00Z,O008897,0,10
8H,OI|OI_EXPANSION_SHOCK|8H|00080,O008920,OI,OI_EXPANSION_SHOCK,2023-10-01T16:15:00Z,2023-10-02T18:15:00Z,O008897,0,10
8H,OI|OI_EXPANSION_SHOCK|8H|00080,O008923,OI,OI_EXPANSION_SHOCK,2023-10-01T16:15:00Z,2023-10-02T18:15:00Z,O008897,0,10
8H,OI|OI_EXPANSION_SHOCK|8H|00080,O008924,OI,OI_EXPANSION_SHOCK,2023-10-01T16:15:00Z,2023-10-02T18:15:00Z,O008897,0,10
8H,OI|OI_EXPANSION_SHOCK|8H|00080,O008925,OI,OI_EXPANSION_SHOCK,2023-10-01T16:15:00Z,2023-10-02T18:15:00Z,O008897,0,10
8H,OI|OI_EXPANSION_SHOCK|8H|00080,O008927,OI,OI_EXPANSION_SHOCK,2023-10-01T16:15:00Z,2023-10-02T18:15:00Z,O008897,0,10
8H,OI|OI_EXPANSION_SHOCK|8H|00080,O008943,OI,OI_EXPANSION_SHOCK,2023-10-01T16:15:00Z,2023-10-02T18:15:00Z,O008897,0,10
8H,OI|OI_EXPANSION_SHOCK|8H|00080,O008966,OI,OI_EXPANSION_SHOCK,2023-10-01T16:15:00Z,2023-10-02T18:15:00Z,O008897,0,10
8H,OI|OI_EXPANSION_SHOCK|8H|00080,O008969,OI,OI_EXPANSION_SHOCK,2023-10-01T16:15:00Z,2023-10-02T18:15:00Z,O008897,0,10
8H,OI|OI_EXPANSION_SHOCK|8H|00081,O009007,OI,OI_EXPANSION_SHOCK,2023-10-02T19:45:00Z,2023-10-03T03:45:00Z,O009007,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00082,O009052,OI,OI_EXPANSION_SHOCK,2023-10-03T07:00:00Z,2023-10-03T22:15:00Z,O009052,1,3
8H,OI|OI_EXPANSION_SHOCK|8H|00082,O009068,OI,OI_EXPANSION_SHOCK,2023-10-03T07:00:00Z,2023-10-03T22:15:00Z,O009052,0,3
8H,OI|OI_EXPANSION_SHOCK|8H|00082,O009081,OI,OI_EXPANSION_SHOCK,2023-10-03T07:00:00Z,2023-10-03T22:15:00Z,O009052,0,3
8H,OI|OI_EXPANSION_SHOCK|8H|00083,O009121,OI,OI_EXPANSION_SHOCK,2023-10-04T00:15:00Z,2023-10-04T19:15:00Z,O009121,1,4
8H,OI|OI_EXPANSION_SHOCK|8H|00083,O009137,OI,OI_EXPANSION_SHOCK,2023-10-04T00:15:00Z,2023-10-04T19:15:00Z,O009121,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00083,O009140,OI,OI_EXPANSION_SHOCK,2023-10-04T00:15:00Z,2023-10-04T19:15:00Z,O009121,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00083,O009165,OI,OI_EXPANSION_SHOCK,2023-10-04T00:15:00Z,2023-10-04T19:15:00Z,O009121,0,4
8H,OI|OI_EXPANSION_SHOCK|8H|00084,O009198,OI,OI_EXPANSION_SHOCK,2023-10-04T19:30:00Z,2023-10-05T03:30:00Z,O009198,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00085,O009258,OI,OI_EXPANSION_SHOCK,2023-10-05T10:30:00Z,2023-10-06T14:45:00Z,O009258,1,7
8H,OI|OI_EXPANSION_SHOCK|8H|00085,O009273,OI,OI_EXPANSION_SHOCK,2023-10-05T10:30:00Z,2023-10-06T14:45:00Z,O009258,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00085,O009294,OI,OI_EXPANSION_SHOCK,2023-10-05T10:30:00Z,2023-10-06T14:45:00Z,O009258,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00085,O009303,OI,OI_EXPANSION_SHOCK,2023-10-05T10:30:00Z,2023-10-06T14:45:00Z,O009258,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00085,O009304,OI,OI_EXPANSION_SHOCK,2023-10-05T10:30:00Z,2023-10-06T14:45:00Z,O009258,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00085,O009335,OI,OI_EXPANSION_SHOCK,2023-10-05T10:30:00Z,2023-10-06T14:45:00Z,O009258,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00085,O009339,OI,OI_EXPANSION_SHOCK,2023-10-05T10:30:00Z,2023-10-06T14:45:00Z,O009258,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00086,O009401,OI,OI_EXPANSION_SHOCK,2023-10-06T22:15:00Z,2023-10-07T06:15:00Z,O009401,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00087,O009457,OI,OI_EXPANSION_SHOCK,2023-10-07T12:15:00Z,2023-10-07T20:15:00Z,O009457,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00088,O009566,OI,OI_EXPANSION_SHOCK,2023-10-08T15:30:00Z,2023-10-08T23:30:00Z,O009566,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00089,O009614,OI,OI_EXPANSION_SHOCK,2023-10-09T03:30:00Z,2023-10-09T11:30:00Z,O009614,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00090,O009675,OI,OI_EXPANSION_SHOCK,2023-10-09T18:45:00Z,2023-10-10T02:45:00Z,O009675,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00091,O009736,OI,OI_EXPANSION_SHOCK,2023-10-10T10:00:00Z,2023-10-11T17:45:00Z,O009736,1,7
8H,OI|OI_EXPANSION_SHOCK|8H|00091,O009738,OI,OI_EXPANSION_SHOCK,2023-10-10T10:00:00Z,2023-10-11T17:45:00Z,O009736,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00091,O009769,OI,OI_EXPANSION_SHOCK,2023-10-10T10:00:00Z,2023-10-11T17:45:00Z,O009736,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00091,O009794,OI,OI_EXPANSION_SHOCK,2023-10-10T10:00:00Z,2023-10-11T17:45:00Z,O009736,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00091,O009824,OI,OI_EXPANSION_SHOCK,2023-10-10T10:00:00Z,2023-10-11T17:45:00Z,O009736,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00091,O009825,OI,OI_EXPANSION_SHOCK,2023-10-10T10:00:00Z,2023-10-11T17:45:00Z,O009736,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00091,O009831,OI,OI_EXPANSION_SHOCK,2023-10-10T10:00:00Z,2023-10-11T17:45:00Z,O009736,0,7
8H,OI|OI_EXPANSION_SHOCK|8H|00092,O009913,OI,OI_EXPANSION_SHOCK,2023-10-12T06:15:00Z,2023-10-12T18:15:00Z,O009913,1,3
8H,OI|OI_EXPANSION_SHOCK|8H|00092,O009922,OI,OI_EXPANSION_SHOCK,2023-10-12T06:15:00Z,2023-10-12T18:15:00Z,O009913,0,3
8H,OI|OI_EXPANSION_SHOCK|8H|00092,O009929,OI,OI_EXPANSION_SHOCK,2023-10-12T06:15:00Z,2023-10-12T18:15:00Z,O009913,0,3
8H,OI|OI_EXPANSION_SHOCK|8H|00093,O009986,OI,OI_EXPANSION_SHOCK,2023-10-13T00:30:00Z,2023-10-14T05:45:00Z,O009986,1,6
8H,OI|OI_EXPANSION_SHOCK|8H|00093,O010014,OI,OI_EXPANSION_SHOCK,2023-10-13T00:30:00Z,2023-10-14T05:45:00Z,O009986,0,6
8H,OI|OI_EXPANSION_SHOCK|8H|00093,O010038,OI,OI_EXPANSION_SHOCK,2023-10-13T00:30:00Z,2023-10-14T05:45:00Z,O009986,0,6
8H,OI|OI_EXPANSION_SHOCK|8H|00093,O010069,OI,OI_EXPANSION_SHOCK,2023-10-13T00:30:00Z,2023-10-14T05:45:00Z,O009986,0,6
8H,OI|OI_EXPANSION_SHOCK|8H|00093,O010070,OI,OI_EXPANSION_SHOCK,2023-10-13T00:30:00Z,2023-10-14T05:45:00Z,O009986,0,6
8H,OI|OI_EXPANSION_SHOCK|8H|00093,O010071,OI,OI_EXPANSION_SHOCK,2023-10-13T00:30:00Z,2023-10-14T05:45:00Z,O009986,0,6
8H,OI|OI_EXPANSION_SHOCK|8H|00094,O010320,OI,OI_EXPANSION_SHOCK,2023-10-16T12:00:00Z,2023-10-16T20:00:00Z,O010320,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00095,O010353,OI,OI_EXPANSION_SHOCK,2023-10-16T20:15:00Z,2023-10-17T04:45:00Z,O010353,1,2
8H,OI|OI_EXPANSION_SHOCK|8H|00095,O010355,OI,OI_EXPANSION_SHOCK,2023-10-16T20:15:00Z,2023-10-17T04:45:00Z,O010353,0,2
8H,OI|OI_EXPANSION_SHOCK|8H|00096,O010422,OI,OI_EXPANSION_SHOCK,2023-10-17T13:30:00Z,2023-10-17T21:30:00Z,O010422,1,1
8H,OI|OI_EXPANSION_SHOCK|8H|00097,O010466,OI,OI_EXPANSION_SHOCK,2023-10-18T00:30:00Z,2023-10-18T13:30:00Z,O010466,1,2
8H,OI|OI_EXPANSION_SHOCK|8H|00097,O010486,OI,OI_EXPANSION_SHOCK,2023-10-18T00:30:00Z,2023-10-18T13:30:00Z,O010466,0,2
